"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","phylum","order","typeStatus","continentOcean","preparationType","imagecode","coordinatePrecision","geoFlag","class","relatedCatalogItem","fieldNumber","individualCount","previousCatalogNumber","sex"
"1","2021-04-05 14:25:32-03","UNESC","CRI","13020","PreservedSpecimen","Plantae","Melastomataceae","Miconia","paniculata","Miconia paniculata","(DC.) Naudin","Oliveira, AA de","2015","02","12","Oliveira, A.A. de","1139","2015","02","12","Brasil","Santa Catarina","Apiúna","Salão. Salão.","-49.320556","-27.180278","49º19'14''W","27º10'49''S","647","647","Regeneração IFFSC 517 /L/58 Habitat: Floresta Ombrófila Densa; Estágio médio de regeneração Habito: flor inflorescência amarela","CRI011670",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","229125","PreservedSpecimen","Plantae","Melastomataceae","Miconia","depauperata","Miconia depauperata","Gardner",NA,NA,NA,NA,"G. Gardner","394","1836",NA,NA,"Brazil",NA,NA,"Brasilia",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=732912' target='other'> <mi>dwc_moreinfo</mi></a>","NY00229125","Magnoliophyta","Myrtales","isotype","South America","sheet","NY00229125_01",NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","2480378","PreservedSpecimen","Plantae","Melastomataceae","Miconia","doriana","Miconia doriana","Cogn.",NA,NA,NA,NA,"E. M. Saddi","453","2011","04","20","Brazil","Rio de Janeiro","Valença","Parcela P40 dos estudos para o EIA do Minerioduto Bom Sucesso, MG-Itaguaí, RJ.","-43.9967","-22.2531",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2705587' target='other'> <mi>dwc_moreinfo</mi></a>","NY02480378","Magnoliophyta","Myrtales",NA,"South America","sheet","NY02480378_01",NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","02104584","PreservedSpecimen","Plantae","Melastomataceae","Miconia","doriana","Miconia doriana","Cogn.","R. Goldenberg",NA,NA,NA,"R. Goldenberg","616","2004","02",NA,"Brazil","Paraná","Piraquara","Mananciais da Serra","-49.0633010864258","-25.4416999816895",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2570675' target='other'> <mi>dwc_moreinfo</mi></a>","NY02104584","Magnoliophyta","Myrtales",NA,"South America","sheet","NY02104584_01","12577","auto",NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","02210508","PreservedSpecimen","Plantae","Melastomataceae","Miconia","doriana","Miconia doriana","Cogn.",NA,NA,NA,NA,"R. Goldenberg","1646","2012","02","14","Brazil","São Paulo","São Paulo","Parque Estadual da Serra do Mar, Núcleo Curucutu, trilha do mirante (próximo ao mirante).","-46.6300010681152","-23.5400009155273",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2503623' target='other'> <mi>dwc_moreinfo</mi></a>","NY02210508","Magnoliophyta","Myrtales",NA,"South America","sheet","NY02210508_01","53584","auto",NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","1802216","PreservedSpecimen","Plantae","Melastomataceae","Miconia","doriana","Miconia doriana","Cogn.","J. E. Meireles",NA,NA,NA,"A. M. Amorim","7799","2009","04","09","Brazil","Espírito Santo","Castelo","Parque Estadual do Forno Grande.","-41.075","-20.5194",NA,NA,"1100",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2047278' target='other'> <mi>dwc_moreinfo</mi></a>","NY01802216","Magnoliophyta","Myrtales",NA,"South America","sheet","NY01802216_01",NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","01132053","PreservedSpecimen","Plantae","Melastomataceae","Miconia","paniculata","Miconia paniculata","(DC.) Naudin","R. Goldenberg",NA,NA,NA,"L. C. de S. Assis","1086","2005","01","18","Brazil","Minas Gerais","Lima Duarte","Parque Estadual da Serra do Ibitipoca, Mata Grande.","-43.7931","-21.8428",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1288109' target='other'> <mi>dwc_moreinfo</mi></a>","NY01132053","Magnoliophyta","Myrtales",NA,"South America","sheet","NY01132053_01",NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","521552","PreservedSpecimen","Plantae","Melastomataceae","Miconia","paniculata","Miconia paniculata","(DC.) Naudin","R. Goldenberg",NA,NA,NA,"G. G. Hatschbach","61390","1994","12","28","Brazil","Paraná",NA,"Parque da Lauráceas",NA,NA,NA,NA,"500","700","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=649549' target='other'> <mi>dwc_moreinfo</mi></a>","NY00521552","Magnoliophyta","Myrtales",NA,"South America","sheet","NY00521552_01",NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","00835914","PreservedSpecimen","Plantae","Melastomataceae","Miconia","paniculata","Miconia paniculata","(DC.) Naudin","R. Goldenberg",NA,NA,NA,"W. W. Thomas","12131","2000","04","01","Brazil","Bahia","Santa Cruz da Vitória","Headwaters of the Rio Limoeira. BR415, 13.4 km. E of entrance to Santa Cruz da Vitoria; then S at entrance to Haras Binow following road to headwaters of the Rio Limoeiro, 11.6 km. Hike up through cacau plantation","-39.6875","-14.9608",NA,NA,"700","700","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=536965' target='other'> <mi>dwc_moreinfo</mi></a>","NY00835914","Magnoliophyta","Myrtales",NA,"South America","sheet","NY00835914_01",NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","1654186","PreservedSpecimen","Plantae","Melastomataceae","Miconia","paniculata","Miconia paniculata","(DC.) Naudin","R. Goldenberg",NA,NA,NA,"M. K. Caddah","842","2011","02","06","Brazil","Espírito Santo","Santa Teresa","Estrada para o Alto Misterioso.","-40.76863","-19.8038",NA,NA,"900",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1568300' target='other'> <mi>dwc_moreinfo</mi></a>","NY01654186","Magnoliophyta","Myrtales",NA,"South America","sheet","NY01654186_01",NA,NA,NA,NA,NA,NA,NA,NA
