"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","class","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","coordinatePrecision","occurrenceRemarks","barcode","geoFlag","locality","continentOcean","imagecode","fieldNumber","preparationType","individualCount","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters"
"1","2019-08-27 13:30:51-03","IAP","PACA-AGP","74315","PreservedSpecimen","Plantae","Magnoliophyta","Magnoliatae","Malvales","Malvaceae","Calyculogygas","uruguayensis","Calyculogygas uruguayensis","Krapov.","I. Fernandes","I. Fernandes","658","1988","10","08","Brasil","RS","Bagé","-54.1068992614746","-31.3313999176025","74087","Habitat: sobre rocha com solo raso, à sombra da mata da aba dos rochedos","PACA074315","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-08-27 13:30:51-03","IAP","PACA-AGP","109092","PreservedSpecimen","Plantae","Magnoliophyta","Magnoliatae","Malvales","Malvaceae","Calyculogygas","uruguayensis","Calyculogygas uruguayensis","Krapov.","M. Grings","M. Grings & P.J. Silva Filho","1112","2010","11","03","Brasil","RS","Bagé","-54.1068992614746","-31.3313999176025","74087","ICN 165775 Habitat: em pequeno platô do paredão Fenofase: fl.fr. Hábito: arbusto","PACA109092","auto","Galpão de Pedra.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-16 17:53:32-03","UCS","HUCS","36943","PreservedSpecimen","Plantae","Angiospermae",NA,"Malvales","Malvaceae","Calyculogygas","uruguayensis","Calyculogygas uruguayensis","Krapov.","Grings, M.","Grings, M.","1112","2010","11","03","Brasil","Rio Grande do Sul","Bagé","-54.1068992614746","-31.3313999176025","74087","arbusto de 0,7m de altura com flores vermelhas e alguns frutos imaturos; pequeno platô do paredão",NA,"auto","Galpão de Pedra",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-12-21 16:33:07-03","MBM","MBM","17249","PreservedSpecimen","Plantae",NA,NA,NA,"Malvaceae","Calyculogygas","uruguayensis","Calyculogygas uruguayensis","Krapov.",NA,"Krapovickas, A.; et al.; et al.","16169",NA,NA,NA,"Argentina",NA,NA,NA,NA,NA,NA,"MBM017249",NA,NA,"Southern America","MBM017249",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-12-21 16:33:07-03","MBM","MBM","223360","PreservedSpecimen","Plantae",NA,NA,NA,"Malvaceae","Calyculogygas","uruguayensis","Calyculogygas uruguayensis","Krapov.",NA,"Krapovickas, A.; et al.; et al.","16169",NA,NA,NA,"Argentina",NA,NA,NA,NA,NA,NA,"MBM223360",NA,NA,"Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2015-09-04 18:59:20-03","MNHN","RECOLNAT_MNHN_P","P06594656","PreservedSpecimen",NA,NA,NA,NA,"Malvaceae","Calyculogygas","uruguayensis","Calyculogygas uruguayensis","Krapov.",NA,"Fruchard",NA,NA,NA,NA,"Uruguai",NA,NA,NA,NA,NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p06594656' target='other'> <mi>dwc_moreinfo</mi></a>","P06594656",NA,"Montevideo.",NA,"P06594656_01","155","hb",NA,NA,NA,NA,NA,NA,NA,NA
"7","2015-09-04 18:59:20-03","MNHN","RECOLNAT_MNHN_P","P06594657","PreservedSpecimen",NA,NA,NA,NA,"Malvaceae","Calyculogygas","uruguayensis","Calyculogygas uruguayensis","Krapov.",NA,"Krapovickas",NA,"1970","10","11","Uruguai",NA,NA,NA,NA,NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p06594657' target='other'> <mi>dwc_moreinfo</mi></a>","P06594657",NA,"Minas, Cerro Arequita, Lavalleja.",NA,"P06594657_01","16169","hb",NA,NA,NA,NA,NA,NA,NA,NA
"8","2015-09-04 18:59:20-03","MNHN","RECOLNAT_MNHN_P","P06594658","PreservedSpecimen",NA,NA,NA,NA,"Malvaceae","Calyculogygas","uruguayensis","Calyculogygas uruguayensis","Krapov.",NA,"Fruchard",NA,NA,NA,NA,"Uruguai",NA,NA,NA,NA,NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p06594658' target='other'> <mi>dwc_moreinfo</mi></a>","P06594658",NA,"Montevideo.",NA,"P06594658_01",NA,"hb",NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-02-11 17:19:30-03","UFPR","UPCB","10081","PreservedSpecimen","Plantae",NA,NA,NA,"Malvaceae","Calyculogygas","uruguayensis","Calyculogygas uruguayensis","Krapov.",NA,"Krapovickas, A.",NA,"1970","10","11","Uruguai",NA,NA,NA,NA,NA,"Arbusto, flor roja..",NA,NA,"Lavalleja, Cerro Arequita",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2016-11-15 05:15:00-02","MO","MOBOT","100496849","PreservedSpecimen","Plantae",NA,NA,NA,"Malvaceae","Calyculogygas","uruguayensis","Calyculogygas uruguayensis","Krapov.","S. Dreher","Antonio C. Krapovickas|Carmen L. Cristóbal","Krapovickas 16169","1970","10","11","Uruguay","Lavalleja",NA,NA,NA,NA,NA,NA,NA,"Minas, Cerro Arequita.","South America",NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA
"11","2020-07-07 10:00:00-03","MO","MOBOT","2516027","PreservedSpecimen","Plantae",NA,NA,NA,"Malvaceae","Calyculogygas","uruguayensis","Calyculogygas uruguayensis","Krapov.",NA,"J. Chebataroff","Chebataroff 5232","1937","11",NA,"Uruguay","San José",NA,NA,NA,NA,NA,NA,NA,"Raigón, Cueva del Tigre, río San José","South America",NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA
"12","2021-01-26 14:12:40-03","CPACT","ECT","3725","PreservedSpecimen","Plantae","Embryophyta",NA,NA,"Malvaceae","Calyculogygas","uruguayensis","Calyculogygas uruguayensis","Krapov.","M.Sobral","M.Sobral","5167","1986","09","01","Brasil","Rio Grande do Sul","Candelária","-52.787778","-29.67",NA,NA,"ECT0003725",NA,"Cerro Botucaraí. Entre rochas. Coordenadas geográficas obtidas a partir dos dados de localidade, sede do munícipio.",NA,"ECT0003725",NA,NA,NA,"1989","01","01","52º47'16''W","29º40'12''S","65","65"
