"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","occurrenceRemarks","barcode","imagecode","typeStatus","recordNumber","continentOcean","preparationType","previousCatalogNumber","phylum","order","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","class","relatedCatalogItem","individualCount","fieldNumber","sex"
"1","2021-04-05 14:25:12-03","UNESC","CRI","14621","PreservedSpecimen","Plantae","Erythroxylaceae","Erythroxylum","pelleterianum","Erythroxylum pelleterianum","A.St.-Hil.","Jane F. Magagnin & Marcelo Z. da Rosa","1997","10","04","Jane F. Magagnin; Marcelo Z. da Rosa","1997","10","04","Brasil","Santa Catarina","Turvo","Morro Chato.","-49.681944","-28.917778","49º40'55''W","28º55'4''S","Caule marrom e escuro. Folhas verdes. Frutículos marrons Habito: Arbustivo","CRI013929",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:25:12-03","UNESC","CRI","3824","PreservedSpecimen","Plantae","Erythroxylaceae","Erythroxylum","pelleterianum","Erythroxylum pelleterianum","A.St.-Hil.","Marcos Sobral",NA,NA,NA,"J. A. Jarenkow","1987","09","23","Brasil",NA,"Marcelino",NA,"-51.906667","-27.462222","51º54'24''W","27º27'44''S","Habito: arbustiva","CRI010066","CRI010066",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-09-23 10:39:03-03","E","E","346288","PreservedSpecimen","Plantae","Erythroxylaceae","Erythroxylum","verruculosum","Erythroxylum verruculosum",NA,NA,NA,NA,NA,"Fiebrig, K.","1902","08","30","PY",NA,NA,"Cordillera de Altos",NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00346288 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00346288",NA,"lectotype","67","E. Tropical South America","herbarium specimen of unspecif","BGBASE:383660",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","00997256","PreservedSpecimen","Plantae","Erythroxylaceae","Erythroxylum","pelleterianum","Erythroxylum pelleterianum","A.St.-Hil.",NA,NA,NA,NA,"C. L. Collenette","1927","09",NA,"Brazil","Mato Grosso",NA,"Burity, N. E. of Cuyabá.","-55.77825","-15.432",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1153038' target='other'> <mi>dwc_moreinfo</mi></a>","NY00997256","NY00997256_01",NA,"168","South America","sheet",NA,"Magnoliophyta","Malpighiales","2250","2250",NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","00997245","PreservedSpecimen","Plantae","Erythroxylaceae","Erythroxylum","pelleterianum","Erythroxylum pelleterianum","A.St.-Hil.","T. C. Plowman",NA,NA,NA,"H. S. Irwin","1958","11","08","Brazil","Minas Gerais","Viçosa","State Agricultural School.","-42.868031","-20.7613428",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1152989' target='other'> <mi>dwc_moreinfo</mi></a>","NY00997245","NY00997245_01",NA,"2039","South America","sheet",NA,"Magnoliophyta","Malpighiales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","393271","PreservedSpecimen","Plantae","Erythroxylaceae","Erythroxylum","pelleterianum","Erythroxylum pelleterianum","A.St.-Hil.","T. C. Plowman",NA,NA,NA,"N. M. F. da Silva","1977","11","09","Brazil","Rio de Janeiro","Petrópolis","Petropolis. Vale do Bonsucesso, pr. Sitio da Pedra Lascada","-43.1783","-22.505",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=71382' target='other'> <mi>dwc_moreinfo</mi></a>","NY00393271","NY00393271_01",NA,"109","South America","sheet",NA,"Magnoliophyta","Malpighiales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","393269","PreservedSpecimen","Plantae","Erythroxylaceae","Erythroxylum","pelleterianum","Erythroxylum pelleterianum","A.St.-Hil.","T. C. Plowman",NA,NA,NA,"J. Cuatrecasas","1962","10","27","Brazil","São Paulo","Pirassununga","Piraçununga, cerrado do Cachoeira Emas","-47.375621","-21.941912",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=71385' target='other'> <mi>dwc_moreinfo</mi></a>","NY00393269","NY00393269_01",NA,"26616","South America","sheet",NA,"Magnoliophyta","Malpighiales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","393268","PreservedSpecimen","Plantae","Erythroxylaceae","Erythroxylum","pelleterianum","Erythroxylum pelleterianum","A.St.-Hil.",NA,NA,NA,NA,"A. Amaral","1993","02","12","Brazil","Paraná","Foz do Iguaçu","Parque Nacional de Fóz de Iguaçú, trilha do Poço Preto","-54.5881","-25.5481",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=71392' target='other'> <mi>dwc_moreinfo</mi></a>","NY00393268","NY00393268_01",NA,"86","South America","sheet",NA,"Magnoliophyta","Malpighiales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","00997254","PreservedSpecimen","Plantae","Erythroxylaceae","Erythroxylum","pelleterianum","Erythroxylum pelleterianum","A.St.-Hil.","T. C. Plowman",NA,NA,NA,"J. R. Pirani","1985","10","11","Brazil","Mato Grosso",NA,"Ilha do Bananal, na divisa com o Parque Nacional Araguaia; coletas no Parque Indígena.","-50.5","-10.42",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1153035' target='other'> <mi>dwc_moreinfo</mi></a>","NY00997254","NY00997254_01",NA,"1247","South America","sheet",NA,"Magnoliophyta","Malpighiales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","393273","PreservedSpecimen","Plantae","Erythroxylaceae","Erythroxylum","pelleterianum","Erythroxylum pelleterianum","A.St.-Hil.","T. C. Plowman",NA,NA,NA,"I. Mimura","1962","09","11","Brazil","São Paulo","Sao José dos Campos","Uma área disjuntiva de cerrado, de várias centenas de km², rodeada antigamente por mata. Parte superior da encosta leste do vale do Córrego da Ressaca, 6-6 1/2 km ao SW(ao longo da Rodovia Pres. Dutra) da sa161da para SAO JOSÉ DOS CAMPOS, 100-500 m ao lado SE da rodovia. Junto a uma capoeira com árvores de 8 m. alt.; ca. 200m. da estrada","-45.88","-23.1703",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=71381' target='other'> <mi>dwc_moreinfo</mi></a>","NY00393273","NY00393273_01",NA,"555","South America","sheet",NA,"Magnoliophyta","Malpighiales",NA,NA,NA,NA,NA,NA,NA,NA,NA
