"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","county","yearIdentified","monthIdentified","class","verbatimLongitude","verbatimLatitude","relatedCatalogItem","dayIdentified","typeStatus","fieldNumber","individualCount","previousCatalogNumber","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","01200866","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Malouetia","amplexicaulis","Malouetia amplexicaulis","Müll.Arg.","B. A. Krukoff","4689A","1933","06","06","South America","Brazil","Amazonas","Basin of Rio Jurua: near mouth of Rio Embira (tributary of Rio Tarauaca)","-70.25","-7.5","sheet","Collected together with 4689. <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1447281' target='other'> <mi>dwc_moreinfo</mi></a>","NY01200866","NY01200866_01 NY01200866_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","01200863","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Malouetia","amplexicaulis","Malouetia amplexicaulis","Müll.Arg.","R. de Lemos Fróes","22170","1947","04","18","South America","Brazil","Amazonas","Rio Negro, Foz do Caiary.",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1447276' target='other'> <mi>dwc_moreinfo</mi></a>","NY01200863","NY01200863_01 NY01200863_02","B. A. Krukoff",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","01200867","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Malouetia","amplexicaulis","Malouetia amplexicaulis","Müll.Arg.","J. P. Santos","1429",NA,NA,NA,"South America","Brazil","Acre","Rod. AC-40 km-54, margem direita, ramal da colonia.","-67.57","-10.32","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=627659' target='other'> <mi>dwc_moreinfo</mi></a>","NY01200867","NY01200867_01",NA,"Tarauacá",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","01200862","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Malouetia","amplexicaulis","Malouetia amplexicaulis","Müll.Arg.","R. de Lemos Fróes","22170","1947","04","18","South America","Brazil","Amazonas","Rio Negro, Foz do Caiary.",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1447272' target='other'> <mi>dwc_moreinfo</mi></a>","NY01200862","NY01200862_01 NY01200862_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","01200864","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Malouetia","amplexicaulis","Malouetia amplexicaulis","Müll.Arg.","B. A. Krukoff","4774","1933","06",NA,"South America","Brazil","Amazonas","Basin of Rio Jurua. Near mouth of Rio Enbira (tributary of Rio Tarauaca)","-70.25","-7.5","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1447278' target='other'> <mi>dwc_moreinfo</mi></a>","NY01200864","NY01200864_01 NY01200864_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","01200865","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Malouetia","amplexicaulis","Malouetia amplexicaulis","Müll.Arg.","B. A. Krukoff","5089","1933","06","30","South America","Brazil","Amazonas","Near mouth of Rio Embira (tributary of Rio Tarauaca).","-70.25","-7.5","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1447280' target='other'> <mi>dwc_moreinfo</mi></a>","NY01200865","NY01200865_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-30 12:34:05-03","EAO","IAN","29273","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Apocynaceae","Malouetia","amplexicaulis","Malouetia amplexicaulis","Spruce","Fróes, RL","22170","1947","04","18","Southern America","Brasil","Amazonas","Rio Negro, Foz do Caiary, high forest caatinga type, high land.",NA,NA,NA,NA,"IAN029273",NA,"Krukoff, BA",NA,"1947","12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-02-08 09:17:44-03","NBC","NL-BOTANY","U.1103559","PreservedSpecimen","Plantae",NA,"Gentianales","Apocynaceae","Malouetia","amplexicaulis","Malouetia amplexicaulis","Spruce ex Müll.Arg.","Krukoff BA",NA,"1933","06","30","Southern America","Brazil","Amazonas","State of Amazonas: near mouth of Rio Embira (tributary of Rio Tarauaca).","-70.25","-7.5",NA,"On terra firme.<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1103559 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1103559","NL-U1103559",NA,NA,NA,NA,"Magnoliopsidae","-70.25","-7.5","U 0180969",NA,NA,NA,NA,NA,NA
"9","2020-02-08 09:17:44-03","NBC","NL-BOTANY","U 0261962","PreservedSpecimen","Plantae",NA,"Gentianales","Apocynaceae","Malouetia","amplexicaulis","Malouetia amplexicaulis","Spruce ex Müll.Arg.","Krukoff BA",NA,"1933","06","30","Southern America","Brazil","Amazonas","State of Amazonas: near mouth of Rio Embira (tributary of Rio Tarauaca).","-70.25","-7.5",NA,"On terra firme.<a href=https://data.biodiversitydata.nl/naturalis/specimen/U%20%200261962 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U0261962",NA,NA,NA,NA,NA,"Magnoliopsidae","-70.25","-7.5","Uw19750",NA,NA,NA,NA,NA,NA
"10","2020-02-08 09:17:44-03","NBC","NL-BOTANY","U.1103557","PreservedSpecimen","Plantae",NA,"Gentianales","Apocynaceae","Malouetia","amplexicaulis","Malouetia amplexicaulis","Spruce ex Müll.Arg.","Lemos Fróes R de",NA,"1947","04","18","Southern America","Brazil","Amazonas","Rio Negro, Foz do Caiary.",NA,NA,NA,"High forest caatinga type, high land.<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1103557 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1103557","NL-U1103557","Fallen-Endress ME",NA,"1986","06","Magnoliopsidae",NA,NA,"U 0181283","01",NA,NA,NA,NA,NA
