"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","class","monthIdentified","dayIdentified","relatedCatalogItem","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","individualCount","fieldNumber"
"1","2021-03-15 16:37:00-03","NY","NYBG","01131661","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Prestonia","solanifolia","Prestonia solanifolia","(Müll.Arg.) Woodson","R. E. Woodson Jr.","Y. E. J. Mexia","5337","1930","11","21","South America","Brazil","Minas Gerais","Viçosa","Fazenda do Paraiso","-42.8817","-20.7542","730","730","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1277877' target='other'> <mi>dwc_moreinfo</mi></a>","NY01131661","NY01131661_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-10-09 11:09:06-03","UFBA","ALCB","111952","PreservedSpecimen","Plantae","Dicotyledon",NA,"Apocynaceae","Prestonia","solanifolia","Prestonia solanifolia","(Müll.Arg.) Woodson.","Leeuwenberg, AJM","Hatschbach, G; Hatschbach, M; Cervi, AC; Cordeiro, J","51050","1987","03","17","Southern America","Brasil","Minas Gerais","Dantas","Rod. BR-259.",NA,NA,NA,NA,NA,"Volúvel, látex alvo, flor alva, tubo verde-pálido; Orla da mata pluvial.",NA,NA,"1997",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-02-08 09:18:39-03","NBC","NL-BOTANY","U 0072512","PreservedSpecimen","Plantae",NA,"Gentianales","Apocynaceae","Prestonia","solanifolia","Prestonia solanifolia","(Müll.Arg.) Woodson","Rio MCS do","Prance GT; Maas PJM; et al.",NA,"1971","07","16","Southern America","Brazil","Amazonas",NA,NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U%20%200072512 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U0072512",NA,"2003","Magnoliopsidae","08","01",NA,NA,NA,NA,NA,NA,NA
"4","2020-02-08 09:18:39-03","NBC","NL-BOTANY","U.1095746","PreservedSpecimen","Plantae",NA,"Gentianales","Apocynaceae","Prestonia","solanifolia","Prestonia solanifolia","(Müll.Arg.) Woodson","Rio MCS do","Prance GT; Maas PJM; Atchley AA; et al.",NA,"1971","07","16","Southern America","Brazil","Amazonas",NA,"Rio Curuquete, vicinity of Cachoeira Santo Antonio.",NA,NA,NA,NA,NA,"Rocky terrain around falls.<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1095746 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1095746","NL-U1095746","2003","Magnoliopsidae","08","01","U 0072512",NA,NA,NA,NA,NA,NA
"5","2020-02-08 09:18:39-03","NBC","NL-BOTANY","U.1095747","PreservedSpecimen","Plantae",NA,"Gentianales","Apocynaceae","Prestonia","solanifolia","Prestonia solanifolia","(Müll.Arg.) Woodson","Rio MCS do","Mexia YEJ",NA,"1930","11","21","Southern America","Brazil","Minas Gerais",NA,"Minas Gerais. Viçosa. Fazenda do Paraiso.","-42.876638","-20.756822",NA,NA,NA,"Matta virgem (original forest).<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1095747 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1095747","NL-U1095747","2003","Magnoliopsidae","08","01","U 0072488","-42.876638","-20.756822",NA,NA,NA,NA
"6","2020-11-04 10:59:58-03","ESALQ","ESA","107464","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Apocynaceae","Prestonia","solanifolia","Prestonia solanifolia",NA,"Morokauna, R.","Lombardi, J.A.","6989.0","2007","10","23",NA,"Brasil","São Paulo","Jundiaí",NA,"-46.8800010681152","-23.1800003051758",NA,NA,NA,NA,"ESA107464","ESA107464","2008",NA,"09","23",NA,NA,NA,"17840","auto",NA,NA
"7","2020-12-20 21:15:29-03","UFV","VIC","1016","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Prestonia","solanifolia","Prestonia solanifolia","(Müll. Arg.) Woodson","Rio, M.C.S. do","Mexia, Y.","s.n.",NA,NA,NA,NA,"Brasil","Minas Gerais",NA,NA,NA,NA,NA,NA,NA,NA,"VIC001016","VIC001016","2003",NA,"08",NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-12-20 21:15:29-03","UFV","VIC","956","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Prestonia","solanifolia","Prestonia solanifolia","(Müll. Arg.) Woodson","Morales, J.F.","Mexia, Y.","5337","1930","11","21",NA,"Brasil","Minas Gerais",NA,"Floresta original. Mata virgem. Altitude de 730 metros.",NA,NA,NA,NA,NA,NA,"VIC000956","VIC000956","2000",NA,"11",NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-12-20 21:15:29-03","UFV","VIC","10844","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Prestonia","solanifolia","Prestonia solanifolia","(Müll. Arg.) Woodson","Morales, J.F.","Vieira, M.F.","640","1989","10","10",NA,"Brasil","Minas Gerais","Viçosa","Centro de Pesquisa de Florestas Naturais, À direita no final da estrada principal.","-42.8819007873535","-20.7539005279541",NA,NA,NA,"Trepadeira, flores com corola amarela.","VIC010844","VIC010844","2000",NA,"11",NA,NA,NA,NA,"13937","auto",NA,NA
"10","2020-10-20 14:17:02-03","UFOPA","HSTM","4222","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Prestonia","solanifolia","Prestonia solanifolia","(Müll.Arg.) Woodson","Soares, E.","Soares, E.; Fonseca, D.",NA,"1993",NA,NA,NA,"Brasil","Pará","Oriximiná","Viveiro da Mineração Rio do Norte. Trabalho de Identificação de Plântulas no Viveiro.","-56.45","-1.7",NA,NA,NA,NA,"HSTM004222","HSTM004222","1905",NA,"06","15",NA,"56º27'0''W","1º42'0''S",NA,NA,NA,NA
