"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","individualCount","occurrenceRemarks","geoFlag","recordNumber","continentOcean","minimumElevationInMeters","maximumElevationInMeters","preparationType","barcode","imagecode","verbatimLongitude","verbatimLatitude","class","relatedCatalogItem","dayIdentified","typeStatus","fieldNumber","sex"
"1","2019-06-10 10:10:47-03","FZB-BH","CVJBFZB","186","S","Plantae","Magnoliophyta","Poales","Bromeliaceae","Quesnelia","imbricata","Quesnelia imbricata","L. B. Smith","Elton. C. M. Leme","2009","05","Elton M. C. Leme; Jones Caldas da Silva; Luiz Cláudio Marigo","1990","11","16","Brasil","Santa Catarina","Campo Alegre","Morro do Quiriri, próximo à divisa com o Paraná.","-49.2655982971191","-26.1924991607666","37493","1","254","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","376869","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Bromeliaceae","Quesnelia","imbricata","Quesnelia imbricata","L.B.Sm.","E. A. Mennega; K. U. Kramer",NA,NA,"J. C. Lindeman","1966","09","15","Brazil","Paraná","Palmeira","Edge of plateau of second planalto 45 km W of Curitiba","-50.0064","-25.4294",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=695929' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"2447","South America","1100","1100","sheet","NY00376869","NY00376869_01",NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","376868","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Bromeliaceae","Quesnelia","imbricata","Quesnelia imbricata","L.B.Sm.","L. B. Smith",NA,NA,"R. Reitz","1957","09","05","Brazil","Santa Catarina","Campo Alegre","Morro do Iquererim, Campo Alegre","-49.2656","-26.1925",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=695931' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"4817","South America","1500","1500","sheet","NY00376868","NY00376868_01",NA,NA,NA,NA,NA,NA,NA,NA
"4","2016-10-21 20:57:00-02","NY","NYBG","645844","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Bromeliaceae","Quesnelia","imbricata","Quesnelia imbricata",NA,"R. C. Tardivo",NA,NA,"E. P. dos Santos","1998","05","12","Brazil","Paraná","Guaratuba","Serra de Araçatuba, Morro dos Perdidos","-48.97","-25.87",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=695930' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"476","South America","1390","1390","sheet","NY00645844","NY00645844_01",NA,NA,NA,NA,NA,NA,NA,NA
"5","2019-12-04 15:26:25-03","PUCPR","HUCP","21937","S","Plantae","Monocotiledonea",NA,"Bromeliaceae","Quesnelia","imbricata","Quesnelia imbricata","L.B. Sm.","Kersten, RA",NA,NA,"Santos, M","2010","04","17","Brasil","Paraná","Balsa Nova",NA,"-49.6356010437012","-25.5839004516602","27346",NA,NA,"auto","001",NA,NA,NA,NA,"HUCP00004921","HUCP00004921",NA,NA,NA,NA,NA,NA,NA,NA
"6","2019-12-04 15:26:25-03","PUCPR","HUCP","20527","S","Plantae","Monocotiledonea",NA,"Bromeliaceae","Quesnelia","imbricata","Quesnelia imbricata","L.B. Sm.","Kersten, RA",NA,NA,"Kersten, RA","2009","05","30","Brasil","Paraná","Balsa Nova",NA,"-49.6356010437012","-25.5839004516602","27346",NA,NA,"auto","1355",NA,NA,NA,NA,"HUCP00004915","HUCP00004915",NA,NA,NA,NA,NA,NA,NA,NA
"7","2019-12-04 15:26:25-03","PUCPR","HUCP","21936","S","Plantae","Monocotiledonea",NA,"Bromeliaceae","Quesnelia","imbricata","Quesnelia imbricata","L.B. Sm.","Kersten, RA",NA,NA,"Schendroski, A","2010","04","17","Brasil","Paraná","Balsa Nova",NA,"-49.6356010437012","-25.5839004516602","27346",NA,NA,"auto","020",NA,NA,NA,NA,"HUCP00004869","HUCP00004869",NA,NA,NA,NA,NA,NA,NA,NA
"8","2019-12-04 15:26:25-03","PUCPR","HUCP","19583","S","Plantae","Monocotiledonea",NA,"Bromeliaceae","Quesnelia","imbricata","Quesnelia imbricata","L.B. Sm.","Kersten, RA",NA,NA,"Michelon, C; Bianchi, J; Acra, LA; Kersten, RA; Selusniaki, M","2008","09","03","Brasil","Paraná","Balsa Nova","São Luiz do Purunã","-49.6356010437012","-25.5839004516602","27346",NA,NA,"auto","s.n.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2019-12-04 15:26:25-03","PUCPR","HUCP","21216","S","Plantae","Monocotiledonea",NA,"Bromeliaceae","Quesnelia","imbricata","Quesnelia imbricata","L.B. Sm.","Ariati, V",NA,NA,"Ariati, V","2009","11","07","Brasil","Paraná","Campina Grande do Sul",NA,"-49.0553016662598","-25.3055992126465","55154",NA,NA,"auto","359",NA,NA,NA,NA,"HUCP00004973","HUCP00004973",NA,NA,NA,NA,NA,NA,NA,NA
"10","2019-12-04 15:26:25-03","PUCPR","HUCP","20674","S","Plantae","Monocotiledonea",NA,"Bromeliaceae","Quesnelia","imbricata","Quesnelia imbricata","L.B. Sm.","Kersten, RA",NA,NA,"Ariati, V; Struminski, F","2009","02","13","Brasil","Paraná","Campina Grande do Sul","Morro Iapabuçu","-49.0553016662598","-25.3055992126465","55154",NA,NA,"auto","261",NA,NA,NA,NA,"HUCP00004941","HUCP00004941",NA,NA,NA,NA,NA,NA,NA,NA
