"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","individualCount","typeStatus","phylum","occurrenceRemarks","coordinatePrecision","geoFlag","barcode"
"1","2012-05-02 11:36:00-03","MO","MOBOT","100305577","PreservedSpecimen","Plantae","Amaranthaceae","Amaranthus","rosengurttii","Amaranthus rosengurttii","Hunz.","K. Waselkov (MO)","Fernando O. Zuloaga|Lone Aagesen|F. Biganzoli|Diego L. Salariato|Christian A. Zanotti","Zuloaga 11825","2010","2","15","South America","Argentina","Salta","La Viña","Alrededores de La Viña.","-65.5747223","-25.4647222","1230.00000000","1",NA,NA,NA,NA,NA,NA
"2","2017-05-10 20:52:00-03","MO","MOBOT","100970956","PreservedSpecimen","Plantae","Amaranthaceae","Amaranthus","rosengurttii","Amaranthus rosengurttii","Hunz.","fide Nestor Bayon","Arturo E. Burkart|Nélida S. Troncoso|Rosa Guaglianone","Burkart 25727","1965","4","17","South America","Argentina","Entre Ríos","Gualeguaychú","Aerodromo de Gualeguaychú",NA,NA,NA,"1",NA,NA,NA,NA,NA,NA
"3","2017-05-10 20:58:00-03","MO","MOBOT","100970957","PreservedSpecimen","Plantae","Amaranthaceae","Amaranthus","rosengurttii","Amaranthus rosengurttii","Hunz.","fide Nestor Bayon","Arturo E. Burkart|Nélida S. Troncoso|Rosa Guaglianone","Burkart 25925","1965","9","8","South America","Argentina","Entre Ríos","La Paz","Entre Ríos. La Paz. 42 Km al SE pasando el Yeso.",NA,NA,NA,"1",NA,NA,NA,NA,NA,NA
"4","2017-05-10 21:02:00-03","MO","MOBOT","100970958","PreservedSpecimen","Plantae","Amaranthaceae","Amaranthus","rosengurttii","Amaranthus rosengurttii","Hunz.","fide Nestor Bayon","Troels M. Pedersen","Pedersen s.n.","1964","2","26","South America","Argentina","Entre Ríos","Nogoyá","Crucecitas, Ea. Las Aguadas",NA,NA,NA,"1",NA,NA,NA,NA,NA,NA
"5","2017-05-10 21:12:00-03","MO","MOBOT","100970959","PreservedSpecimen","Plantae","Amaranthaceae","Amaranthus","rosengurttii","Amaranthus rosengurttii","Hunz.","fide Nestor Bayon","Maria M. Arbo|Aurelio Schinini","Arbo 2424","1981",NA,NA,"South America","Brazil","Rio Grande do Sul",NA,"W of Alegrete, A. Capivari",NA,NA,NA,"1",NA,NA,NA,NA,NA,NA
"6","2017-05-10 21:15:00-03","MO","MOBOT","100970960","PreservedSpecimen","Plantae","Amaranthaceae","Amaranthus","rosengurttii","Amaranthus rosengurttii","Hunz.","fide Nestor Bayon","Bernardo Rosengurtt","Rosengurtt B-7213","1958","2","7","South America","Uruguay","Artigas","Bella Unión",NA,NA,NA,NA,"1","Paratype",NA,NA,NA,NA,NA
"7","2017-05-10 21:18:00-03","MO","MOBOT","100970961","PreservedSpecimen","Plantae","Amaranthaceae","Amaranthus","rosengurttii","Amaranthus rosengurttii","Hunz.","fide Nestor Bayon","Bernardo Rosengurtt","Rosengurtt B-6844","1957","12","4","South America","Uruguay","Artigas","Bella Unión","Catalan, Route 30",NA,NA,NA,"1","Paratype",NA,NA,NA,NA,NA
"8","2017-05-10 21:22:00-03","MO","MOBOT","100970962","PreservedSpecimen","Plantae","Amaranthaceae","Amaranthus","rosengurttii","Amaranthus rosengurttii","Hunz.","fide Nestor Bayon","Bernardo Rosengurtt|et al.","Rosengurtt PE-198","1936","12","14","South America","Uruguay","Florida",NA,"San Pedro Del Timote",NA,NA,NA,"1","Paratype",NA,NA,NA,NA,NA
"9","2017-05-10 21:25:00-03","MO","MOBOT","100970963","PreservedSpecimen","Plantae","Amaranthaceae","Amaranthus","rosengurttii","Amaranthus rosengurttii","Hunz.","fide Nestor Bayon","V.G. Solís Neffa|Marita Dematteis|G.I. Lavia|A. Lopez","Solís Neffa 286",NA,NA,NA,"South America","Uruguay","Lavalleja",NA,"Ruta 8 KM 18, en route to Minas",NA,NA,NA,"1",NA,NA,NA,NA,NA,NA
"10","2017-05-10 21:28:00-03","MO","MOBOT","100970964","PreservedSpecimen","Plantae","Amaranthaceae","Amaranthus","rosengurttii","Amaranthus rosengurttii","Hunz.","fide Nestor Bayon","Troels M. Pedersen","Pedersen 16203",NA,NA,NA,"South America","Uruguay",NA,NA,"Jump: Carumbe",NA,NA,NA,"1",NA,NA,NA,NA,NA,NA
"11","2017-05-10 21:30:00-03","MO","MOBOT","100970965","PreservedSpecimen","Plantae","Amaranthaceae","Amaranthus","rosengurttii","Amaranthus rosengurttii","Hunz.","fide Nestor Bayon","Bernardo Rosengurtt|et al.","Rosengurtt 10324",NA,NA,NA,"South America","Uruguay",NA,NA,"Jump: A. Bayucua and Dayman river",NA,NA,NA,"1",NA,NA,NA,NA,NA,NA
"12","2017-05-15 13:17:00-03","MO","MOBOT","2519319","PreservedSpecimen","Plantae","Amaranthaceae","Amaranthus","rosengurttii","Amaranthus rosengurttii","Hunz.",NA,"Bernardo Rosengurtt|Juan P. Gallinal H.|Aragone|Bergalli|Campal","Rosengurtt PE-1031","1937","11","21","South America","Uruguay","Flores",NA,"Estancia Santa Adelaida, Arroyo Grande",NA,NA,NA,"1","Holotype",NA,NA,NA,NA,NA
"13","2021-02-08 12:31:33-03","UFRGS","ICN","030752","S","Plantae","Amaranthaceae","Amaranthus","rosengurttii","Amaranthus rosengurttii","Hunz.","Wasconcellos, J","Valls, JFM; Irgang, BE; M.L. Porto; et al.","s.n.","1973","12","05","América do Sul","Brasil","RS",NA,"entre Plano Alto e Alegrete",NA,NA,NA,NA,NA,"Dicotyledon","Espécie ameaçada de extinção (Em perigo).; em campo.",NA,NA,NA
"14","2021-02-08 12:31:33-03","UFRGS","ICN","156599","S","Plantae","Amaranthaceae","Amaranthus","rosengurttii","Amaranthus rosengurttii","Hunz.","Boldrini, II","Boldrini, II; Trevisan et Schneider","1494","2008","04","10","América do Sul","Brasil","RS","Lavras do Sul",NA,"-53.8950004577637","-30.8131008148193",NA,NA,NA,"Dicotyledon","Planta avermelhada; Neossolo Litólico","76406","auto",NA
"15","2019-10-04 16:06:02-03","MCN-FZBRS","HAS","50787","PreservedSpecimen","Plantae","Amaranthaceae","Amaranthus","rosengurtii","Amaranthus rosengurtii","Hunz.","s.d.","Valls, J.F.M.","s.n.","1973","12",NA,NA,"Brasil","Rio Grande do Sul","Alegrete","Campanha; Entre Plano Alto e Alegrete.","-55.7919006347656","-29.7831001281738",NA,NA,NA,"Magnoliophyta","Em campo; Em Perigo.","89305","auto","HAS0050787"
