"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","preparationType","occurrenceRemarks","barcode","imagecode","geoFlag","yearIdentified","monthIdentified","dayIdentified","minimumElevationInMeters","maximumElevationInMeters","verbatimLongitude","verbatimLatitude","fieldNumber","class","typeStatus"
"1","2021-03-15 16:37:00-03","NY","NYBG","459800","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Lauraceae","Cinnamomum","estrellense","Cinnamomum estrellense","(Meisn.) Kosterm.","C. M. B. Correia","M. A. Nadruz Coelho","723","1991","12","16","South America","Brazil","Rio de Janeiro","Nova Friburgo","Reserva Ecologica Municipal de Macae de Cima, area da parcela I.","-42.5311012268066","-22.2819004058838","33190","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=390305' target='other'> <mi>dwc_moreinfo</mi></a>","NY00459800","NY00459800_01","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-30 12:39:22-03","EAO","IAN","93765","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Lauraceae","Phoebe","estrellensis","Phoebe estrellensis","Mez",NA,"Glaziou, AFM","20445",NA,NA,NA,"Southern America","Brasil",NA,NA,NA,NA,NA,NA,NA,NA,"IAN093765",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-01 16:32:19-03","UNICAMP","UEC","132684","S","Plantae","Magnoliopsida",NA,"Lauraceae","Cinnamomum","estrellense","Cinnamomum estrellense","(Meisn.) Kosterm.","Barbosa, TDM","Kollmann, L; Bausen, E; Pizziolo, W","1762","1999","02","02",NA,"Brazil","Espírito Santo","Santa Teresa","Dois Pinheiros, Terreno do Banestes.","-40.6002998352051","-19.9356002807617","23813",NA,"Árvore 18m. Dap 30cm. Fuste 1m. Flores verdes.","UEC095562","UEC095562","auto","2008","07","05","750","750",NA,NA,NA,NA,NA
"4","2021-03-01 16:32:19-03","UNICAMP","UEC","186745","S","Plantae","Magnoliopsida",NA,"Lauraceae","Cinnamomum","estrellense","Cinnamomum estrellense","(Meisn.) Kosterm.","Barbosa, TDM","Cruz, TA; Subtil, IN; Cruz, DT; Cruz, DJ","39","2003","03","22",NA,"Brazil","Espírito Santo","Santa Teresa","Parque Natarual Municipal de São Lourenço.","-40.6002998352051","-19.9356002807617","23813",NA,"Árvore 20m.Dap 62cm. Botões verdes.; Área 1 Parcela 1","UEC117577","UEC117577","auto","2015","09","16",NA,NA,NA,NA,NA,NA,NA
"5","2021-03-01 16:32:19-03","UNICAMP","UEC","132376","S","Plantae","Magnoliopsida",NA,"Lauraceae","Cinnamomum","estrellense","Cinnamomum estrellense","(Meisn.) Kosterm.","Barbosa, TDM","Kollmann, L; Bausen, E; Pizziolo, W","2232","1999","03","23",NA,"Brazil","Espírito Santo","Santa Teresa","São Lourenço. Estação Biológica do São Lourenço. (Trilha do Caravagem).","-40.6002998352051","-19.9356002807617","23813",NA,"Arvoreto 11m. Dap 18m. fuste 9m. frutos verdes.","UEC095561","UEC095561","auto","2008","07","05","750","750",NA,NA,NA,NA,NA
"6","2021-03-01 16:32:19-03","UNICAMP","UEC","132544","S","Plantae","Magnoliopsida",NA,"Lauraceae","Cinnamomum","estrellense","Cinnamomum estrellense","(Meisn.) Kosterm.","Barbosa, TDM","Kollmann, L; Bausen, E; Pizziolo, W","1781","1999","02","03",NA,"Brazil","Espírito Santo","Santa Teresa","São Lourenço. Trilha do Caravegem.","-40.6002998352051","-19.9356002807617","23813",NA,"Árvore 12m. Dap 20cm. Fuste 10m. Flores verdes.","UEC095564","UEC095564","auto","1999","02","03","750","750",NA,NA,NA,NA,NA
"7","2021-03-01 16:32:40-03","UNICAMP","UEC","161057","S","Plantae","Magnoliopsida",NA,"Lauraceae","Ocotea","estrellensis","Ocotea estrellensis","Mez","Barbosa, TDM","Stefani, EJF; Belinello, R; Galvão, JC","61","2010","05","29",NA,"Brazil","São Paulo","Caraguatatuba","Parque Estadual da Serra do Mar.","-45.509444","-23.625833",NA,NA,"Árvore com 17 m; com flores imatura, creme, esverdeada.; Mata atlântica.","UEC003908","UEC003908",NA,"2010","12",NA,"50","90","-45.509444","-23.625833",NA,NA,NA
"8","2020-12-21 16:31:07-03","MBM","MBM","408270","PreservedSpecimen","Plantae",NA,NA,"Lauraceae","Ocotea","estrellensis","Ocotea estrellensis","(Meisn.) P.L.R. Moraes","Brotto, M.L.","Moraes, P.L.R.; Rohwer, J.G.; Siqueira, G.S.; Rohwer, J.G.; Siqueira, G.S.","3176","2011","09","06","Southern America","Brazil","Espírito Santo","Linhares","Reserva Natural Vale","-40.0722007751465","-19.3910999298096","48094",NA,"Árvore 5 m, frutos maduros arroxeados.; Borda da mata.","MBM408270","MBM408270","auto","2019","05","13",NA,NA,NA,NA,NA,NA,NA
"9","2020-12-21 16:31:07-03","MBM","MBM","408271","PreservedSpecimen","Plantae",NA,NA,"Lauraceae","Ocotea","estrellensis","Ocotea estrellensis","(Meisn.) P.L.R. Moraes","Brotto, M.L.","Siqueira, G.S.","703","2012","01","17","Southern America","Brazil","Espírito Santo","Linhares","Reserva Natural Vale","-39.98675","-19.17075",NA,NA,"Árvore 12 m x 78cm CAP x 6m diâm. de copa, pétalas alvas, com estames cremes.; Mata de Tabueiro.","MBM408271","MBM408271",NA,"2019","05","13","31","31","-39.98675","-19.17075",NA,NA,NA
"10","2016-11-28 17:23:36-02","MNHN","RECOLNAT_MNHN_P","P00128550","PreservedSpecimen",NA,NA,NA,"Lauraceae","Phoebe","estrellensis","Phoebe estrellensis","(Meisn.) Mez","Allen","Glaziou, A.",NA,"1877","1","28",NA,"Brésil",NA,NA,"Rio de Janeiro: Petropolis, au Retiro",NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00128550' target='other'> <mi>dwc_moreinfo</mi></a>","P00128550","P00128550_01",NA,NA,NA,NA,NA,NA,NA,NA,"8907",NA,NA
