"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","class","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","identifiedBy","yearIdentified","monthIdentified","dayIdentified","fieldNumber","preparationType","typeStatus","continentOcean","coordinatePrecision","geoFlag"
"1","2019-11-19 15:44:52-03","UNEB","HUNEB","6685","PreservedSpecimen","Plantae","Angiospermae","Dicotyledoneae","Florideophycidae","Polygalaceae","Polygala","stephaniana","Polygala stephaniana","Marques","Queiroz, L.P.de","6066","2000","02","16","Brasil","Bahia","Correntina","ca. 46.3 km W de Correntina na estrada para Brasília.","-45.015833","-13.519167","45W0'57''","13S31'9''","760","760","baixo com estratos herbáceos e arbustivo densos e poucas árvores sobre solo arenoso.","HUNEB0006685",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-08 17:43:25-03","EAO","IAN","26250","PreservedSpecimen","Plantae","Dicotiledônea",NA,NA,"Polygalaceae","Polygala","weddelliana","Polygala weddelliana","Chod.","Wedel von","3304",NA,NA,NA,"Paraguai",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IAN026250","IAN026250_f",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-12-20 21:19:06-03","UFV","VIC","12227","PreservedSpecimen","Plantae",NA,NA,NA,"Polygalaceae","Polygala","stephaniana","Polygala stephaniana","Marques","Carvalho, A.F.","326","1992","12","17","Brasil","Minas Gerais","Entre Rios","Bom Jardim dos Coelhos",NA,NA,NA,NA,NA,NA,"Erva de ca 40 cm, flores amarelas,local alagado.","VIC012227","VIC012227",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-07 11:47:47-03","UFMS","CGMS","48425","PreservedSpecimen","Plantae",NA,NA,NA,"Polygalaceae","Polygala","stephaniana","Polygala stephaniana","Marques","V.J. Pott; A. Pott","10055","2008","02","26","Brasil","Mato Grosso do Sul","Água Clara","Fazenda Recanto da Siriema; varjão do Rio Pombo, 25 km a nordeste de Água Clara e 8,5 km da entrada na BR-262 (entrada a 17 km de Água Clara).","-52.6875","-20.3686111","-52,6875","-20,3686111","382","382","Flor creme. Habitat: Campo graminoso úmido pastado pelo gado, próximo a mata de galeria. Habito: Erva anfíbia. 0,30 - 0,40 m de altura.","CGMS1078389",NA,"A. Pott","2015","08","12",NA,NA,NA,NA,NA,NA
"5","2021-04-07 11:47:47-03","UFMS","CGMS","24609","PreservedSpecimen","Plantae",NA,NA,NA,"Polygalaceae","Polygala","stephaniana","Polygala stephaniana","Marques","H.C. Vinci-Carlos; V.A. Assunção; W.M. Ramos","254","2008","04","30","Brasil","Mato Grosso do Sul","Campo Grande","Área de Proteção Ambiental dos Mananciais do Córrego Guariroba (APA do Guariroba), Fazenda Estância D#?#Casa, margem do Córrego do Açude.","-54.3980555","-20.5844444","-54,3980555","-20,5844444","556","556","Flor amarela. Odor de mentol. Vereda preservada. Habitat: Cerrado. Campo graminoso úmido (Vereda). Solo arenoso hidromórfico. Relevo plano-ondulado. Comum. Habito: Erva. 0,25 m de altura.","CGMS1054051",NA,"H.C. Vinci-Carlos; V.J. Pott","2016","10","28",NA,NA,NA,NA,NA,NA
"6","2021-04-07 11:47:47-03","UFMS","CGMS","24450","PreservedSpecimen","Plantae",NA,NA,NA,"Polygalaceae","Polygala","stephaniana","Polygala stephaniana","Marques","H.C. Vinci-Carlos; G.A. Damasceno-Junior; A. Guglieri","95","2007","11","23","Brasil","Mato Grosso do Sul","Campo Grande","Área de Proteção Ambiental dos Mananciais do Córrego Guariroba (APA do Guariroba), Fazenda Estância D#?#Casa, margem do Córrego do Açude.","-54.3983333","-20.5838889","-54,3983333","-20,5838889","559","559","Flor branca. Vereda preservada. Habitat: Cerrado. Campo graminoso úmido (Vereda). Solo arenoso hidromórfico. Relevo plano-ondulado. Comum. Habito: Erva. 0,40 m de altura.","CGMS1053878",NA,"H.C. Vinci-Carlos; V.J. Pott","2016","10","28",NA,NA,NA,NA,NA,NA
"7","2021-04-07 11:47:47-03","UFMS","CGMS","24582","PreservedSpecimen","Plantae",NA,NA,NA,"Polygalaceae","Polygala","stephaniana","Polygala stephaniana","Marques","H.C. Vinci-Carlos; G.A. Damasceno-Junior; R.M. Chiaravalloti","227","2008","02","29","Brasil","Mato Grosso do Sul","Campo Grande","Área de Proteção Ambiental dos Mananciais do Córrego Guariroba (APA do Guariroba), Fazenda Estância D#?#Casa, margem do Córrego do Açude.","-54.3936111","-20.5866666","-54,3936111","-20,5866666","550","550","Flor branca. Vereda preservada. Habitat: Cerrado. Campo graminoso úmido (Vereda). Solo arenoso hidromórfico. Relevo plano-ondulado. Comum. Habito: Erva. 0,15 m de altura.","CGMS1054022",NA,"H.C. Vinci-Carlos; V.J. Pott","2016","10","28",NA,NA,NA,NA,NA,NA
"8","2021-04-07 11:47:47-03","UFMS","CGMS","49803","PreservedSpecimen","Plantae",NA,NA,NA,"Polygalaceae","Polygala","stephaniana","Polygala stephaniana","Marques","V.J. Pott; S.N. Moreira; A. Pott","11015","2010","09","20","Brasil","Mato Grosso do Sul","Terenos","Fazenda Modelo, Embrapa, varjão próximo à ferrovia Campo Grande - Ponta Porã.","-54.7911111","-20.5577778","-54,7911111","-20,5577778","513","513","Flor creme. Habitat: Campo úmido em nascente, com buritis jovens esparsos. Solo hidromórfico, orgânico. Relevo levemente inclinado. Ocasional. Habito: Erva anfíbia. 0,20 - 0,30 m de altura.","CGMS1079734",NA,"A. Pott","2015","08","12",NA,NA,NA,NA,NA,NA
"9","2021-04-07 11:47:47-03","UFMS","CGMS","40902","PreservedSpecimen","Plantae",NA,NA,NA,"Polygalaceae","Polygala","stephaniana","Polygala stephaniana","Marques","H.C. Vinci-Carlos; A.P. de Souza; R.C. Rivaben; G.A. Damasceno-Junior","442","2013","10","02","Brasil","Mato Grosso do Sul","Corguinho","Distrito de Taboco. Fazenda Colina Dourada.","-55.1088889","-19.7097222","-55,1088889","-19,7097222","374","374","Flor violeta. Habitat: Cerrado. Afloramento rochoso (lajedo) em meio a Cerrado stricto sensu. Solo arenoso em pequena poça de água acumulada sobre rocha. Relevo acidentado. Habito: Erva aquática rupícola. 0,20m de altura.","CGMS1070896",NA,"A. Pott","2015","08","12",NA,NA,NA,NA,NA,NA
"10","2021-04-07 11:47:47-03","UFMS","CGMS","24394","PreservedSpecimen","Plantae",NA,NA,NA,"Polygalaceae","Polygala","stephaniana","Polygala stephaniana","Marques","H.C. Vinci-Carlos; G.A. Damasceno-Junior; M.L. Bueno","39","2007","10","28","Brasil","Mato Grosso do Sul","Campo Grande","Área de Proteção Ambiental dos Mananciais do Córrego Guariroba (APA do Guariroba), Fazenda Estância D#?#Casa, margem do Córrego do Açude.","-54.3977777","-20.585","-54,3977777","-20,585","554","554","Flor amarela. Raízes com odor de mentol. Vereda preservada. Habitat: Cerrado. Campo graminoso úmido (Vereda). Solo arenoso hidromórfico. Relevo plano-ondulado. Comum. Habito: Erva. 0,21 m de altura.","CGMS1053818",NA,"H.C. Vinci-Carlos; V.J. Pott","2016","10","28",NA,NA,NA,NA,NA,NA
