"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","typeStatus","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","class"
"1","2021-03-15 16:37:00-03","NY","NYBG","01857186","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Malpighiaceae","Tetrapterys","cordifolia","Tetrapterys cordifolia","W.R.Anderson","I. L. do Amaral","1550","1984","02","13","South America","Brazil","Amazonas","Barcelos","Plato da Serra Araca, parte SE da Serra Norte.","-63.37","0.85","1150","1250","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2083063' target='other'> <mi>dwc_moreinfo</mi></a>","NY01857186","NY01857186_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","1857187","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Malpighiaceae","Tetrapterys","cordifolia","Tetrapterys cordifolia","W.R.Anderson","M. G. da Silva","7155","1984","03",NA,"South America","Brazil","Amazonas",NA,"Plato (ou encosta?) da Serra do Aracá, 200 km ao norte de Barcelos","-63.3745909","0.9016571",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2083064' target='other'> <mi>dwc_moreinfo</mi></a>","NY01857187","NY01857187_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","1857189","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Malpighiaceae","Tetrapterys","cordifolia","Tetrapterys cordifolia","W.R.Anderson","G. T. Prance","29002","1984","02","12","South America","Brazil","Amazonas",NA,"Plateau of northern massif of Serra Aracá. South side of north Mountain.","-63.3745909","0.9016571","1200","1400","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2083066' target='other'> <mi>dwc_moreinfo</mi></a>","NY01857189","NY01857189_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","01857190","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Malpighiaceae","Tetrapterys","cordifolia","Tetrapterys cordifolia","W.R.Anderson","B. W. Nelson","1686","1989","12","27","South America","Brazil","Amazonas","Barcelos","Sandstone tepui 200 km N of Barcelos. Near airstrip","-62.9242","-0.974722","1067","1067","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2083067' target='other'> <mi>dwc_moreinfo</mi></a>","NY01857190","NY01857190_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","1857188","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Malpighiaceae","Tetrapterys","cordifolia","Tetrapterys cordifolia","W.R.Anderson","N. A. Rosa","2266","1978","01","28","South America","Brazil","Amazonas",NA,"arredores do R. da Serra Aracá.","-63.3745909","0.9016571",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2083065' target='other'> <mi>dwc_moreinfo</mi></a>","NY01857188","NY01857188_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","67741","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Malpighiaceae","Tetrapterys","cordifolia","Tetrapterys cordifolia","W.R.Anderson","G. T. Prance","29005","1984","02","12","South America","Brazil","Amazonas",NA,"Plateau of northern massif of serra Araca. S side of North Mountain.","-63.3745909","0.9016571","1200","1200","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=24072' target='other'> <mi>dwc_moreinfo</mi></a>","NY00067741","NY00067741_01","W. R. Anderson","isotype",NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-11-04 11:12:43-03","ESALQ","ESA","25040","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Malpighiaceae","Tetrapterys","cordifolia","Tetrapterys cordifolia","W.R.Andersson","Roque, N. et al.",NA,"1994","03","05",NA,"Brasil","Bahia","Rio de Contas",NA,"-41.8114013671875","-13.5789003372192",NA,NA,NA,NA,"ESA025040","ESA025040","Francener, A.",NA,"2013","06","19","49773","auto",NA,NA,NA
"8","2019-08-20 10:17:44-03","UNICAMP","UEC","122973","S","Plantae","Magnoliopsida",NA,"Malpighiaceae","Tetrapterys","cordifolia","Tetrapterys cordifolia","(A.Juss.) W.R.Anderson","Tozzi, AMGA; Alencar, ME","492-2001","2001","11","13",NA,"Brazil","Minas Gerais","Itacambira",NA,"-43.340833","-17.102778","1300","1300",NA,"Fruto, Campo rupestre. Flores amarelas. Frutos vináceos.","UEC051733",NA,"Almeida, RF",NA,"2013","06",NA,NA,NA,"-43.340833","-17.102778",NA
"9","2019-08-20 10:17:44-03","UNICAMP","UEC","122977","S","Plantae","Magnoliopsida",NA,"Malpighiaceae","Tetrapterys","cordifolia","Tetrapterys cordifolia","(A.Juss.) W.R.Anderson","Tozzi, AMGA","521-2001","2001","11","14",NA,"Brazil","Minas Gerais","Itacambira",NA,"-43.536389","-16.970556","1120","1120",NA,"Fruto, Campo rupestre. Flores amarelas. Frutos com alas vináceas.","UEC051734",NA,"Almeida, RF",NA,"2013","06",NA,NA,NA,"-43.536389","-16.970556",NA
"10","2021-03-01 16:33:31-03","UNICAMP","UEC","123705","S","Plantae","Magnoliopsida",NA,"Malpighiaceae","Tetrapterys","cordifolia","Tetrapterys cordifolia","(A.Juss.) W.R.Anderson","Lombardi, JA; Dutilh, JHA; Semir, J","4460","2001","10","20",NA,"Brazil","Minas Gerais","Montes Claros","Margem rodovia Montes Claros/Belo Horizonte (BR-135), acima do km 393","-43.86","-16.936667",NA,NA,NA,"Arbusto, ca 1,8m, folhas papiráceas, glândulas e cálice verdes, corola amarela.; Cerrado.","UEC060385","UEC060385","Almeida, RF",NA,"2013","06",NA,NA,NA,"-43.86","-16.936667",NA
