"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","typeStatus","recordNumber","day","continentOcean","preparationType","previousCatalogNumber","phylum","order","imagecode","infraspecificEpithet","coordinatePrecision","geoFlag","class","relatedCatalogItem","individualCount","fieldNumber","sex"
"1","2021-04-05 14:25:12-03","UNESC","CRI","13746","PreservedSpecimen","Plantae","Eriocaulaceae","Syngonanthus","caulescens","Syngonanthus caulescens","(Poir.) Ruhland","Renato Colares","2018","05","28","Renato Colares","2018","01","Brasil","Santa Catarina","Sombrio","Boa Esperança","-49.675833","-29.109444","49º40'33''W","29º6'34''S","19","19","Habitat: Terrestre Habito: Herbácea","CRI012353",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:39:02-03","E","E","319811","PreservedSpecimen","Plantae","Eriocaulaceae","Syngonanthus","caulescens","Syngonanthus caulescens",NA,NA,NA,NA,NA,"Gardner, George","1905","01","BR",NA,NA,"Piauhy, Goyaz, & c.",NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00319811 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00319811","possible type","2748","10","E. Tropical South America","herbarium specimen of unspecif","BGBASE:323612",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-09-23 10:39:02-03","E","E","319812","PreservedSpecimen","Plantae","Eriocaulaceae","Syngonanthus","caulescens","Syngonanthus caulescens",NA,NA,NA,NA,NA,"Gardner, George",NA,NA,"BR","Piauí",NA,"Province of Piauhy (South)",NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00319812 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00319812","possible type","2748",NA,"E. Tropical South America","herbarium specimen of unspecif","BGBASE:323621",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-09-23 10:39:02-03","E","E","319810","PreservedSpecimen","Plantae","Eriocaulaceae","Syngonanthus","caulescens","Syngonanthus caulescens",NA,NA,NA,NA,NA,"Gardner, George","1905","01","BR",NA,NA,"District of prov. Preto, Pernambuco",NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00319810 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00319810","possible type","2748","12","E. Tropical South America","herbarium specimen of unspecif","BGBASE:323622",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","01183568","PreservedSpecimen","Plantae","Eriocaulaceae","Eriocaulon","caulescens","Eriocaulon caulescens","Poir.","M. L. O. Trovó",NA,NA,NA,"D. Sasaki","2007","01","Brazil","Mato Grosso","Novo Mundo","Parque Estadual do Cristalino.","-55","-9",NA,NA,"231","231","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1449675' target='other'> <mi>dwc_moreinfo</mi></a>","NY01183568",NA,"1417","25","South America","sheet",NA,"Magnoliophyta","Poales","NY01183568_01",NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","00572013","PreservedSpecimen","Plantae","Eriocaulaceae","Syngonanthus","caulescens","Syngonanthus caulescens","(Poir.) Ruhland","A. M. Giulietti; P. T. Sano; L. R. Parra",NA,NA,NA,"W. Ganev","1992","09","Brazil","Bahia","Piata","Estrada Inúbia - Piata, três morros","-41.87","-13.08",NA,NA,"1400","1400","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=490114' target='other'> <mi>dwc_moreinfo</mi></a>","NY00572013",NA,"1036","08","South America","sheet",NA,"Magnoliophyta","Poales","NY00572013_01",NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","00103622","PreservedSpecimen","Plantae","Eriocaulaceae","Syngonanthus","caulescens","Syngonanthus caulescens gardnerianus","Moldenke","H. N. Moldenke",NA,NA,NA,"G. Gardner","1836",NA,"Brazil",NA,NA,"Diamond dist.",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=614101' target='other'> <mi>dwc_moreinfo</mi></a>","NY00103622","type","5253",NA,"South America","sheet",NA,"Magnoliophyta","Poales","NY00103622_01","gardnerianus",NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","00538367","PreservedSpecimen","Plantae","Eriocaulaceae","Syngonanthus","caulescens","Syngonanthus caulescens","(Poir.) Ruhland","A. Schinini",NA,NA,NA,"M. M. Arbo","1996","01","Argentina","Corrientes","Concepción","Estancia Tranquera de Hierro, 66 km al NE de Chavarría, camino a Concepción; ca. 6 km al E de la ruta","-58.075","-28.583",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=490112' target='other'> <mi>dwc_moreinfo</mi></a>","NY00538367",NA,"6992","01","South America","sheet",NA,"Magnoliophyta","Poales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","00538238","PreservedSpecimen","Plantae","Eriocaulaceae","Syngonanthus","caulescens","Syngonanthus caulescens hatschbachii","Moldenke","H. N. Moldenke",NA,NA,NA,"R. Reitz","1965","12","Brazil","Paraná","Guarapuava","10 km ao oeste de Guarapuava, Guarapuava","-51.5831495","-25.394435",NA,NA,"1100","1100","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=286223' target='other'> <mi>dwc_moreinfo</mi></a>","NY00538238",NA,"17620","14","South America","sheet",NA,"Magnoliophyta","Poales","NY00538238_01","hatschbachii",NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","00898239","PreservedSpecimen","Plantae","Eriocaulaceae","Syngonanthus","caulescens","Syngonanthus caulescens","(Poir.) Ruhland","H. N. Moldenke",NA,NA,NA,"W. R. Anderson","1972","02","Brazil","Minas Gerais","Gouveia","Serra do Espinhaço, ca. 35 km SW of Gouveia, km 243 on MG-259","-43.98545","-18.6094",NA,NA,"1080","1080","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=967938' target='other'> <mi>dwc_moreinfo</mi></a>","NY00898239",NA,"35146","02","South America","sheet",NA,"Magnoliophyta","Poales","NY00898239_01",NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","00538205","PreservedSpecimen","Plantae","Eriocaulaceae","Syngonanthus","caulescens","Syngonanthus caulescens","(Poir.) Ruhland","H. N. Moldenke",NA,NA,NA,"J. M. Pires",NA,NA,"Brazil","Bahia","Vera Cruz","Ilha de Itaparica","-38.721268","-13.00468",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=490131' target='other'> <mi>dwc_moreinfo</mi></a>","NY00538205",NA,"3408",NA,"South America","sheet",NA,"Magnoliophyta","Poales","NY00538205_01",NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","00538232","PreservedSpecimen","Plantae","Eriocaulaceae","Syngonanthus","caulescens","Syngonanthus caulescens hatschbachii","Moldenke","H. N. Moldenke",NA,NA,NA,"A. de Mattos","1951","11","Brazil","Paraná",NA,"Rio dos Papagaios",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=286210' target='other'> <mi>dwc_moreinfo</mi></a>","NY00538232",NA,NA,"09","South America","sheet",NA,"Magnoliophyta","Poales","NY00538232_01","hatschbachii",NA,NA,NA,NA,NA,NA,NA
