"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","typeStatus","yearIdentified","coordinatePrecision","geoFlag","monthIdentified","dayIdentified","individualCount","class","verbatimLongitude","verbatimLatitude"
"1","2021-03-15 16:37:00-03","NY","NYBG","584062","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Verbenaceae","Verbena","caniuensis","Verbena caniuensis","Moldenke","N. S. Troncoso","G. G. Hatschbach","20177","1968","10","31","South America","Brazil","Paraná","Palmeira","Rio Caniu","-50.0064","-25.4294","800","800","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=555181' target='other'> <mi>dwc_moreinfo</mi></a>","NY00584062","NY00584062_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","584063","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Verbenaceae","Verbena","caniuensis","Verbena caniuensis","Moldenke","N. S. Troncoso","G. G. Hatschbach","22284","1969","10","01","South America","Brazil","Paraná","Sao Mateus do Sul","10 km ao Oeste de S. Mateus","-50.3828","-25.8744",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=555182' target='other'> <mi>dwc_moreinfo</mi></a>","NY00584063","NY00584063_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","138251","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Verbenaceae","Verbena","caniuensis","Verbena caniuensis","Moldenke",NA,"G. G. Hatschbach","2560","1951",NA,NA,"South America","Brazil","Paraná",NA,"Palmeira; Rio Caniú",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=555183' target='other'> <mi>dwc_moreinfo</mi></a>","NY00138251","NY00138251_01","holotype",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-11-13 09:21:05-03","UFRJ","RFA","9367","PreservedSpecimen","Plantae",NA,NA,"Verbenaceae","Verbena","caniuensis","Verbena caniuensis","Moldenke","N. Troncoso","G.G. Hatschbach","20177","1968","10","31",NA,"Brasil","Paraná","Palmeira","Rio Caniu","-50.0064010620117","-25.4293994903564","800","800",NA,"Reptante, radicante. Flor lilás","RFA50674",NA,NA,"1969","35166","auto",NA,NA,NA,NA,NA,NA
"5","2020-12-21 16:47:17-03","MBM","MBM","43056","PreservedSpecimen","Plantae",NA,NA,"Verbenaceae","Verbena","caniuensis","Verbena caniuensis","Moldenke","Moldenke, H.N.","Hatschbach, G.","2560","1951","11","02","Southern America","Brazil","Paraná","Palmeira","Rio Caniú, rio caniú","-50.0064010620117","-25.4293994903564",NA,NA,NA,"Flor lilás.; Terreno úmido da mata ciliar.","MBM043056","MBM043056","ISOTYPE","1952","35166","auto",NA,NA,NA,NA,NA,NA
"6","2021-02-11 17:22:00-03","UFPR","UPCB","8073","PreservedSpecimen","Plantae",NA,NA,"Verbenaceae","Verbena","caniuensis","Verbena caniuensis","Moldenke","Troncoso, N.S.","Hatschbach, G.","20177","1968","10","31",NA,"Brasil","Paraná","Palmeira","Rio Caniu","-50.0064010620117","-25.4293994903564","800","800",NA,"Reptante, radicante, flor lilás. Margem da mata de galeria..",NA,NA,NA,"1969","35166","auto","01","01",NA,NA,NA,NA
"7","2021-02-11 17:22:00-03","UFPR","UPCB","2848","PreservedSpecimen","Plantae",NA,NA,"Verbenaceae","Verbena","caniuensis","Verbena caniuensis","Moldenke","Hatschbach, G.","Hatschbach, G.","7382","1960","10","20",NA,"Brasil","Paraná","Guarapuava","Serra da Esperança","-51.4580993652344","-25.395299911499",NA,NA,NA,"Flor lilás. Gramado na mata..",NA,NA,NA,"1960","53832","auto","01","01",NA,NA,NA,NA
"8","2013-08-23 04:12:00-03","MO","MOBOT","100157620","PreservedSpecimen","Plantae",NA,NA,"Verbenaceae","Verbena","caniuensis","Verbena caniuensis","Moldenke","O'Leary","Gert G. Hatschbach","Hatschbach 20177","1968","10","31","South America","Brazil","Paraná",NA,"Rio Caniu (mun. Palmeira).",NA,NA,"800.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA
"9","2013-08-23 04:12:00-03","MO","MOBOT","100157622","PreservedSpecimen","Plantae",NA,NA,"Verbenaceae","Verbena","caniuensis","Verbena caniuensis","Moldenke","O'Leary","Gert G. Hatschbach","Hatschbach 22284","1969","10","1","South America","Brazil","Paraná",NA,"10 km ao Oeste de S. Mateus (Mun. S, Mateus do Sul).",NA,NA,"760.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA
"10","2020-08-31 08:59:34-03","INPA","INPA","97028","S","Plantae","Dicotyledon Asterids","Lamiales","Verbenaceae","Verbena","caniuensis","Verbena caniuensis","Moldenke","Troncoso, NS","Hatschbach, GG","20177","1968","10","31","Southern America","Brasil","Paraná","Palmeira","Rio Caniu. Margens da mata de galeria.","-50.0064010620117","-25.4293994903564","800","800",NA,NA,"INPA0097028","INPA0097028 INPA0097028_e",NA,"1969","35166","auto",NA,NA,NA,NA,NA,NA
"11","2020-09-12 05:00:02-03","US","US","2706489","PreservedSpecimen","Plantae",NA,"Lamiales","Verbenaceae","Verbena","caniuensis","Verbena caniuensis","Moldenke",NA,"G. Hatschbach","20177","1968","10","31","South America","Brazil","Paraná",NA,"Rio Caniu (mun. Palmeiras).",NA,NA,"800",NA,NA,NA,"US03193359","US03193359_01",NA,NA,NA,NA,NA,NA,"1","Dicotyledonae",NA,NA
"12","2019-10-07 09:17:30-03","UEFS","HUEFS","11520","PreservedSpecimen","Plantae","Angiospermae","Lamiales","Verbenaceae","Verbena","caniuensis","Verbena caniuensis","Moldenke","S.Atkins","Queiroz, L.P.de","2690","1990","10","07",NA,"Brasil","São Paulo","Campos do Jordão","Reserva do Instituto Florestal. Subida para São José dos Alpes.","-45.566667","-22.716667","1200","1600",NA,"Campo de altitude.","HUEFS0011520","HUEFS0011520",NA,"2004",NA,NA,"09",NA,NA,"Asteranae","45W34'","22S43'"
"13","2014-10-09 13:58:35-03","UHH","HBG","513522","S","Plantae",NA,NA,"Verbenaceae","Verbena","caniuensis","Verbena caniuensis","Moldenke","Moldenke, H.N.","Hatschbach, G.","2560","1951","11","11","South America","Brazil",NA,NA,"Rio Caniu (mun. Palmeira) Paraná",NA,NA,NA,NA,NA,NA,"HBG513522",NA,"Isotype",NA,NA,NA,NA,NA,NA,NA,NA,NA
