"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","identifiedBy","recordNumber","stateProvince","locality","imagecode","county","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","typeStatus","infraspecificEpithet","coordinatePrecision","geoFlag","yearIdentified","verbatimLongitude","verbatimLatitude","monthIdentified","dayIdentified","class","relatedCatalogItem","fieldNumber","individualCount","sex"
"1","2020-09-23 10:40:48-03","E","E","102756","PreservedSpecimen","Plantae","Leguminosae","Plathymenia","reticulata","Plathymenia reticulata","Ratter, J.A., Bridgewater, S. & dos Santos, J. Batista","1998","08","02","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:111191","<a href=http://data.rbge.org.uk/herb/E00102756 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00102756",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","459387","PreservedSpecimen","Plantae","Fabaceae","Plathymenia","foliolosa","Plathymenia foliolosa","N. T. da Silva","1978","08","09","South America","Brazil","sheet",NA,"col. de madeira <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=232908' target='other'> <mi>dwc_moreinfo</mi></a>","NY00459387","Magnoliophyta","Fabales","Benth.","N. T. da Silva","4774","Goiás","Rio Araguaia. Sc 22 XB","NY00459387_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","459389","PreservedSpecimen","Plantae","Fabaceae","Plathymenia","foliolosa","Plathymenia foliolosa","T. S. dos Santos","1971","05","24","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=232913' target='other'> <mi>dwc_moreinfo</mi></a>","NY00459389","Magnoliophyta","Fabales","Benth.","G. P. Lewis","1697","Bahia","BR 101 do rio Pardo","NY00459389_01","Camacan","-39.49","-15.41",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","459396","PreservedSpecimen","Plantae","Fabaceae","Plathymenia","foliolosa","Plathymenia foliolosa","J. G. Jardim","1995","10","25","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=232911' target='other'> <mi>dwc_moreinfo</mi></a>","NY00459396","Magnoliophyta","Fabales","Benth.","R. C. Barneby","703","Bahia","Cachoeira do Anibal, na saida da cidade no sentido Jacobina/Capim Grosso","NY00459396_01","Jacobina","-40.5181","-11.1808",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2016-09-29 09:23:00-03","NY","NYBG","459386","PreservedSpecimen","Plantae","Fabaceae","Plathymenia","foliolosa","Plathymenia foliolosa","J. Steinbach","1925","10","26","South America","Bolivia","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=232920' target='other'> <mi>dwc_moreinfo</mi></a>","NY00459386","Magnoliophyta","Fabales",NA,NA,"6633","Santa Cruz","Buena Vista",NA,"Sara","-63.662729","-17.459703","450","450",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","1015474","PreservedSpecimen","Plantae","Fabaceae","Plathymenia","foliolosa","Plathymenia foliolosa","C. Luchiari","1993","11","23","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1106426' target='other'> <mi>dwc_moreinfo</mi></a>","NY01015474","Magnoliophyta","Fabales","Benth.",NA,"124","Rio de Janeiro","Reserva Biologica de Poço das Antes, Est. Juturnaiba, direita - km 2.","NY01015474_01","Silva Jardim","-42.3917","-22.6508",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","885756","PreservedSpecimen","Plantae","Fabaceae","Plathymenia","foliolosa","Plathymenia foliolosa","J. M. A. Braga","2001","06","11","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1007467' target='other'> <mi>dwc_moreinfo</mi></a>","NY00885756","Magnoliophyta","Fabales","Benth.","H. C. de Lima","6655","Rio de Janeiro","Reserva Biológica União, margens da antiga estrada do Lava-pé.","NY00885756_01","Rio das Ostras","-41.9447","-22.5269","30","30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","3259","PreservedSpecimen","Plantae","Fabaceae","Plathymenia","foliolosa","Plathymenia foliolosa","G. Gardner","1838","08",NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=232918' target='other'> <mi>dwc_moreinfo</mi></a>","NY00003259","Magnoliophyta","Fabales","Benth.",NA,"1589","Ceará",NA,"NY00003259_01",NA,NA,NA,NA,NA,"isotype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","459391","PreservedSpecimen","Plantae","Fabaceae","Plathymenia","foliolosa","Plathymenia foliolosa","M. F. de Sales","1995","06","04","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=232921' target='other'> <mi>dwc_moreinfo</mi></a>","NY00459391","Magnoliophyta","Fabales","Benth.",NA,"622","Pernambuco","Reserva Biologica de Serra Negra","NY00459391_01","Inajá","-37.8239","-8.9019",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","3258","PreservedSpecimen","Plantae","Fabaceae","Plathymenia","foliolosa","Plathymenia foliolosa","G. Gardner","1838","08",NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=232917' target='other'> <mi>dwc_moreinfo</mi></a>","NY00003258","Magnoliophyta","Fabales","Benth.",NA,"1589","Ceará",NA,"NY00003258_01",NA,NA,NA,NA,NA,"isotype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
