"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","dayIdentified","minimumElevationInMeters","maximumElevationInMeters","class","individualCount","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","285219","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Lecythidaceae","Eschweilera","alvimii","Eschweilera alvimii","S.A.Mori","isotype","S. A. Mori","10819","1978","10","19","South America","Brazil","Bahia","Santa Cruz Cabrália","Estrada velha para Sta. Cruz de Cabrália. Próximo à Estaçao Ecológica do Pau-brasil, 4-6 km a E da Estaçao.","-39.1441852","-16.3681257","separate fruit","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=697507' target='other'> <mi>dwc_moreinfo</mi></a>","NY00285219","NY00285219_01 NY00285219_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","390598","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Lecythidaceae","Eschweilera","alvimii","Eschweilera alvimii","S.A.Mori",NA,"R. P. Belém","2858","1966","11","07","South America","Brazil","Bahia","Santa Cruz Cabrália","2-4 Km a W de Sta. Cruz de Cabrália, pela estrada antiga. Folha SE-24 (16-39c).","-39.0440986","-16.2986237","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=697493' target='other'> <mi>dwc_moreinfo</mi></a>","NY00390598","NY00390598_01","S. A. Mori",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","390602","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Lecythidaceae","Eschweilera","alvimii","Eschweilera alvimii","S.A.Mori",NA,"A. Euponino","403","1978","11","28","South America","Brazil","Bahia","Santa Cruz Cabrália","Estaçao Ecológica do Pau-Brasil, cerca de 16 km a W de Porto Seguro. Folha SE-24 (16-39c)","-39.1805","-16.3861","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=697489' target='other'> <mi>dwc_moreinfo</mi></a>","NY00390602","NY00390602_01","S. A. Mori",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","777","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Lecythidaceae","Eschweilera","alvimii","Eschweilera alvimii","S.A.Mori","isotype","S. A. Mori","10819","1978","10","19","South America","Brazil","Bahia",NA,"Estrada velha para Sta. Cruz de Cabrália. Próximo à Estaçao Ecológica do Pau-brasil, 4-6 km a E da Estaçao.","-39.1441852","-16.3681257","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=697508' target='other'> <mi>dwc_moreinfo</mi></a>","NY00000777","NY00000777_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-30 12:39:34-03","EAO","IAN","80289","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Lecythidaceae","Eschweilera","alvimii","Eschweilera alvimii","Mori",NA,"Andrade-Lima, D de","50494","1950","06","12","Southern America","Brasil","Pernambuco","Recife","Mata Dois Irmaos. Cha.","-34.8810997009277","-8.05389022827148",NA,"Árvore alta es esguia, flores alvas muito caducas Fruto medio mais ou menos 8x10cm.","IAN080289",NA,NA,"18865","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2019-10-09 11:18:16-03","UFBA","ALCB","121375","PreservedSpecimen","Plantae","Dicotyledon",NA,"Lecythidaceae","Eschweilera","alvimii","Eschweilera alvimii","S.A.Mori",NA,"Gomes, FS","1593","2013","04","15","Southern America","Brasil","Bahia","Una",NA,"-39.078056","-15.249444",NA,"Material estéril. 78.1, parcela 05.","ALCB052553","ALCB052553","Gomes, FS",NA,NA,"2013","12","-39.078056","-15.249444",NA,NA,NA,NA,NA,NA
"7","2020-02-14 14:10:28-03","UFBA","ALCB","136442","PreservedSpecimen","Plantae","Dicotyledon",NA,"Lecythidaceae","Eschweilera","alvimii","Eschweilera alvimii","S.A.Mori",NA,"Guedes, ML; Nascimento, AFS; Tanaju, J; Pinho, CS","31735","2019","10","24","Southern America","Brasil","Alagoas","Atalaia","Entrada da Reserva da Fazenda de Santa Tereza.","-37.456944","-9.905833",NA,"de ca 16 m de altura. Folhas coriáceas, discolores. Inflorescência com flores amarelas. Frutos marrons.","ALCB065950",NA,"Guedes, ML",NA,NA,"2019","11","-37.456944","-9.905833",NA,NA,NA,NA,NA,NA
"8","2019-02-15 11:41:00-02","IPA","IPA","52860","S","Plantae","Plantae",NA,"Lecythidaceae","Eschweilera","alvimii","Eschweilera alvimii","S.A.Mori",NA,"Borges, M.","s.n.","1992","01","16","Southern America","Brasil","Pernambuco","Recife","Dois Irmãos. Mata de Dois Irmãos.","-34.8810997009277","-8.05389022827148",NA,"Arvore ca. de 23m de altura; flores amarelas","IPA0052860",NA,"Rita Pereira; Borges, M.","18865","auto","1992",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2019-02-15 11:41:00-02","IPA","IPA","1674","S","Plantae","Plantae",NA,"Lecythidaceae","Eschweilera","alvimii","Eschweilera alvimii","S.A.Mori",NA,"Andrade-Lima","50494","1950","06","12","Southern America","Brasil","Pernambuco","Recife","Mata de Dois Irmãos.","-34.8810997009277","-8.05389022827148",NA,"Arvore alta e esguia, flores alvas muito caducas. Fruto médio mais ou menos 8,10cms.","IPA0001674",NA,"Mori, S.A.","18865","auto","1981","06",NA,NA,"04",NA,NA,NA,NA,NA
"10","2019-02-15 11:41:00-02","IPA","IPA","2492","S","Plantae","Plantae",NA,"Lecythidaceae","Eschweilera","alvimii","Eschweilera alvimii","S.A.Mori",NA,"Andrade-Lima","1009","1952","03","17","Southern America","Brasil","Pernambuco",NA,"Uzina Mussurepe. Mata engenho Itaboraí.",NA,NA,NA,"Arvore muito grande ca. de 30m de altura e 1,80m de circonferência. Casca Rugosa com fendas longitudinal; flores amarelo claro com dorso poucoavermelhado. (fruto na coleção).","IPA0002492",NA,"Mori, S.A.",NA,NA,"1981","06",NA,NA,"04",NA,NA,NA,NA,NA
