"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","fieldNumber","year","month","country","locality","preparationType","occurrenceRemarks","barcode","imagecode","kingdom","identifiedBy","yearIdentified","recordNumber","day","stateProvince","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","continentOcean","individualCount","class","order","phylum","relatedCatalogItem","monthIdentified","dayIdentified"
"1","2015-11-06 17:23:06-02","MNHN","RECOLNAT_MNHN_P","P00723760","PreservedSpecimen","Melastomataceae","Miconia","weddellii","Miconia weddellii","Naudin","holotype","Weddell, H.A.","3001","1844","11","Brésil","Entre Goyas et Cujaba : lieux humides pierreux","hb","Etamine différant beaucoup du dessin de M. Naudin., A. Cogniaux Stamens (fide Cogniaux) and trichomes as Miconia albicans (Sw.) Triana. Perhaps this may be only a variation, with smaller leaves and inflorescences., R. Goldenby, 2004 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00723760' target='other'> <mi>dwc_moreinfo</mi></a>","P00723760","P00723760_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2015-11-06 17:23:07-02","MNHN","RECOLNAT_MNHN_P","P00723761","PreservedSpecimen","Melastomataceae","Miconia","weddellii","Miconia weddellii","Naudin","isotype","Weddell, H.A.","3001","1844","11","Brésil","Entre Goyas et Cujaba : lieux humides pierreux","hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00723761' target='other'> <mi>dwc_moreinfo</mi></a>","P00723761","P00723761_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-02-11 17:20:13-03","UFPR","UPCB","82591","PreservedSpecimen","Melastomataceae","Miconia","weddellii","Miconia weddellii","Naudin",NA,"Labiak, P.H.",NA,"2015","03","Brasil","Cerrado pedregoso às margens da Serra Geral. Fazenda Figueiredo.",NA,"Arbusto 1m. Frutos vináceo-escuros. 1º registro para Tocantins.","UPCB0019216","UPCB0019216","Plantae","Goldenberg, R.","2015","6053","10","Tocantins","Taguatinga","-46.348","-12.306","-46.348","-12.306","900","900",NA,NA,NA,NA,NA,NA,NA,NA
"4","2013-08-15 14:46:00-03","MO","MOBOT","100621628","PreservedSpecimen","Melastomataceae","Miconia","weddellii","Miconia weddellii","Naudin","Holotype","Hugh A. Weddell",NA,NA,NA,"Brazil",NA,NA,NA,NA,NA,"Plantae",NA,NA,"Weddell 3001",NA,NA,NA,NA,NA,NA,NA,NA,NA,"South America","1",NA,NA,NA,NA,NA,NA
"5","2020-09-12 05:00:02-03","US","US","102985","PreservedSpecimen","Melastomataceae","Miconia","weddellii","Miconia weddellii","Naudin","Type collection","M. Weddell",NA,"1844",NA,"Brazil","Brésil - entre Goyaz et Cujaba.",NA,"Photograph and fragmentary material of type specimen ex herb. Paris","US02944838","US02944838_01","Plantae",NA,NA,"3001",NA,"Goiás",NA,NA,NA,NA,NA,NA,NA,"South America - Neotropics","1","Dicotyledonae","Myrtales",NA,NA,NA,NA
"6","2019-01-22 15:33:37-02","F","FMNH-SEEDPLANTS","V0063874F","PreservedSpecimen","Melastomataceae","Miconia","weddellii","Miconia weddellii",NA,"Possible type","H. A. Weddell",NA,NA,NA,"Brazil",NA,NA,NA,"V0063874F","V0063874F_01","Plantae",NA,NA,"3081",NA,NA,NA,"-52.8731","-10.8339",NA,NA,NA,NA,"South America",NA,"Dicotyledoneae",NA,"Spermatophyta",NA,NA,NA
"7","2020-07-23 12:13:27-03","CEPLAC","CEPEC","147672","PreservedSpecimen","Melastomataceae","Miconia","weddellii","Miconia weddellii",NA,NA,"P. H. Labiak",NA,"2015","03","Brasil","Nas margens da Serra Geral. Fazenda Figueredo.",NA,NA,NA,NA,"Plantae","J. Coelho",NA,"6053","10","Tocantins","taguatinga","-46.348333","-12.305556","46W20'54","12S18'20",NA,NA,NA,NA,NA,NA,NA,"12/05/2016",NA,NA
"8","2019-11-21 10:10:22-03","IBt","SP","352261","S","Melastomataceae","Miconia","weddellii","Miconia weddellii","Naudin",NA,"Silva, SS",NA,"2000","11","Brasil",NA,NA,NA,"SP030120","SP030120","Plantae","Goldenberg, R","2014","146","08","Mato Grosso","Ribeirãozinho","-52.701667","-16.305556","-52.701667","-16.305556",NA,NA,NA,NA,NA,NA,NA,NA,"08","04"
