"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","barcode","imagecode","locality","phylum","order","continentOcean","preparationType","occurrenceRemarks","typeStatus","coordinatePrecision","geoFlag","class","relatedCatalogItem","fieldNumber","individualCount"
"1","2021-04-05 14:33:57-03","UNESC","CRI","2462","PreservedSpecimen","Plantae","Poaceae","Olyra","fasciculata","Olyra fasciculata","Trin.","T. R. Soderstrom","1965","06","30","L. B. Smith; R. M. Klein","13107","1964","11","10","Brasil","Santa Catarina","Águas de Chapecó","-52.986944","-27.070833","52º59'13''W","27º4'15''S","245","245","CRI006998","CRI006998",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:33:57-03","UNESC","CRI","2323","PreservedSpecimen","Plantae","Poaceae","Olyra","fasciculata","Olyra fasciculata","Trin.","L. B. Smith","1976",NA,NA,"R. Reitz; R. M. Klein",NA,"1963","12","31","Brasil","Santa Catarina","Águas de Chapecó","-52.986667","-27.070278","52º59'12''W","27º4'13''S","245","245","CRI006996","CRI006996","Água de Chapecó - SC.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:33:57-03","UNESC","CRI","8860","PreservedSpecimen","Plantae","Poaceae","Olyra","fasciculata","Olyra fasciculata","Trin.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Brasil","Santa Catarina","Criciúma","-49.373333","-28.6725","49º22'24''W","28º40'21''S","58","58","CRI006995","CRI006995",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","02499213","PreservedSpecimen","Plantae","Poaceae","Olyra","fasciculata","Olyra fasciculata","Trin.","R. P. de Oliveira",NA,NA,NA,"W. W. Thomas","12345","2001","03","18","Brazil","Bahia","Itanhém","-40.4214","-17.1325",NA,NA,"260","300","NY02499213","NY02499213_01","Fazenda Pedra Grande, 16.2 km west of Itanhém on road to Batinga, then 0.6 km north to Fazenda (owner Otevaldo Resende da Silva)","Magnoliophyta","Poales","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=572186' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","651226","PreservedSpecimen","Plantae","Poaceae","Olyra","fasciculata","Olyra fasciculata","Trin.","J. R. Swallen",NA,NA,NA,"G. Klug","4197","1935","12",NA,"Peru","San Martín",NA,"-76.730683","-7.179499",NA,NA,"400","800","NY00651226",NA,"Juan Jui, Alto Río Huallaga.","Magnoliophyta","Poales","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=215975' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","651219","PreservedSpecimen","Plantae","Poaceae","Olyra","fasciculata","Olyra fasciculata","Trin.",NA,NA,NA,NA,"A. F. Regnell","239",NA,NA,NA,"Brazil","Rio de Janeiro",NA,NA,NA,NA,NA,NA,NA,"NY00651219","NY00651219_01",NA,"Magnoliophyta","Poales","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=215987' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","02715612","PreservedSpecimen","Plantae","Poaceae","Olyra","fasciculata","Olyra fasciculata","Trin.","R. P. Oliveira",NA,NA,NA,"A. M. Amorim","4591","2004","12","29","Brazil","Bahia","Itanhém","-40.4261","-17.1381",NA,NA,NA,NA,"NY02715612","NY02715612_01","Estrada Itanhém a Batinga, ca. 16 km. Ramal a direita, dando acesso à Faz. Pedra Grande, de Prop. de Etevaldo Rezende da Silva.","Magnoliophyta","Poales","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2474215' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","651224","PreservedSpecimen","Plantae","Poaceae","Olyra","fasciculata","Olyra fasciculata","Trin.","E. J. Judziewicz",NA,NA,NA,"G. G. Hatschbach","20548","1968","12","07","Brazil","Paraná","Sao Jorge d'Oeste","-53.008927","-25.537385",NA,NA,NA,NA,"NY00651224","NY00651224_01","Rio Iguaçu, Salto Osório","Magnoliophyta","Poales","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=215978' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","651223","PreservedSpecimen","Plantae","Poaceae","Olyra","fasciculata","Olyra fasciculata","Trin.","J. C. Lindeman",NA,NA,NA,"J. C. Lindeman","3558","1966","12","01","Brazil","Paraná",NA,NA,NA,NA,NA,NA,NA,"NY00651223","NY00651223_01","Parque Nacional do Iguaçú; W. bank of Rio Floriano","Magnoliophyta","Poales","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=215977' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","381532","PreservedSpecimen","Plantae","Poaceae","Olyra","fasciculata","Olyra fasciculata","Trin.",NA,NA,NA,NA,"L. Riedel","s.n.",NA,NA,NA,"Brazil",NA,NA,NA,NA,NA,NA,NA,NA,"NY00381532","NY00381532_01","Brasilia","Magnoliophyta","Poales","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=215990' target='other'> <mi>dwc_moreinfo</mi></a>","type",NA,NA,NA,NA,NA,NA
