"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","typeStatus","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","class","verbatimLongitude","verbatimLatitude","previousCatalogNumber","fieldNumber","individualCount","infraspecificEpithet"
"1","2021-03-15 16:37:00-03","NY","NYBG","00697040","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","viscosissimum","Solanum viscosissimum","Sendtn.","M. H. Nee","H. S. Irwin","22864","1969","01","29","South America","Brazil","Minas Gerais","Diamantina","Ca. 17km N.E. of Diamantina, road to Mendanha","-43.55","-18.15","1250","1250","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=829144' target='other'> <mi>dwc_moreinfo</mi></a>","NY00697040","NY00697040_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","00697037","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","viscosissimum","Solanum viscosissimum","Sendtn.",NA,"L. Riedel","1438","1825","01",NA,"South America","Brazil",NA,NA,"In Monte Carassa",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=829128' target='other'> <mi>dwc_moreinfo</mi></a>","NY00697037","NY00697037_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","00697045","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","viscosissimum","Solanum viscosissimum","Sendtn.","M. H. Nee","H. S. Irwin","5392","1964","08","21","South America","Brazil","Distrito Federal","Brasília","Ca. 35 km E. of Brasília","-47.9294","-15.7797","700","1000","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=829158' target='other'> <mi>dwc_moreinfo</mi></a>","NY00697045","NY00697045_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","00697048","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","viscosissimum","Solanum viscosissimum","Sendtn.",NA,"S. R. Silva","84","1995","10","31","South America","Brazil","Distrito Federal","Brasília","Reserva Ecológica do IBGE","-47.9294","-15.7797",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=829163' target='other'> <mi>dwc_moreinfo</mi></a>","NY00697048","NY00697048_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","00697038","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","viscosissimum","Solanum viscosissimum","Sendtn.",NA,"L. Riedel","1438","1825","01",NA,"South America","Brazil",NA,NA,"In Monte Carassa",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=829138' target='other'> <mi>dwc_moreinfo</mi></a>","NY00697038","NY00697038_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","00697041","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","viscosissimum","Solanum viscosissimum","Sendtn.","S. D. Knapp","H. S. Irwin","6221","1964","09","14","South America","Brazil","Distrito Federal","Brasília","Chapada da Contagem, ca. 20 km E. of Brasília","-47.9294","-15.7797","700","1000","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=829147' target='other'> <mi>dwc_moreinfo</mi></a>","NY00697041","NY00697041_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","669282","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","viscosissimum","Solanum viscosissimum","Sendtn.","M. H. Nee","S. A. Mori","11311","1978","11","22","South America","Brazil","Bahia","Barra do Choça","Estrada que liga Barra do Choça à Faz. Roda d'Agua (Rio Catolé), 3-6km a E de Barra do Choça. Folha SD-24 (15-41b).","-40.57","-14.88",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=193697' target='other'> <mi>dwc_moreinfo</mi></a>","NY00669282","NY00669282_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","00697039","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","viscosissimum","Solanum viscosissimum","Sendtn.",NA,"G. H. von Langsdorff","s.n.","1813",NA,NA,"South America","Brazil","Minas Gerais",NA,NA,NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=829142' target='other'> <mi>dwc_moreinfo</mi></a>","NY00697039","NY00697039_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","00697046","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","viscosissimum","Solanum viscosissimum","Sendtn.","S. D. Knapp","H. S. Irwin","11355","1965","12","17","South America","Brazil","Distrito Federal","Brasília","Cerrado, Chapada da Contagem, ca. 10 km. E. of Brasília","-47.9294","-15.7797","1000","1000","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=829159' target='other'> <mi>dwc_moreinfo</mi></a>","NY00697046","NY00697046_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","00697043","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","viscosissimum","Solanum viscosissimum","Sendtn.","M. H. Nee","H. S. Irwin","18293","1966","07","20","South America","Brazil","Distrito Federal","Brasília","Planaltina","-47.66666667","-15.61666667",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=829152' target='other'> <mi>dwc_moreinfo</mi></a>","NY00697043","NY00697043_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
