"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","occurrenceRemarks","barcode","geoFlag","phylum","order","recordNumber","continentOcean","preparationType","imagecode","maximumElevationInMeters","minimumElevationInMeters","verbatimLongitude","verbatimLatitude","class","previousCatalogNumber","fieldNumber","individualCount","relatedCatalogItem"
"1","2021-04-05 14:25:20-03","UNESC","CRI","12389","PreservedSpecimen","Plantae","Goodeniaceae","Scaevola","plumieri","Scaevola plumieri","(L.) Vahl","Renato Colares","2017","06","08","Alexandre Medeiros","2017","04","20","Brasil","Santa Catarina","Balneário Camboriú","Estaleiro.","-48.6347007751465","-26.9906005859375","8793","Coleta 137.","CRI010596","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","424010","PreservedSpecimen","Plantae","Goodeniaceae","Scaevola","plumieri","Scaevola plumieri","(L.) Vahl",NA,NA,NA,NA,"D. R. Hunt","1966","07","18","Brazil","Santa Catarina","Florianópolis","Ilha de Santa Catarina","-48.4934807","-27.5942613",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=648869' target='other'> <mi>dwc_moreinfo</mi></a>","NY00424010",NA,"Magnoliophyta","Asterales","6370","South America","sheet","NY00424010_01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","424023","PreservedSpecimen","Plantae","Goodeniaceae","Scaevola","plumieri","Scaevola plumieri","(L.) Vahl","F. R. Fosberg",NA,NA,NA,"Freire","1934","02",NA,"Brazil",NA,NA,"Barra da Yuca [Barra da Tijuca?]",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=648861' target='other'> <mi>dwc_moreinfo</mi></a>","NY00424023",NA,"Magnoliophyta","Asterales","493","South America","sheet","NY00424023_01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2016-09-30 19:01:00-03","NY","NYBG","720029","PreservedSpecimen","Plantae","Goodeniaceae","Scaevola","plumieri","Scaevola plumieri",NA,NA,NA,NA,NA,"J. M. A. Braga","2004","01","05","Brazil","Espírito Santo","Guarapari","Setiba, Parque Estadual Paulo César Vinha, Praia do Setibão, trilha na beira mar em direção a Lagoa dos Carais (Lagoa da Coca-cola)","-40.5108","-20.6581",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2528036' target='other'> <mi>dwc_moreinfo</mi></a>","NY00720029",NA,"Magnoliophyta","Asterales","7339","South America","sheet","NY00720029_01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","424015","PreservedSpecimen","Plantae","Goodeniaceae","Scaevola","plumieri","Scaevola plumieri","(L.) Vahl",NA,NA,NA,NA,"A. F. M. Glaziou",NA,NA,NA,"Brazil","Rio de Janeiro","Rio de Janeiro","Praia de Copacabana","-43.185248","-22.973184",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=648872' target='other'> <mi>dwc_moreinfo</mi></a>","NY00424015",NA,"Magnoliophyta","Asterales","17106","South America","sheet","NY00424015_01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","439931","PreservedSpecimen","Plantae","Goodeniaceae","Scaevola","plumieri","Scaevola plumieri","(L.) Vahl",NA,NA,NA,NA,"J. G. Jardim","1999","08","14","Brazil","Bahia","Maraú","Peninsula de Maraú. Area de Preservaçao Ambiental (APA). Faz. Virgem Del Mar","-38.95","-14.0992",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=648879' target='other'> <mi>dwc_moreinfo</mi></a>","NY00439931",NA,"Magnoliophyta","Asterales","2168","South America","sheet","NY00439931_01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2016-09-29 16:40:00-03","NY","NYBG","424025","PreservedSpecimen","Plantae","Goodeniaceae","Scaevola","plumieri","Scaevola plumieri",NA,NA,NA,NA,NA,"L. B. Holm-Nielsen","1973","03","17","Ecuador","Santa Elena",NA,"Pacific coast 400 m E of Punta Carnero","-80.92","-2.25",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=648877' target='other'> <mi>dwc_moreinfo</mi></a>","NY00424025",NA,"Magnoliophyta","Asterales","2049","South America","sheet",NA,"5",NA,NA,NA,NA,NA,NA,NA,NA
"8","2016-09-29 16:40:00-03","NY","NYBG","424013","PreservedSpecimen","Plantae","Goodeniaceae","Scaevola","plumieri","Scaevola plumieri",NA,NA,NA,NA,NA,"P. R. J. Bamps","1975","12","24","Brazil","Espírito Santo",NA,"Conceiçao da Barra","-39.73","-18.58",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=648871' target='other'> <mi>dwc_moreinfo</mi></a>","NY00424013",NA,"Magnoliophyta","Asterales","5052","South America","sheet","NY00424013_01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","424016","PreservedSpecimen","Plantae","Goodeniaceae","Scaevola","plumieri","Scaevola plumieri","(L.) Vahl","F. R. Fosberg",NA,NA,NA,"E. H. G. Ule","1897","11",NA,"Brazil","Rio de Janeiro","Rio de Janeiro","Praia da Copacabana","-43.185248","-22.973184",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=648860' target='other'> <mi>dwc_moreinfo</mi></a>","NY00424016",NA,"Magnoliophyta","Asterales","4574","South America","sheet","NY00424016_01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","424021","PreservedSpecimen","Plantae","Goodeniaceae","Scaevola","plumieri","Scaevola plumieri","(L.) Vahl","L. B. Smith; S. F. Smith",NA,NA,NA,"G. G. Hatschbach","1967","11","22","Brazil","Paraná","Guaratuba","Barra do Saí","-48.5744","-25.8831",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=648859' target='other'> <mi>dwc_moreinfo</mi></a>","NY00424021",NA,"Magnoliophyta","Asterales","17925","South America","sheet","NY00424021_01",NA,NA,NA,NA,NA,NA,NA,NA,NA
