"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","barcode","imagecode","phylum","order","identifiedBy","recordNumber","continentOcean","preparationType","occurrenceRemarks","yearIdentified","coordinatePrecision","geoFlag","monthIdentified","dayIdentified","typeStatus","fieldNumber","class","individualCount","relatedCatalogItem"
"1","2021-04-05 14:33:44-03","UNESC","CRI","2811","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","copacabanensis","Eugenia copacabanensis","Kiaersk.","Liene","1958","08","01","Brasil","Rio de Janeiro","Rio de Janeiro","Jacarépagua, RJ.","-43.172778","-22.906667","43º10'22''W","22º54'24''S","14","14","CRI005032","CRI005032",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","557997","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","copacabanensis","Eugenia copacabanensis","Kiaersk.","L. R. Landrum","1982","01","21","Brazil","Rio de Janeiro","Maricá","Marica, Restinga de Marica, between ocean and Lagoa de marica, ca. 40 km E of Rio de Janeiro","-42.865151","-22.958935",NA,NA,NA,NA,"NY00557997","NY00557997_01","Magnoliophyta","Myrtales","M. Sobral","4190","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=479355' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","579933","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","copacabanensis","Eugenia copacabanensis","Kiaersk.","D. S. D. de Araújo","1989","02","21","Brazil","Rio de Janeiro","Arraial do Cabo","Reserva Ecológica Est. de Massambaba, próz. ao Brejo do Espinho.","-42.0278","-22.9661",NA,NA,NA,NA,"NY00579933","NY00579933_01","Magnoliophyta","Myrtales","G. M. Barroso","8687","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=381657' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","579932","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","copacabanensis","Eugenia copacabanensis","Kiaersk.","D. S. D. de Araújo","1984","09","13","Brazil","Rio de Janeiro","Cabo Frio","Alcalis.","-42.0183","-22.8794",NA,NA,NA,NA,"NY00579932","NY00579932_01","Magnoliophyta","Myrtales","G. M. Barroso","6413","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=381660' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","579929","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","copacabanensis","Eugenia copacabanensis","Kiaersk.","J. M. Silva","1998","08","28","Brazil","Paraná","Guaratuba","Estrada para a Colônia Limeira.","-48.5744","-25.8831",NA,NA,NA,NA,"NY00579929","NY00579929_01","Magnoliophyta","Myrtales","M. Sobral","2439","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=381656' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","579930","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","copacabanensis","Eugenia copacabanensis","Kiaersk.","G. G. Hatschbach","1988","02","04","Brazil","Paraná","Morretes","Rio Bonito","-48.8342","-25.4769",NA,NA,"100","100","NY00579930","NY00579930_01","Magnoliophyta","Myrtales","M. Sobral","51869","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=381654' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","579934","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","copacabanensis","Eugenia copacabanensis","Kiaersk.","H. C. de Lima","1986","03","24","Brazil","Rio de Janeiro","Maricá","Barra de Maricá, restinga próximo a Lagoa.","-42.827875","-22.923546",NA,NA,NA,NA,"NY00579934","NY00579934_01","Magnoliophyta","Myrtales","H. C. de Lima","2680","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=381658' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","579928","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","copacabanensis","Eugenia copacabanensis","Kiaersk.","J. M. Silva","1998","12","15","Brazil","Paraná","Morretes","Serra da Prata, trilha para a Torre da Prata.","-48.8342","-25.4769",NA,NA,NA,NA,"NY00579928","NY00579928_01","Magnoliophyta","Myrtales","G. G. Hatschbach","2708","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=381659' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","579931","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","copacabanensis","Eugenia copacabanensis","Kiaersk.","G. G. Hatschbach","1977","11","11","Brazil","Paraná","Morretes","Fartura.","-48.8342","-25.4769",NA,NA,NA,NA,"NY00579931","NY00579931_01","Magnoliophyta","Myrtales","M. Sobral","40502","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=381655' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-02-18 09:30:14-03","UNESP-IBB","BOTU","26407","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","copacabanensis","Eugenia copacabanensis","Kiaersk.","Hoehne, F.C.","1932","02","01","Brasil","São Paulo","São Paulo",NA,NA,NA,"9999","9999",NA,NA,"BOTU026407",NA,NA,NA,"Kawasaki, M.L.","28779",NA,NA,NA,"2000",NA,NA,NA,NA,NA,NA,NA,NA,NA
