"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","day","minimumElevationInMeters","maximumElevationInMeters","class","typeStatus","relatedCatalogItem","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","fieldNumber","individualCount","verbatimLongitude","verbatimLatitude"
"1","2021-03-15 16:37:00-03","NY","NYBG","626389","PreservedSpecimen","Plantae","Magnoliophyta","Proteales","Proteaceae","Roupala","sculpta","Roupala sculpta","Sleumer","K. S. Edwards","O. Handro","2104","1969","09","South America","Brazil","São Paulo","Sao Paulo","Agua Funda, nativa do Jardim Botânico.","-46.618358","-23.646109","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=32556' target='other'> <mi>dwc_moreinfo</mi></a>","NY00626389","NY00626389_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","626387","PreservedSpecimen","Plantae","Magnoliophyta","Proteales","Proteaceae","Roupala","sculpta","Roupala sculpta","Sleumer","K. S. Edwards","H. C. de Lima","2201","1984","10","South America","Brazil","Rio de Janeiro","Magé","Paraiso, área do Centro de Primatologia do RJ.","-43.0406","-22.6531","sheet","[See label for additional information on collecting trip.] <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=32558' target='other'> <mi>dwc_moreinfo</mi></a>","NY00626387","NY00626387_01","16","200","200",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","626388","PreservedSpecimen","Plantae","Magnoliophyta","Proteales","Proteaceae","Roupala","sculpta","Roupala sculpta","Sleumer","J. R. Pirani","W. Hoehne","s.n.","1946","08","South America","Brazil","São Paulo","Sao Paulo","Parque Estadual. Atrás das estufas.","-46.63","-23.5403","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=32557' target='other'> <mi>dwc_moreinfo</mi></a>","NY00626388","NY00626388_01","26",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","885051","PreservedSpecimen","Plantae","Magnoliophyta","Proteales","Proteaceae","Roupala","sculpta","Roupala sculpta","Sleumer","R. Lupo","I. Cordeiro","1228","1993","05","South America","Brazil","São Paulo",NA,"Capital, Parque do Estado, Instituto de Botânica, bosque do Hoehne (abaixo das seções de Ecologia e Fisiologia).",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=971183' target='other'> <mi>dwc_moreinfo</mi></a>","NY00885051","NY00885051_01","20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-02-08 10:21:32-03","NBC","NL-BOTANY","L 0039669","PreservedSpecimen","Plantae",NA,"Proteales","Proteaceae","Roupala","sculpta","Roupala sculpta","Sleumer",NA,"Handro O",NA,"1940","09","Southern America","Brazil","São Paulo",NA,"Brasil: Estado de Sao Paulo Capital, nativa no Jardim Botanico",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L%20%200039669 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L0039669","NL-L0039669","04",NA,NA,"Magnoliopsidae","isotype","958330207",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-02-08 10:21:32-03","NBC","NL-BOTANY","L 0039670","PreservedSpecimen","Plantae",NA,"Proteales","Proteaceae","Roupala","sculpta","Roupala sculpta","Sleumer",NA,"Handro O",NA,"1940","09","Southern America","Brazil","São Paulo",NA,"Brasil: Estado de Sao Paulo Capital, nativa no Jardim Botanico",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L%20%200039670 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L0039670","NL-L0039670","04",NA,NA,"Magnoliopsidae","isotype","958330206",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-11-04 11:17:51-03","ESALQ","ESA","105516","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Proteaceae","Roupala","sculpta","Roupala sculpta",NA,"Aguiar, O.T.","Aguiar, O.T.",NA,"2002","03",NA,"Brasil","São Paulo","São Miguel Arcanjo",NA,"-47.9900016784668","-23.8700008392334",NA,NA,"ESA105516","ESA105516","13",NA,NA,NA,NA,NA,"2002","03","17","27904","auto",NA,NA,NA,NA
"8","2020-06-29 09:31:50-03","UFRRJ","RBR","32998","S","Plantae",NA,NA,"Proteaceae","Roupala","sculpta","Roupala sculpta","Sleumer",NA,"A.T. Silva","s.n.","1991","12",NA,"Brasil","Rio de Janeiro","Angra dos Reis","Parque Estadual da Ilha Grande","-44.3180999755859","-23.0067005157471",NA,NA,"RBR00032998",NA,"23",NA,NA,NA,NA,NA,NA,NA,NA,"32988","auto",NA,NA,NA,NA
"9","2015-09-04 06:18:28-03","MNHN","RECOLNAT_MNHN_P","P02786148","PreservedSpecimen",NA,NA,NA,"Proteaceae","Roupala","sculpta","Roupala sculpta","Sleumer",NA,"Cordeiro, I.",NA,"1993","5",NA,"Brésil","São Paulo",NA,"Brasil; São Paulo, capital, Parque do Estado, Instituto de Botânica, bosque do Hoehne (abaixo das seções de Ecologia e Fisiologia).","-46.622","-23.642","hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02786148' target='other'> <mi>dwc_moreinfo</mi></a>","P02786148",NA,"20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1228",NA,NA,NA
"10","2008-05-27 22:02:00-03","MO","MOBOT","3033554","PreservedSpecimen","Plantae",NA,NA,"Proteaceae","Roupala","sculpta","Roupala sculpta","Sleumer","K.S. Edwards","Lima","Lima 2201","1984","10","South America","Brazil","Rio de Janeiro",NA,"RJ, Mun. de Magé, Paraiso, área do Centro de Primatologia do RJ",NA,NA,NA,NA,NA,NA,"16","200.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
