"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","recordNumber","stateProvince","locality","decimalLongitude","decimalLatitude","imagecode","county","identifiedBy","coordinatePrecision","geoFlag","minimumElevationInMeters","maximumElevationInMeters","verbatimLongitude","verbatimLatitude","class","relatedCatalogItem","typeStatus","yearIdentified","monthIdentified","dayIdentified","fieldNumber","individualCount"
"1","2020-09-23 10:43:18-03","E","E","105319","PreservedSpecimen","Plantae","Salicaceae","Casearia","mariquitensis","Casearia mariquitensis","Gottsberger, I.S. & Gottsberger, G.K.","1982","02","20","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:114918","<a href=http://data.rbge.org.uk/herb/E00105319 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00105319",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","2150245","PreservedSpecimen","Plantae","Salicaceae","Casearia","mariquitensis","Casearia mariquitensis","H. H. Rusby","1886","10",NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2304945' target='other'> <mi>dwc_moreinfo</mi></a>","NY02150245","Magnoliophyta","Malpighiales","Kunth","2614 a","Rondônia","Falls of Madeira","-65.3465375","-10.7798649","NY02150245_01 NY02150245_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","2150250","PreservedSpecimen","Plantae","Salicaceae","Casearia","mariquitensis","Casearia mariquitensis","T. C. Plowman","1982","12","07","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2304950' target='other'> <mi>dwc_moreinfo</mi></a>","NY02150250","Magnoliophyta","Malpighiales","Kunth","12375","Amazonas","Rio Japura, environs of town Maraa. Headwaters of Lago Maraa.","-65.62","-1.783333","NY02150250_01","Maraã",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","2150248","PreservedSpecimen","Plantae","Salicaceae","Casearia","mariquitensis","Casearia mariquitensis","B. A. Krukoff","1933","07","04","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2304948' target='other'> <mi>dwc_moreinfo</mi></a>","NY02150248","Magnoliophyta","Malpighiales","Kunth","5158","Amazonas","Basin of Rio Jurua: near mouth of Rio Embira (tributary of Rio Tarauaca)","-70.25","-7.5","NY02150248_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","476266","PreservedSpecimen","Plantae","Salicaceae","Casearia","mariquitensis","Casearia mariquitensis","J. C. Lindeman","1966","06","27","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=733441' target='other'> <mi>dwc_moreinfo</mi></a>","NY00476266","Magnoliophyta","Malpighiales","Kunth","1791","Paraná","Levee of Rio Paraná near Porto Byington","-53.9017","-23.8744","NY00476266_01","Altônia","R. L. Liesner",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","756082","PreservedSpecimen","Plantae","Salicaceae","Casearia","mariquitensis","Casearia mariquitensis","P. J. M. Maas","2001","10","18","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=232206' target='other'> <mi>dwc_moreinfo</mi></a>","NY00756082","Magnoliophyta","Malpighiales","Kunth","9076","Acre","BR-307, Ramal Feijao Insosso, km 15","-72.9647","-7.5981","NY00756082_01","Mâncio Lima","R. L. Liesner",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","2150249","PreservedSpecimen","Plantae","Salicaceae","Casearia","mariquitensis","Casearia mariquitensis","H. H. Rusby","1886","10",NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2304949' target='other'> <mi>dwc_moreinfo</mi></a>","NY02150249","Magnoliophyta","Malpighiales","Kunth","2614 a","Rondônia","Falls of Madeira","-65.3465375","-10.7798649","NY02150249_01 NY02150249_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","2150239","PreservedSpecimen","Plantae","Salicaceae","Casearia","mariquitensis","Casearia mariquitensis","W. Milliken","1987","07","04","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2304908' target='other'> <mi>dwc_moreinfo</mi></a>","NY02150239","Magnoliophyta","Malpighiales","Kunth","M.393","Roraima","SEMA Ecological Reserve, Ilha de Maracá. Ilha Nova Olinda, Furo de Maracá.","-61.48","3.35","NY02150239_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","00897133","PreservedSpecimen","Plantae","Salicaceae","Casearia","mariquitensis","Casearia mariquitensis","G. T. Prance","1964","10","21","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=971384' target='other'> <mi>dwc_moreinfo</mi></a>","NY00897133","Magnoliophyta","Malpighiales","Kunth","59528","Goiás","Serra do Caiapó. 13 km N of Jataí, road Jataí to Caiaponia.","-51.7142","-17.8817","NY00897133_01","Jataí","H. O. Sleumer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","02150241","PreservedSpecimen","Plantae","Salicaceae","Casearia","mariquitensis","Casearia mariquitensis","W. Milliken","1987","05","23","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2573881' target='other'> <mi>dwc_moreinfo</mi></a>","NY02150241","Magnoliophyta","Malpighiales","Kunth","272","Roraima","SEMA Ecological Reserve, Ilha de Maraca. Igarape Budu.","-63.033333","3.333333","NY02150241_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
