"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","barcode","imagecode","yearIdentified","monthIdentified","dayIdentified","occurrenceRemarks","phylum","order","individualCount","coordinatePrecision","geoFlag","infraspecificEpithet","continentOcean","preparationType","class","fieldNumber","typeStatus"
"1","2021-04-05 14:25:04-03","UNESC","CRI","3044","PreservedSpecimen","Plantae","Bromeliaceae","Aechmea","caudata","Aechmea caudata","Lindm.","Jorge Luiz Waechter","Raquel Rejane Bonatto Negrelle","306","1992","07","31","Brasil","Santa Catarina","Itapoá","Reserva Volta Velha (Bairro Itapema Norte).","-48.65","-26.15","48º39'W","26º9'S","5","5","CRI001754","CRI001754",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:25:04-03","UNESC","CRI","8736","PreservedSpecimen","Plantae","Bromeliaceae","Aechmea","caudata","Aechmea caudata","Lindm.","Telma Elyta V. Azeredo","Emilaine Biava Dalmolim; Lislaine Cardoso de Oliveira, Peterson T. Padilha, Telma Elyta Vilhaba Azevedo",NA,"2010","03","05","Brasil","Santa Catarina","Criciúma","Parque Ecológico Municipal José Milanese.","-49.431944","-28.69","49º25'55''W","28º41'24''S","46","46","CRI001749","CRI001749","2010","03","05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:33:22-03","UNESC","CRI","8106","PreservedSpecimen","Plantae","Bromeliaceae","Aechmea","caudata","Aechmea caudata","Lindm.","Telma Elyta V. Azeredo","Telma Elyta V. Azeredo",NA,"2009","09","23","Brasil","Santa Catarina","Siderópolis","Barragem do Rio São Bento.","-49.424722","-28.598333","49º25'29''W","28º35'54''S","111","111","CRI001751","CRI001751","2009","09","23","Floresta Ombrófila Densa Submontana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 14:33:22-03","UNESC","CRI","4869","PreservedSpecimen","Plantae","Bromeliaceae","Aechmea","caudata","Aechmea caudata","Lindm.",NA,"Clair Maria Martinello; Z. P. Topanotti","43","1995","09","07","Brasil","Santa Catarina","Forquilhinha","Prop. de C. J. Martinello - São Pedro.","-49.4725","-28.748056","49º28'21''W","28º44'53''S","28","28","CRI001750","CRI001750",NA,NA,NA,"Habitat: interior da mata Habito: epífita",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-04-05 14:25:04-03","UNESC","CRI","8087","PreservedSpecimen","Plantae","Bromeliaceae","Aechmea","caudata","Aechmea caudata","Lindm.","Telma Elyta V. Azeredo","Telma Elyta V. Azeredo",NA,"2006","10","10","Brasil","Santa Catarina","Pedras Grandes","Rancho dos Bugres.","-49.185278","-28.436389","49º11'7''W","28º26'11''S",NA,NA,"CRI001747","CRI001747","2006","10","10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-04-05 14:33:22-03","UNESC","CRI","8112","PreservedSpecimen","Plantae","Bromeliaceae","Aechmea","caudata","Aechmea caudata","Lindm.","Telma Elyta V. Azeredo","Telma Elyta V. Azeredo",NA,"2009","07","03","Brasil","Santa Catarina","Timbé do Sul",NA,"-49.8475","-28.830833","49º50'51''W","28º49'51''S","124","124","CRI001752","CRI001752","2009","07","03","Floresta Ombrófila Densa Montana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2019-06-10 10:10:38-03","FZB-BH","CVJBFZB","2823","S","Plantae","Bromeliaceae","Aechmea","aff. caudata","Aechmea aff. caudata","Lindm.","Elton. C. M. Leme",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2009","05",NA,"254","Magnoliophyta","Poales","1",NA,NA,NA,NA,NA,NA,NA,NA
"8","2019-06-10 10:10:38-03","FZB-BH","CVJBFZB","2824","S","Plantae","Bromeliaceae","Aechmea","caudata","Aechmea caudata","Lindm.","Elton. C. M. Leme",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2009","05",NA,"254","Magnoliophyta","Poales","1",NA,NA,NA,NA,NA,NA,NA,NA
"9","2019-06-10 10:10:38-03","FZB-BH","CVJBFZB","702","S","Plantae","Bromeliaceae","Aechmea","caudata","Aechmea caudata","Lindm.","Elton. C. M. Leme","Vital Schunk (Nego);",NA,NA,NA,NA,"Brasil","Espírito Santo","Araré","Mata higrófila",NA,NA,NA,NA,NA,NA,NA,NA,"2011","08",NA,"254","Magnoliophyta","Poales","1",NA,NA,NA,NA,NA,NA,NA,NA
"10","2019-06-10 10:10:38-03","FZB-BH","CVJBFZB","1248","S","Plantae","Bromeliaceae","Aechmea","caudata","Aechmea caudata","Lindm.",NA,NA,NA,NA,NA,NA,"Brasil","Rio de Janeiro","Rio de Janeiro",NA,"-43.2075004577637","-22.9027996063232",NA,NA,NA,NA,NA,NA,"2008","06","10","254","Magnoliophyta","Poales",NA,"57442","auto",NA,NA,NA,NA,NA,NA
