"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","recordNumber","phylum","order","coordinatePrecision","individualCount","geoFlag","continentOcean","preparationType","previousCatalogNumber","infraspecificEpithet","class","relatedCatalogItem","relationshipType","fieldNumber","typeStatus","sex"
"1","2021-04-05 14:33:22-03","UNESC","CRI","6526","PreservedSpecimen","Plantae","Bromeliaceae","Tillandsia","geminiflora","Tillandsia geminiflora","Brongn.","Sabrina Keli Zanin","1999","10","02","Sabrina Keli Zanin","1999","10","02","Brasil","Santa Catarina","Urussanga","bairro da estação.","-49.321111","-28.518333","49º19'16''W","28º31'6''S","48","48","Habitat: Floresta Ombrófila Densa Habito: epífita","CRI001960","CRI001960",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:25:05-03","UNESC","CRI","7537","PreservedSpecimen","Plantae","Bromeliaceae","Tillandsia","geminiflora","Tillandsia geminiflora","Brongn.","Telma Elyta V. Azeredo","2008","10","27","Telma Elyta V. Azeredo","2008","10","26","Brasil","Santa Catarina","Nova Veneza","Fazenda Vale do Paraíso.","-49.498056","-28.637222","49º29'53''W","28º38'14''S",NA,NA,NA,"CRI006409","CRI006409","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:33:22-03","UNESC","CRI","8734","PreservedSpecimen","Plantae","Bromeliaceae","Tillandsia","geminiflora","Tillandsia geminiflora","Brongn.","Telma Elyta V. Azeredo","2009","12","23","Emilaine Biava Dalmolim; Lislaine Cardoso de Oliveira, Peterson T. Padilha, Telma Elyta Vilhaba Azevedo","2009","12","23","Brasil","Santa Catarina","Criciúma","Parque Ecológico Municipal José Milanese.","-49.431944","-28.69","49º25'55''W","28º41'24''S","58","58",NA,"CRI006410","CRI006410",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 14:33:22-03","UNESC","CRI","11865","PreservedSpecimen","Plantae","Bromeliaceae","Tillandsia","geminiflora","Tillandsia geminiflora","Brongn.","Telma Elyta V. Azeredo",NA,NA,NA,"Jean Gabriel Cemin; Marciel Fernandes e Kleber Emerick","2009","08","04","Brasil","Santa Catarina","Turvo",NA,"-49.685","-28.915556","49º41'6''W","28º54'56''S","30","30",NA,"CRI008604","CRI008604",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-04-05 14:25:04-03","UNESC","CRI","3042","PreservedSpecimen","Plantae","Bromeliaceae","Tillandsia","geminiflora","Tillandsia geminiflora","Brongn.","Jorge Luiz Waechter",NA,NA,NA,"Raquel Rejane Bonatto Negrelle; C. Londero","1993","03","05","Brasil","Santa Catarina","Itapoá","Reserva Volta Velha (Bairro Itapema Norte).","-48.65","-26.15","48º39'W","26º9'S","5","5",NA,"CRI006416","CRI006416","849",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-04-05 14:25:04-03","UNESC","CRI","14865","PreservedSpecimen","Plantae","Bromeliaceae","Tillandsia","geminiflora","Tillandsia geminiflora","Brongn.","Jorge L. Waechter","1998","12","22","Claudio Ricken","1998","11","03","Brasil","Santa Catarina","Forquilhinha",NA,"-49.472778","-28.748056","49º28'22''W","28º44'53''S",NA,NA,"Habito: Epífita","CRI014199","CRI014199",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-04-05 14:33:22-03","UNESC","CRI","4981","PreservedSpecimen","Plantae","Bromeliaceae","Tillandsia","geminiflora","Tillandsia geminiflora","Brongn.","Ricardo Moura","2000","09","04","M. M. B. Frutuoso","1996","10","13","Brasil","Santa Catarina","Santa Rosa do Sul",NA,"-49.700278","-29.136667","49º42'1''W","29º8'12''S","19","19","Habito: epífita","CRI006411","CRI006411",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-04-05 14:33:22-03","UNESC","CRI","4633","PreservedSpecimen","Plantae","Bromeliaceae","Tillandsia","geminiflora","Tillandsia geminiflora","Brongn.","R. Morokawa","2006","10","27","Zenaide P. Topanotti","1995","09","09","Brasil","Santa Catarina","Criciúma","Morro Estevão.","-49.37","-28.678056","49º22'12''W","28º40'41''S","58","58","Habito: erva","CRI006419","CRI006419","117",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-04-05 14:25:04-03","UNESC","CRI","12214","PreservedSpecimen","Plantae","Bromeliaceae","Tillandsia","geminiflora","Tillandsia geminiflora","Brongn.","Guilherme Alves Elias & Peterson Teodoro Padilha","2016","12","15","Guilherme Alves Elias; Peterson Teodoro Padilha; Robson dos Santos & Lucas Oliveira","2016","12","15","Brasil","Santa Catarina","Treviso","Dois Dedos","-49.525","-28.511111","49º31'30''W","28º30'40''S",NA,NA,"Habito: Epífita","CRI010395",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-04-05 14:25:04-03","UNESC","CRI","2297","PreservedSpecimen","Plantae","Bromeliaceae","Tillandsia","geminiflora","Tillandsia geminiflora","Brongn.","R. Reitz",NA,NA,NA,"A. Bresolin","1973","10","17","Brasil","Santa Catarina","Paulo Lopes","Bom retiro.","-48.683889","-27.962222","48º41'2''W","27º57'44''S",NA,NA,"Habito: epífita","CRI006413","CRI006413","881",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-04-05 14:25:05-03","UNESC","CRI","7538","PreservedSpecimen","Plantae","Bromeliaceae","Tillandsia","geminiflora","Tillandsia geminiflora","Brongn.","Telma Elyta V. Azeredo","2006","11","07","Telma Elyta V. Azeredo","2006","11","07","Brasil","Santa Catarina","Nova Veneza","Fazenda Vale do Paraíso.","-49.498056","-28.637222","49º29'53''W","28º38'14''S",NA,NA,NA,"CRI006415","CRI006415","29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-04-05 14:33:22-03","UNESC","CRI","7874","PreservedSpecimen","Plantae","Bromeliaceae","Tillandsia","geminiflora","Tillandsia geminiflora","Brongn.","Vanilde Citadini- Zanette","2008","04","20","Jean Gabriel Cemin","2008","03","26","Brasil","Santa Catarina","Turvo",NA,"-49.679444","-28.926667","49º40'46''W","28º55'36''S","30","30",NA,"CRI006417","CRI006417",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
