"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","identifiedBy","stateProvince","locality","imagecode","county","decimalLongitude","decimalLatitude","minimumElevationInMeters","yearIdentified","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","maximumElevationInMeters","monthIdentified","class","dayIdentified","typeStatus","fieldNumber","individualCount","relatedCatalogItem"
"1","2020-09-23 10:41:54-03","E","E","202998","PreservedSpecimen","Plantae","Myrtaceae","Psidium","myrsinoides","Psidium myrsinoides","Ratter, J.A.; Bridgewater, S.; Filho, J. Fonsêca; Ribeiro, J.F. & Proença, C.","1800","1997","11","11","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:217951","<a href=http://data.rbge.org.uk/herb/E00202998 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00202998",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:41:54-03","E","E","84874","PreservedSpecimen","Plantae","Myrtaceae","Psidium","myrsinoides","Psidium myrsinoides","França. F., Melo, E. & Proença, C.","2267","1997","05","13","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:94095","<a href=http://data.rbge.org.uk/herb/E00084874 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00084874",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-09-23 10:41:54-03","E","E","232298","PreservedSpecimen","Plantae","Myrtaceae","Psidium","myrsinoides","Psidium myrsinoides","Ratter, J.A.; Filho, J. Fonsêca; Bridgewater, S. & Farias, R.",NA,"1998","11","14","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:244203","<a href=http://data.rbge.org.uk/herb/E00232298 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00232298",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-09-23 10:41:54-03","E","E","100861","PreservedSpecimen","Plantae","Myrtaceae","Psidium","myrsinoides","Psidium myrsinoides","Ratter, J.A.; Filho, J. Fonsêca; Bridgewater, S. & Farias, R.",NA,"1998","11","14","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:110186","<a href=http://data.rbge.org.uk/herb/E00100861 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00100861",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-09-23 10:41:54-03","E","E","202820","PreservedSpecimen","Plantae","Myrtaceae","Psidium","myrsinoides","Psidium myrsinoides","Simon, M.F.; Lima, J.C.M.; Eiten, G.; de Carvalho, A.M.","189","1999","02","13","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:217225","<a href=http://data.rbge.org.uk/herb/E00202820 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00202820",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","1365090","PreservedSpecimen","Plantae","Myrtaceae","Psidium","myrtoides","Psidium myrtoides","H. S. Irwin","29043","1971","01","24","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1650517' target='other'> <mi>dwc_moreinfo</mi></a>","NY01365090","Magnoliophyta","Myrtales","O.Berg","L. R. Landrum","Minas Gerais","Sedge, meadow (brejo), sandstone outicrops, and gallery forest.Ca. 10km W. of Barão de Cocais, gray sandy soil","NY01365090_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","1801067","PreservedSpecimen","Plantae","Myrtaceae","Psidium","myrtoides","Psidium myrtoides","J. M. A. Braga","2617","1995","08","02","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2015759' target='other'> <mi>dwc_moreinfo</mi></a>","NY01801067","Magnoliophyta","Myrtales","O.Berg","M. Sobral","Rio de Janeiro","Parque Nacional de Itatiaia. Taquaral, encosta a direita (descendo) do rio Campo Belo.","NY01801067_01","Itatiaia","-44.65833","-22.35833","660",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","02330132","PreservedSpecimen","Plantae","Myrtaceae","Psidium","myrtoides","Psidium myrtoides","J. M. A. Braga","3018","1995","12","05","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2522649' target='other'> <mi>dwc_moreinfo</mi></a>","NY02330132","Magnoliophyta","Myrtales","O.Berg","M. Sobral","Rio de Janeiro","Parque Nacional de Itatiaia, microparcela A","NY02330132_01","Itatiaia","-44.65833","-22.35833","910",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-30 12:46:09-03","EAO","IAN","183426","PreservedSpecimen","Plantae","Myrtaceae","Psidium","myrtoides","Psidium myrtoides","Miranda, AM; Lima, D","3106","1999","01","12","Southern America","Brasil",NA,NA,"Árvore ca. 18,0 m alt.; caule enegrecido; folhas quebradiças; flores de alvacentas a rosada","IAN183426","Dicotiledônea",NA,"O.Berg","Sobral, M","Ceará",NA,NA,"Crato","-39.4094009399414","-7.23416996002197",NA,"2015","30071","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-11-26 18:08:58-03","CPAN-UFMS","COR","4331","PreservedSpecimen","Plantae","Myrtaceae","Psidium","myrsinoides","Psidium myrsinoides","Kirkbride-Junior, J. H.","4355","1981","08","24",NA,"Brasil",NA,NA,"Árvore com até 4 m de altura; flor em botões brancos Habito: Árvore",NA,NA,NA,"O.Berg","Proença, C.","Distrito Federal","São Sebastião; córrego Palmeiras",NA,"Brasília","-47.65","-16.033333","880","1994",NA,NA,"47º39'0''W","16º2'0''S","880",NA,NA,NA,NA,NA,NA,NA
