"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","individualCount","occurrenceRemarks","geoFlag","recordNumber","year","month","day","barcode","imagecode","fieldNumber","preparationType","continentOcean","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","class","typeStatus","relatedCatalogItem"
"1","2019-06-10 10:10:32-03","FZB-BH","CVJBFZB","1393","S","Plantae","Magnoliophyta","Caryophyllales","Cactaceae","Tacinga","braunii","Tacinga braunii","Esteves","Nygel Taylor","Márcia Bacelar;","Brasil","Minas Gerais","Itaobim","Estrada Itinga/Itaobim","-41.5032997131348","-16.5617008209229","19493","5","254","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-01 16:27:18-03","UNICAMP","UEC","134525","S","Plantae","Magnoliopsida",NA,"Cactaceae","Tacinga","braunii","Tacinga braunii","Esteves","Zappi, DC","Zappi, DC; Taylor, NP","Brazil","Minas Gerais",NA,"North-eastern Minas Gerais, 18-19 Km from Salto da Divisa towards Jacinto.",NA,NA,NA,NA,"Destroyed caatinga-agreste.",NA,"501","2004","08","04","UEC090786","UEC090786",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2015-09-04 16:19:37-03","MNHN","RECOLNAT_MNHN_P","P04515899","PreservedSpecimen",NA,NA,NA,"Cactaceae","Opuntia","rubescens","Opuntia rubescens","Salm-Dyck ex DC.",NA,"Glaziou, A.","Brasil","Minas Gerais",NA,"Environs de Rio de Janeiro et d´Ouro Preto, Brésil. Minas Gerais, Sudeste, Brasil, América do Sul",NA,NA,NA,NA,"Plantes des environs de Rio de Janeiro et d'Ouro Preto, Brésil, recueillies en 1883 et 1884. . Reçu le 6 aout 1885 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p04515899' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"1883","1","1","P04515899","P04515899_01","14865","hb",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2015-09-04 16:19:37-03","MNHN","RECOLNAT_MNHN_P","P04515900","PreservedSpecimen",NA,NA,NA,"Cactaceae","Opuntia","rubescens","Opuntia rubescens","Salm-Dyck ex DC.",NA,"Glaziou, A.","Brasil","Minas Gerais",NA,"Brésil. Serra de São José. Minas Gerais, Sudeste, Brasil, América do Sul",NA,NA,NA,NA,". . Herbier de A. Glaziou donné par Mme Simard, sa fille, en 1907 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p04515900' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"1883","12","10","P04515900","P04515900_01","14865","hb",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-12-11 11:34:16-03","UFMG","BHCB","21308","PreservedSpecimen","Plantae","Dicotyledon",NA,"Cactaceae","Tacinga","braunii","Tacinga braunii","Esteves",NA,"Taylor, NP; Zappi, DC","Brasil","Minas Gerais","Itaobim",NA,"-41.5032997131348","-16.5617008209229","19493",NA,NA,"auto","s.n.","1990","12","14",NA,NA,NA,NA,"Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-12-11 11:34:16-03","UFMG","BHCB","21308","PreservedSpecimen","Plantae","Dicotyledon",NA,"Cactaceae","Tacinga","braunii","Tacinga braunii","Esteves",NA,"Taylor, NP; Zappi, DC","Brasil","Minas Gerais","Itaobim",NA,"-41.5032997131348","-16.5617008209229","19493",NA,NA,"auto","s.n.","1990","12","14",NA,NA,NA,NA,"Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-12-11 11:34:16-03","UFMG","BHCB","20952","PreservedSpecimen","Plantae","Dicotyledon",NA,"Cactaceae","Tacinga","braunii","Tacinga braunii","Esteves",NA,"Taylor, NP; Zappi, DC","Brasil","Minas Gerais","Itinga",NA,"-41.7653007507324","-16.6131000518799","41806",NA,NA,"auto","769","1990","12","14",NA,NA,NA,NA,"Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-12-11 11:34:16-03","UFMG","BHCB","20952","PreservedSpecimen","Plantae","Dicotyledon",NA,"Cactaceae","Tacinga","braunii","Tacinga braunii","Esteves",NA,"Taylor, NP; Zappi, DC","Brasil","Minas Gerais","Itinga",NA,"-41.7653007507324","-16.6131000518799","41806",NA,NA,"auto","769","1990","12","14",NA,NA,NA,NA,"Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2008-05-27 22:02:00-03","MO","MOBOT","1487107","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Opuntia","rubescens","Opuntia rubescens","Salm-Dyck ex DC.",NA,"Auguste F.M. Glaziou","Brazil",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Glaziou 14865","1861",NA,NA,NA,NA,NA,NA,"South America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-06-15 15:29:46-03","UNESP-RC","HRCB","13486","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Tacinga","braunii","Tacinga braunii","Esteves",NA,"Taylor, N. P.","Brasil","Minas Gerais","Itaobim",NA,"-41.5032997131348","-16.5617008209229","19493",NA,"Arbustiva ou escandente entre árvores até 6 m alt., ramos fortemente achatados, medula raramente filtulosa. Fruto Verde","auto","760","1990","12","14",NA,NA,NA,NA,NA,"280","280",NA,NA,NA,NA,NA,NA,NA,NA
"11","2020-06-15 15:29:46-03","UNESP-RC","HRCB","13479","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Tacinga","braunii","Tacinga braunii","Esteves",NA,"Taylor, N. P.","Brasil","Minas Gerais","Itinga",NA,"-41.7653007507324","-16.6131000518799","41806",NA,"Arbusto","auto","769","1990","12","14",NA,NA,NA,NA,NA,"250","250",NA,NA,NA,NA,NA,NA,NA,NA
"12","2020-06-15 15:29:46-03","UNESP-RC","HRCB","14239","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Tacinga","braunii","Tacinga braunii","Esteves",NA,"Taylor, N. P.","Brasil","Bahia","Jaguarari",NA,"-40.19580078125","-10.2638998031616","60045",NA,NA,"auto","1378","1991","01","08",NA,NA,NA,NA,NA,"470","470",NA,NA,NA,NA,NA,NA,NA,NA
