"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","infraspecificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","county","decimalLongitude","decimalLatitude","class","yearIdentified","monthIdentified","dayIdentified","relatedCatalogItem","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","fieldNumber","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","312411","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Lentibulariaceae","Utricularia","arenicola","kavanayena","Utricularia arenicola kavanayena","Steyerm.","isotype","J. A. Steyermark","59335","1944","10","26","South America","Venezuela","Bolívar","Gran Sabana, between Mission of Santa Teresita de Kanavayén northwest to Río Karaui, on large mesa","1220","1220","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=625701' target='other'> <mi>dwc_moreinfo</mi></a>","NY00312411","NY00312411_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","312411","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Lentibulariaceae","Utricularia","arenicola","kavanayena","Utricularia arenicola kavanayena","Steyerm.","isotype","J. A. Steyermark","59335","1944","10","26","South America","Venezuela","Bolívar","Gran Sabana, between Mission of Santa Teresita de Kanavayén northwest to Río Karaui, on large mesa","1220","1220","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=625701' target='other'> <mi>dwc_moreinfo</mi></a>","NY00312411","NY00312411_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","01173275","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Lentibulariaceae","Utricularia","nana",NA,"Utricularia nana","A.St.-Hil. & Girard",NA,"G. Davidse","17679","1980","03","31","South America","Brazil","Pará","Ca. 9 km southeast of Vigia along highway (PA-140) to Belém.","50","50","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1387686' target='other'> <mi>dwc_moreinfo</mi></a>","NY01173275","NY01173275_01","P. G. Taylor","Vigía","-48.066667","-0.916667",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","03857612","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Lentibulariaceae","Utricularia","nana",NA,"Utricularia nana","A.St.-Hil. & Girard",NA,"O. Huber","7977","1983","08","10","South America","Venezuela","Amazonas","sabanas al pié W del Cerro Yapacana, entre la laguna del Caño Cotúa y el pié del Cerro","100",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4134772' target='other'> <mi>dwc_moreinfo</mi></a>","NY03857612",NA,NA,"Atabapo","-66.87","3.63",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","01173274","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Lentibulariaceae","Utricularia","nana",NA,"Utricularia nana","A.St.-Hil. & Girard",NA,"G. T. Prance","29119","1984","02","16","South America","Brazil","Amazonas","Southern extremity of northern Plateau of Serra Araca.","1200","1200","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1387684' target='other'> <mi>dwc_moreinfo</mi></a>","NY01173274","NY01173274_01 NY01173274_02",NA,NA,"-63.3745909","0.9016571",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","01173276","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Lentibulariaceae","Utricularia","nana",NA,"Utricularia nana","A.St.-Hil. & Girard",NA,"T. C. Plowman","9723","1980","03","18","South America","Brazil","Pará","16 Km east of Reprêsa Tucuruí (rio Tocantins) along new road (PA-263)","70","70","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1387688' target='other'> <mi>dwc_moreinfo</mi></a>","NY01173276","NY01173276_01","P. G. Taylor","Tucuruí","-49.5473018","-3.751053",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","929790","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Lentibulariaceae","Utricularia","nana",NA,"Utricularia nana","A.St.-Hil. & Girard",NA,"W. W. Thomas","4861","1985","11","23","South America","Brazil","Minas Gerais","Near Sopa on rd. to São João da Chapada, 5 km NW of jct. with rd. from Curvelo to Diamantina.","1250","1250","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=997808' target='other'> <mi>dwc_moreinfo</mi></a>","NY00929790","NY00929790_01","P. G. Taylor","Diamantina","-43.7","-18.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","929789","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Lentibulariaceae","Utricularia","nana",NA,"Utricularia nana","A.St.-Hil. & Girard",NA,"H. S. Irwin","32713","1971","03","19","South America","Brazil","Goiás","Chapada dos Veadeiros, ca. 20 km N of Alto Paraíso","1250","1250","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=997803' target='other'> <mi>dwc_moreinfo</mi></a>","NY00929789","NY00929789_01",NA,"Alto Paraíso de Goiás","-47.5167","-13.93593",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","929791","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Lentibulariaceae","Utricularia","nana",NA,"Utricularia nana","A.St.-Hil. & Girard",NA,"G. T. Prance","18996","1973","10","15","South America","Brazil","Mato Grosso","Vicinity of Colegio Buriti, Chapada dos Guimarães.","720","720","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=997816' target='other'> <mi>dwc_moreinfo</mi></a>","NY00929791","NY00929791_01","P. G. Taylor","Chapada dos Guimarães","-55.80725","-15.4151111",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-02-08 09:33:12-03","NBC","NL-BOTANY","L.2828335","PreservedSpecimen","Plantae",NA,"Lamiales","Lentibulariaceae","Utricularia","nana",NA,"Utricularia nana","A.St.-Hil.",NA,"Sellow F",NA,NA,NA,NA,"Southern America","Brazil",NA,"Brasilia.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2828335 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2828335","NL-L2828335",NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2020-02-08 09:33:12-03","NBC","NL-BOTANY","U 0003685","PreservedSpecimen","Plantae",NA,"Lamiales","Lentibulariaceae","Utricularia","nana",NA,"Utricularia nana","A.St.-Hil.","isotype","Tutin TG",NA,"1933","08","30","Southern America","Guyana",NA,"Kaieteur savannah.",NA,NA,NA,"Wet fine sand, free from stones and with few other plants;scarce and plants very scattered<a href=https://data.biodiversitydata.nl/naturalis/specimen/U%20%200003685 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U0003685","NL-U0003685","Taylor PG",NA,NA,NA,"Magnoliopsidae","1973","07","01","39775 A",NA,NA,NA,NA,NA,NA
"12","2020-02-08 09:33:12-03","NBC","NL-BOTANY","U.1419526","PreservedSpecimen","Plantae",NA,"Lamiales","Lentibulariaceae","Utricularia","nana",NA,"Utricularia nana","A.St.-Hil.",NA,"Ek RC; Riet BP van de; Jansen-Jacobs MJ",NA,"2003","01","30","Southern America","French Guiana","Cayenne","French Guiana, Mts. de Kaw, Trésor Reserve, near main trail, third tree after bif Ficus.",NA,NA,NA,"Savanne II, Zone 4.<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1419526 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1419526","NL-U1419526","Ek RC",NA,"-52.266667","4.583333","Magnoliopsidae",NA,NA,NA,"U 0247517","-52.266667","4.583333",NA,NA,NA,NA
