"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","class","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","year","month","day","continentOcean","country","stateProvince","relatedCatalogItem","occurrenceRemarks","barcode","imagecode","phylum","yearIdentified","recordNumber","county","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","monthIdentified","dayIdentified","locality","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","typeStatus"
"1","2020-02-08 10:37:16-03","NBC","NL-BOTANY","U.1391441","PreservedSpecimen","Plantae","Magnoliopsidae","Zingiberales","Marantaceae","Calathea","wiotii","Calathea wiotii","(E.Morren) Regel","Kennedy H","Folli DA","1993","11","25","Southern America","Brazil","Espírito Santo","U 0137415","<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1391441 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1391441","NL-U1391441",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-02-08 10:37:16-03","NBC","NL-BOTANY","U.1391441","PreservedSpecimen","Plantae","Magnoliopsidae","Zingiberales","Marantaceae","Calathea","wiotii","Calathea wiotii","(E.Morren) Regel","Kennedy H","Folli DA","1993","11","25","Southern America","Brazil","Espírito Santo","U 0137415","<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1391441 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1391441","NL-U1391441",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-11-04 11:13:06-03","ESALQ","ESA","96333","PreservedSpecimen","Plantae",NA,NA,"Marantaceae","Goeppertia","wiottii","Goeppertia wiottii","(E.Morren) Borchs. & S.Suárez","Saka, M.N.","Folli, D.A.","1999","11","25",NA,"Brasil","Espírito Santo",NA,NA,"ESA096333","ESA096333","Magnoliophyta","2013","3522.0","Linhares","-40.0722007751465","-19.3910999298096","48094","auto",NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-11-04 11:13:06-03","ESALQ","ESA","62914","PreservedSpecimen","Plantae",NA,NA,"Marantaceae","Goeppertia","wiottii","Goeppertia wiottii","(E.Morren) Borchs. & S.Suárez","Saka, M.N.","Folli, D.A.","1993","11","25",NA,"Brasil","Espírito Santo",NA,NA,"ESA062914","ESA062914","Magnoliophyta","2013","2104.0","Linhares","-40.0722007751465","-19.3910999298096","48094","auto",NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-11-04 11:13:06-03","ESALQ","ESA","96332","PreservedSpecimen","Plantae",NA,NA,"Marantaceae","Goeppertia","wiottii","Goeppertia wiottii","(E.Morren) Borchs. & S.Suárez","Saka, M.N.","Folli, D.A.","1999","11","25",NA,"Brasil","Espírito Santo",NA,NA,"ESA096332","ESA096332","Magnoliophyta","2013","3519.0","Linhares","-40.0722007751465","-19.3910999298096","48094","auto",NA,NA,NA,NA,NA,NA,NA,NA
"6","2015-07-02 14:55:34-03","JBP","HPL","12273","S","Plantae",NA,NA,"Marantaceae","Calathea","wiotii","Calathea wiotii","(E. Morren) Regel","S. Vieira","S. Vieira, H. Lorenzi, E. Jacques & M. Peixoto","2010","12","10",NA,"Brasil","ES",NA,NA,NA,NA,NA,"2010","448","Linhares","-39.886833","-19.082472",NA,NA,"12","10","Coletado na Reserva Florestal da Companhia Vale do Rio Doce, estrada Jueirana Vermelha, km 2, próximo a casa de guarda.","39° 53' 12,6 W","19° 4' 56,9 S","38","38",NA
"7","2015-07-02 14:02:49-03","JBP","HPL","12122","S","Plantae",NA,NA,"Marantaceae","Calathea","wiotii","Calathea wiotii",NA,"H. Lorenzi","H. Lorenzi","2010","11","12",NA,"Brasil","SP",NA,NA,NA,NA,NA,"2010","6944","Nova Odessa","-47.29","-22.77","8440","auto","11","12","Coletado e cultivado no Jardim Botânico Plantarum; origem desconhecida. Inflorescência em espigas, curta, de pedúnculo um pouco curto e afixado diretamente no rizoma.",NA,NA,NA,NA,NA
"8","2015-07-02 14:55:34-03","JBP","HPL","12273","S","Plantae",NA,NA,"Marantaceae","Calathea","wiotii","Calathea wiotii","(E. Morren) Regel","S. Vieira","S. Vieira, H. Lorenzi, E. Jacques & M. Peixoto","2010","12","10",NA,"Brasil","ES",NA,NA,NA,NA,NA,"2010","448","Linhares","-39.886833","-19.082472",NA,NA,"12","10","Coletado na Reserva Florestal da Companhia Vale do Rio Doce, estrada Jueirana Vermelha, km 2, próximo a casa de guarda.","39° 53' 12,6 W","19° 4' 56,9 S","38","38",NA
"9","2015-07-02 14:02:49-03","JBP","HPL","12122","S","Plantae",NA,NA,"Marantaceae","Calathea","wiotii","Calathea wiotii",NA,"H. Lorenzi","H. Lorenzi","2010","11","12",NA,"Brasil","SP",NA,NA,NA,NA,NA,"2010","6944","Nova Odessa","-47.29","-22.77","8440","auto","11","12","Coletado e cultivado no Jardim Botânico Plantarum; origem desconhecida. Inflorescência em espigas, curta, de pedúnculo um pouco curto e afixado diretamente no rizoma.",NA,NA,NA,NA,NA
"10","2021-03-24 17:09:24-03","UFES","SAMES","3236","PreservedSpecimen","Plantae",NA,NA,"Marantaceae","Calathea","wiotii","Calathea wiotii","(E.Morren) Regel","Kennedy,H.","Folli,D.A.","1993","11","25",NA,"Brasil","Espírito Santo",NA,"Herbáceo, terrestre, cor botão verde, cor flor branco, exsudação seiva.","SAMES03236",NA,NA,"1997","2104","Linhares","-40.0722007751465","-19.3910999298096","48094","auto","09","03","Reserva Natural Vale. Capoeira, estrada Jequitibá Rosa, 1000 m.",NA,NA,NA,NA,NA
