"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","class","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","individualCount","occurrenceRemarks","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","identifiedBy","yearIdentified","monthIdentified","dayIdentified","continentOcean","barcode","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","imagecode","infraspecificEpithet","typeStatus"
"1","2019-06-10 10:10:52-03","FZB-BH","CVJBFZB","1751","S","Plantae","Magnoliophyta","Equisetopsida","Arecales","Arecaceae","Acrocomia","emensis","Acrocomia emensis","(Toledo) Lorenzi","1","254",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2015-07-02 14:00:35-03","JBP","HPL","12629","S","Plantae",NA,NA,NA,"Arecaceae","Acrocomia","cf. emensis","Acrocomia cf. emensis",NA,NA,NA,"A. Campos-Rocha & H. Lorenzi","762","2011","06","08","Brasil","GO","Chapadão do Céu","Coletado no Parque Nacional das Emas, em área de cerrado, à beira de estrada de terra sentido Portaria do Jacuba, seguindo a partir de ponte sobre rio Formoso. Bráctea peduncular variavelmente por espinhos, externamente coberta por indumento aveludado","-52.5489","-18.4075","44163","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2015-07-02 14:00:35-03","JBP","HPL","11414","S","Plantae",NA,NA,NA,"Arecaceae","Acrocomia","emensis","Acrocomia emensis","(Toledo) Lorenzi",NA,NA,"H. Lorenzi & K. Soares","6762","2009","10","30","Brasil","SP","Mogi Guaçu","Área marginal da Reserva do Inst. Botânica; vegetação de cerrado em solo arenoso. Acaule ou caule subterrâneo longo, profundo e espesso (25-32 cm circunf.). Bainha em geral enterrada (espinhos marrons).","-46.9422","-22.3722","39309","auto","H. Lorenzi","2009","10","30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2019-02-15 11:33:21-02","IPA","IPA","21020","S","Plantae","Plantae",NA,NA,"Arecaceae","Acrocomia","emensis","Acrocomia emensis","(Toledo) Lorenzi",NA,"Indivíduos acaules (caule subterrâneo).; Cerrado desprotegido.","Medeiros-Costa","150","1972","08","14","Brasil","São Paulo","Pirassununga","Emas","-47.4199981689453","-21.9899997711182","24621","auto","Medeiros-Costa","2011","07","13","Southern America","IPA0021020",NA,NA,NA,NA,NA,NA,NA,NA
"5","2019-02-15 11:33:21-02","IPA","IPA","21037","S","Plantae","Plantae",NA,NA,"Arecaceae","Acrocomia","emensis","Acrocomia emensis","(Toledo) Lorenzi",NA,"Indivíduos acaules (caule subterrâneo).; Cerrado desprotegido.","Medeiros-Costa","149","1972","08","14","Brasil","São Paulo","Pirassununga","Emas","-47.4199981689453","-21.9899997711182","24621","auto","Medeiros-Costa","2011","07","13","Southern America","IPA0021037",NA,NA,NA,NA,NA,NA,NA,NA
"6","2019-02-15 11:33:21-02","IPA","IPA","21032","S","Plantae","Plantae",NA,NA,"Arecaceae","Acrocomia","emensis","Acrocomia emensis","(Toledo) Lorenzi",NA,"Nesta época, a maior parte dos indivíduos em frutificação.; Cerrado desprotegido.","Medeiros-Costa","166","1972","10","30","Brasil","São Paulo","Pirassununga","Emas","-47.4199981689453","-21.9899997711182","24621","auto","Medeiros-Costa","2011","07","13","Southern America","IPA0021032",NA,NA,NA,NA,NA,NA,NA,NA
"7","2019-02-15 11:33:21-02","IPA","IPA","21031","S","Plantae","Plantae",NA,NA,"Arecaceae","Acrocomia","emensis","Acrocomia emensis","(Toledo) Lorenzi",NA,"Nesta época, a maior parte dos indivíduos em frutificação.; Cerrado desprotegido.","Medeiros-Costa","165","1972","10","30","Brasil","São Paulo","Pirassununga","Emas","-47.4199981689453","-21.9899997711182","24621","auto","Medeiros-Costa","2011","07","13","Southern America","IPA0021031",NA,NA,NA,NA,NA,NA,NA,NA
"8","2019-02-15 11:33:21-02","IPA","IPA","21029","S","Plantae","Plantae",NA,NA,"Arecaceae","Acrocomia","emensis","Acrocomia emensis","(Toledo) Lorenzi",NA,"Nesta época, a maior parte dos indivíduos em frutificação.; Cerrado desprotegido.","Medeiros-Costa","164","1972","10","30","Brasil","São Paulo","Pirassununga","Emas","-47.4199981689453","-21.9899997711182","24621","auto","Medeiros-Costa","2011","07","13","Southern America","IPA0021029",NA,NA,NA,NA,NA,NA,NA,NA
"9","2019-02-15 11:33:21-02","IPA","IPA","21023","S","Plantae","Plantae",NA,NA,"Arecaceae","Acrocomia","emensis","Acrocomia emensis","(Toledo) Lorenzi",NA,"Indivíduos acaules (caule subterrâneos); Cerrado desprotegido.","Medeiros-Costa","152","1972","08","14","Brasil","São Paulo","Pirassununga","Emas","-47.4199981689453","-21.9899997711182","24621","auto","Medeiros-Costa","2011","07","13","Southern America","IPA0021023",NA,NA,NA,NA,NA,NA,NA,NA
"10","2019-02-15 11:33:21-02","IPA","IPA","21021","S","Plantae","Plantae",NA,NA,"Arecaceae","Acrocomia","emensis","Acrocomia emensis","(Toledo) Lorenzi",NA,"Indivíduos acaules (caule subterrâneo); Cerrado desprotegido.","Medeiros-Costa","151","1972","08","14","Brasil","São Paulo","Pirassununga","Emas","-47.4199981689453","-21.9899997711182","24621","auto","Medeiros-Costa","2011","07","13","Southern America","IPA0021021",NA,NA,NA,NA,NA,NA,NA,NA
