"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","county","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","fieldNumber","class","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","798934","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Stevia","camporum","Stevia camporum","Baker","L. B. Smith","H. S. Irwin","2749","1959","03","01","South America","Brazil","Espírito Santo","Pico da Bandeira, Serra Caparaó","-41.801377","-20.444558","2667.0","2667.0","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=540181' target='other'> <mi>dwc_moreinfo</mi></a>","NY00798934","NY00798934_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","798936","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Stevia","camporum","Stevia camporum","Baker","G. M. Barroso","H. S. Irwin","30417","1971","01","15","South America","Brazil","Minas Gerais","Upper shrub-covered slopes of Serra da Piedade, ca. 35 km E of Belo Horizante, near BR-31",NA,NA,"1850","1850","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=540182' target='other'> <mi>dwc_moreinfo</mi></a>","NY00798936","NY00798936_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","798935","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Stevia","camporum","Stevia camporum","Baker","G. M. Barroso","K. Kubitzki","Nr.84-31","1984","02","28","South America","Brazil","Rio de Janeiro","Serra da Mantiqueira, nahe Serra das Agulhas Negras","-44.658333","-22.384444",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=540180' target='other'> <mi>dwc_moreinfo</mi></a>","NY00798935","NY00798935_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-06-29 11:29:21-03","UFRJ","RFA","30757","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Stevia","camporum","Stevia camporum","Baker","R.L. Esteves","K.T. Ribeiro; B. Medina","7","1998","04","00",NA,"Brasil","Rio de Janeiro","Planalto do Itatiaia","-44.4467010498047","-22.468900680542","2400","2400",NA,"Planta lenhosa ereta, com 40 cm.Flores lilás .","RFA20345",NA,"Resende","36089","auto",NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-06-29 11:29:21-03","UFRJ","RFA","30767","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Stevia","camporum","Stevia camporum","Baker",NA,"Kátia T Ribeiro; Branca Medina, Nívea Teixeira","65","1994","04","00",NA,"Brasil","Rio de Janeiro","Planalto de Itatiaia","-44.4467010498047","-22.468900680542","2400","2400",NA,"Plantas começando a florescer.","RFA20180",NA,"Resende","36089","auto",NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-06-29 11:29:21-03","UFRJ","RFA","30766","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Stevia","camporum","Stevia camporum","Baker",NA,"Katia T. Ribeiro; Branca Medina, Nivea Teixeira","117","1998","04","00",NA,"Brasil","Rio de Janeiro","Planalto do Itatiaia, ao norte das Prateleiras","-44.4467010498047","-22.468900680542","2400","2400",NA,"Herbácea lenhosa crescendo em meio a plantas de maior porte","RFA20383",NA,"Resende","36089","auto",NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-11-04 10:55:08-03","ESALQ","ESA","142066","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Stevia","camporum","Stevia camporum","Baker","Gibau, A.","Toledo, C. A. P.; Flores, T. B. Gayoso; Coelho, R. G. & Colleta, D. C.","270.0","2015","09","09",NA,"Brasil","Rio de Janeiro","Parque Nacional da Serra da Bocaina, Pedra da Macela. Campo de altitude.","-44.813889","-23.140278","1800","1800",NA,"Erva, ca. 0,5 m alt., flores rosadas.","ESA142066",NA,"Paraty",NA,NA,"2017","04","27","44°48'50W","23°08'25S",NA,NA,NA
"8","2020-11-04 11:02:12-03","ESALQ","ESA","110404","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Asteraceae","Stevia","camporum","Stevia camporum","Baker","Lopes, I.T.F.V.","Colletta, G.D.","245.0","2009","05","12",NA,"Brasil","Minas Gerais",NA,"-41.8683013916016","-20.4333000183105",NA,NA,NA,NA,"ESA110404","ESA110404","Alto Caparaó","21645","auto",NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-11-04 11:02:12-03","ESALQ","ESA","35909","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Asteraceae","Stevia","camporum","Stevia camporum","Baker","Nakajima, J.N.","Souza, J.P. et al.","1004.0","1996","12","17",NA,"Brasil","São Paulo",NA,"-44.9599990844727","-23.0699996948242",NA,NA,NA,NA,"ESA035909",NA,"Cunha","38855","auto","2017",NA,NA,NA,NA,NA,NA,NA
"10","2020-11-04 10:55:08-03","ESALQ","ESA","140637","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Stevia","camporum","Stevia camporum","Baker","Gibau, A.","Gibau, A.; Gissi, D.S.; Orlandini, P.","272.0","2017","03","11",NA,"Brasil","Rio de Janeiro","Parque Nacional da Serra da Bocaina - Pedra da Macela -","-44.7131004333496","-23.2178001403809",NA,NA,NA,"Arbusto ca. 0,6m. Invólucro vinoso. Corola branca com tubo rosa.","ESA140637",NA,"Paraty","34470","auto","2017","04","05",NA,NA,NA,NA,NA
