"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","verbatimLongitude","verbatimLatitude","occurrenceRemarks","barcode","imagecode","class","order","continentOcean","infraspecificEpithet","phylum","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","monthIdentified","dayIdentified","minimumElevationInMeters","maximumElevationInMeters","preparationType","fieldNumber","individualCount"
"1","2021-02-18 09:28:35-03","UNESP-IBB","BOTU","3922","PreservedSpecimen","Plantae","Amaryllidaceae","Hippeastrum","vittatum","Hippeastrum vittatum","(L'Hér.) Herb.","Porto, S.F.","1974","Porto, S.F.","21","1974","11","02","Brasil","São Paulo","Botucatu","Fazenda Legeado.","9999","9999","Campo cerrado. Flores sem cheiro, bulbosa.","BOTU003922","BOTU003922",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-02-08 08:45:37-03","NBC","NL-BOTANY","L.1459964","PreservedSpecimen","Plantae","Amaryllidaceae","Hippeastrum","vittatum","Hippeastrum vittatum","(L'Hér.) Herb.",NA,NA,"Rambo B",NA,"1950","12","18","Brazil",NA,NA,"Pôrto Alegre. RGS, Taimbèsinho p. S. Franc. de Paula, in paludosis turfosis.",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1459964 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1459964","NL-L1459964","Magnoliopsidae","Asparagales","Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-02-08 08:45:37-03","NBC","NL-BOTANY","L.1459965","PreservedSpecimen","Plantae","Amaryllidaceae","Hippeastrum","vittatum","Hippeastrum vittatum","(L'Hér.) Herb.",NA,NA,"Rambo B",NA,"1950","12","18","Brazil",NA,NA,"Pôrto Alegre. RGS, Taimbèsinho p. S. Franc. de Paula, in paludosis turfosis.",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1459965 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1459965","NL-L1459965","Magnoliopsidae","Asparagales","Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-02-08 08:45:37-03","NBC","NL-BOTANY","L.1459967","PreservedSpecimen","Plantae","Amaryllidaceae","Hippeastrum","vittatum","Hippeastrum vittatum tweedianum",NA,NA,NA,"Hatschbach GG",NA,"1966","10","20","Brazil",NA,NA,"Candoi (Mun. Guarapuava) Paraná.",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1459967 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1459967","NL-L1459967","Magnoliopsidae","Asparagales","Southern America","tweedianum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2019-08-27 13:26:19-03","IAP","PACA-AGP","50206","PreservedSpecimen","Plantae","Amaryllidaceae","Amaryllis","vittata","Amaryllis vittata","Herb.","Ravenna","1968","Emrich, K.",NA,"1951","02","01","Brasil","RS","Canela","Caracol",NA,NA,"sin. Hippeastrum vittatum Herb.; fr. SEM MATERIAL Habitat: in paludosis turfosis","PACA050206",NA,"Liliatae","Liliales",NA,NA,"Magnoliophyta","-50.815601348877","-29.3656005859375","16452","auto",NA,NA,NA,NA,NA,NA,NA
"6","2019-08-27 13:26:19-03","IAP","PACA-AGP","60618","PreservedSpecimen","Plantae","Amaryllidaceae","Hippeastrum","vittatum","Hippeastrum vittatum","(L'Hér.) Herb.","Emrich-Rambo","1957","Camargo, O. R.","916","1956","11","05","Brasil","RS","Farroupilha",NA,NA,NA,"fl. SEM MATERIAL Habitat: in paludosis","PACA060618",NA,"Liliatae","Liliales",NA,NA,"Magnoliophyta","-51.3478012084961","-29.2250003814697","19545","auto","05","19",NA,NA,NA,NA,NA
"7","2019-08-27 13:26:19-03","IAP","PACA-AGP","30627","PreservedSpecimen","Plantae","Amaryllidaceae","Hippeastrum","vittatum","Hippeastrum vittatum","(L'Hér.) Herb.","bastian, R.E.","2017","Rambo, B.",NA,"1945","11","27","Brasil","RS","Porto Alegre","Vila Manresa",NA,NA,"sin. Hippeastrum vittatum Herb. Habitat: ad rivum in dumetosis Fenofase: flor","PACA030627",NA,"Liliatae","Liliales",NA,NA,"Magnoliophyta","-51.2299995422363","-30.0331001281738","29946","auto","05","30",NA,NA,NA,NA,NA
"8","2019-08-27 13:26:19-03","IAP","PACA-AGP","33948","PreservedSpecimen","Plantae","Amaryllidaceae","Hippeastrum","vittatum","Hippeastrum vittatum","(L'Hér.) Herb.","Bastian, R.E.","2017","C. Orth SJ",NA,"1933","10","04","Brasil","RS","São Leopoldo",NA,NA,NA,"sin. Hippeastrum vittatum Herb. Habitat: in humidis dumetosis Fenofase: flor","PACA033948",NA,"Liliatae","Liliales",NA,NA,"Magnoliophyta","-51.1472015380859","-29.7602996826172","10287","auto","05","30",NA,NA,NA,NA,NA
"9","2019-08-27 13:26:19-03","IAP","PACA-AGP","34948","PreservedSpecimen","Plantae","Amaryllidaceae","Hippeastrum","vittatum","Hippeastrum vittatum","(L'Hér.) Herb.","Emrich-Rambo",NA,"C. Orth SJ",NA,"1933","10","05","Brasil","RS","São Leopoldo",NA,NA,NA,"fl. SEM MATERIAL Habitat: in paludosis","PACA034948",NA,"Liliatae","Liliales",NA,NA,"Magnoliophyta","-51.1472015380859","-29.7602996826172","10287","auto",NA,NA,NA,NA,NA,NA,NA
"10","2019-08-27 13:26:19-03","IAP","PACA-AGP","7495","PreservedSpecimen","Plantae","Amaryllidaceae","Hippeastrum","vittatum","Hippeastrum vittatum","(L'Hér.) Herb.","Bastian, R.E.","2017","F. Theissen","129","1907",NA,NA,"Brasil","RS","São Leopoldo",NA,NA,NA,"Habitat: in humidis dumetosis Fenofase: flor","PACA007495",NA,"Liliatae","Liliales",NA,NA,"Magnoliophyta","-51.1472015380859","-29.7602996826172","10287","auto","05","30",NA,NA,NA,NA,NA
"11","2019-08-27 13:26:19-03","IAP","PACA-AGP","60220","PreservedSpecimen","Plantae","Amaryllidaceae","Hippeastrum","vittatum","Hippeastrum vittatum","(L'Hér.) Herb.","Bastian, R.E.","1968","Rambo, B.",NA,"1957","01","23","Brasil","SC","Bom Retiro","Campo dos Padres",NA,NA,"sin. Hippeastrum vittatum Herb.. Habitat: in paludosis Fenofase: flor","PACA060220",NA,"Liliatae","Liliales",NA,NA,"Magnoliophyta","-49.489200592041","-27.7971992492676","35974","auto",NA,NA,NA,NA,NA,NA,NA
"12","2019-08-27 13:26:19-03","IAP","PACA-AGP","8755","PreservedSpecimen","Plantae","Amaryllidaceae","Hippeastrum","vittatum","Hippeastrum vittatum","(L'Hér.) Herb.","Emrich-Rambo","1954","Rambo, B.",NA,"1942","01","14","Brasil","RS","Bom Jesus","Serra da Rocinha",NA,NA,"fl. SEM MATERIAL Habitat: in paludosis turfosis","PACA008755",NA,"Liliatae","Liliales",NA,NA,"Magnoliophyta","-50.4166984558105","-28.6678009033203","55856","auto","05","03",NA,NA,NA,NA,NA
