"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","recordNumber","phylum","order","scientificNameAuthorship","identifiedBy","stateProvince","locality","minimumElevationInMeters","maximumElevationInMeters","imagecode","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","class","typeStatus","relatedCatalogItem","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","fieldNumber","individualCount","infraspecificEpithet"
"1","2020-09-23 10:41:54-03","E","E","85678","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","uberavensis","Myrcia uberavensis","Ratter, J.A.; Da Fonsêca, S.G. & de Castro, R.A.","1972","08","26","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:95005","<a href=http://data.rbge.org.uk/herb/E00085678 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00085678",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:41:54-03","E","E","85680","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","uberavensis","Myrcia uberavensis","Ratter, J.A.; de Castro, R.A. & Andrelinho","1968","07","10","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:95008","<a href=http://data.rbge.org.uk/herb/E00085680 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00085680",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-09-23 10:41:54-03","E","E","202793","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","uberavensis","Myrcia uberavensis","Proenca, C.; Simon, M.F.; Amaral, M.F.","1999","10","17","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:217198","<a href=http://data.rbge.org.uk/herb/E00202793 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00202793","2105",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-09-23 10:41:54-03","E","E","85676","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","uberavensis","Myrcia uberavensis","Ratter, J.A.; de Castro, R.A.; Andrelinho; de Santos, R.R. & Souza, R.","1968","06","20","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:95004","<a href=http://data.rbge.org.uk/herb/E00085676 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00085676",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-09-23 10:41:54-03","E","E","85677","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","uberavensis","Myrcia uberavensis","Argent, G.","1968","09","06","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:95014","<a href=http://data.rbge.org.uk/herb/E00085677 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00085677","6846",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-09-23 10:41:54-03","E","E","85675","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","uberavensis","Myrcia uberavensis","Ratter, J.A.; Ferreira, A.; de Castro, R.A. & Andrelinho","1968","07","02","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:95003","<a href=http://data.rbge.org.uk/herb/E00085675 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00085675",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","1281677","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","uberavensis","Myrcia uberavensis","G. Eiten","1960","09","02","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1736667' target='other'> <mi>dwc_moreinfo</mi></a>","NY01281677","2266","Magnoliophyta","Myrtales","O.Berg","M. L. Kawasaki","São Paulo","Município de Moji-Guaçu: Campos das Sete Lagôas. Fazenda Campininha, just north of Rio Moji-Guaçu. 10 km NNE of PADUA SALES. (About 27 km NW of city of MOJI-MIRIM)","575","650","NY01281677_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","616639","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","uberavensis","Myrcia uberavensis","H. S. Irwin","1964","10","19","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=292797' target='other'> <mi>dwc_moreinfo</mi></a>","NY00616639","7052","Magnoliophyta","Myrtales","O.Berg","C. M. D. E. Legrand","Goiás","Serra do Caiapó; Ca. 35 km S of Caiaponia on road to Jataí",NA,NA,"NY00616639_01","Caiapônia","-51.78","-17.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","00908224","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","uberavensis","Myrcia uberavensis","G. G. Hatschbach","1997","08","08","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=992079' target='other'> <mi>dwc_moreinfo</mi></a>","NY00908224","66570","Magnoliophyta","Myrtales","O.Berg","M. Sobral","Mato Grosso do Sul","Rio Verde, Sete Quedas",NA,NA,"NY00908224_01","Rio Verde de Mato Grosso","-54.90181","-18.9385",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","00906339","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","uberavensis","Myrcia uberavensis","D. R. Hunt","1966","06","19","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=980933' target='other'> <mi>dwc_moreinfo</mi></a>","NY00906339","6084","Magnoliophyta","Myrtales","O.Berg","P. O. Rosa","Mato Grosso","Serra Azul, about 7 km. west of Barra do Garças - Xavantina road, 77 km. from Barra do Garças","600","1000","NY00906339_01","Barra do Garças","-52.2567","-15.8903",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
