"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","typeStatus","fieldNumber","minimumElevationInMeters","class","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","maximumElevationInMeters"
"1","2021-03-15 16:37:00-03","NY","NYBG","00894387","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Lauraceae","Cinnamomum","taubertianum","Cinnamomum taubertianum","(Mez & Schwacke) Kosterm.","J. B. Baitello","G. M. Araújo","442","1988","12","20","South America","Brazil","Minas Gerais","Uberaba","Fazenda Van Ass, próximo à nascente do Rio Uberabinha.","-47.9306","-19.7508","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=984759' target='other'> <mi>dwc_moreinfo</mi></a>","NY00894387","NY00894387_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2015-10-01 09:12:31-03","MNHN","RECOLNAT_MNHN_P","P00128482","PreservedSpecimen",NA,NA,NA,"Lauraceae","Cinnamomum","taubertianum","Cinnamomum taubertianum","(Mez & Schwacke) Kosterm.","Lorea-Hernandez","Ule, E.",NA,"1892","9",NA,NA,"Brésil",NA,NA,"Estado de Goyaz : Serra dos Viadeiros",NA,NA,"hb","Donné par Mme Simard, sa fille, en 1907 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00128482' target='other'> <mi>dwc_moreinfo</mi></a>","P00128482","P00128482_01","isotype","54",NA,NA,NA,NA,NA,NA,NA,NA
"3","2015-10-01 09:12:40-03","MNHN","RECOLNAT_MNHN_P","P00128483","PreservedSpecimen",NA,NA,NA,"Lauraceae","Cinnamomum","taubertianum","Cinnamomum taubertianum","(Mez & Schwacke) Kosterm.","Lorea-Hernandez","Ule, E.",NA,"1892","9",NA,NA,"Brésil",NA,NA,"Estado de Goyaz : Serra dos Viadeiros",NA,NA,"hb","Donné par Mme Simard, sa fille, en 1907 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00128483' target='other'> <mi>dwc_moreinfo</mi></a>","P00128483","P00128483_01","isotype","54",NA,NA,NA,NA,NA,NA,NA,NA
"4","2015-09-03 18:54:02-03","MNHN","RECOLNAT_MNHN_P","P01978608","PreservedSpecimen",NA,NA,NA,"Lauraceae","Cinnamomum","taubertianum","Cinnamomum taubertianum","(Mez & Schwacke) Kosterm.",NA,"Glaziou, A.",NA,NA,"8","1",NA,"Brasil","Minas Gerais",NA,"Gamba, prés Ouro Preto","-43.5124","-20.38044","hb","Prélèvement de feuille pour D. de Franceschi, UMR 7207, MNHN, 05/2018, demande n° 116372 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01978608' target='other'> <mi>dwc_moreinfo</mi></a>","P01978608","P01978608_01",NA,"20455 a",NA,NA,NA,NA,NA,NA,NA,NA
"5","2015-09-03 18:54:02-03","MNHN","RECOLNAT_MNHN_P","P01978609","PreservedSpecimen",NA,NA,NA,"Lauraceae","Cinnamomum","taubertianum","Cinnamomum taubertianum","(Mez & Schwacke) Kosterm.",NA,"Schwacke",NA,"1895","8","1",NA,"Brasil","Minas Gerais",NA,"Serra do Cipó","-43.61944","-19.34917","hb","donné par Mme Simard, sa fille en 1907 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01978609' target='other'> <mi>dwc_moreinfo</mi></a>","P01978609","P01978609_01",NA,"10783",NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-12-11 11:37:09-03","UFMG","BHCB","832","PreservedSpecimen","Plantae","Dicotyledon",NA,"Lauraceae","Phoebe","taubertiana","Phoebe taubertiana","Mez & Schwacke",NA,"Senna","11783","1904",NA,NA,"Southern America","Brasil","Minas Gerais",NA,"Serra do Cipó",NA,NA,NA,"Em herbário Schwacke",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2008-05-27 22:02:00-03","MO","MOBOT","1146575","PreservedSpecimen","Plantae",NA,NA,"Lauraceae","Cinnamomum","taubertianum","Cinnamomum taubertianum","(Mez & Schwacke) Kosterm.","H. van der Werff (MO)","I. Cordeiro|et al.","Cordeiro 10532","1987","9","9","South America","Brazil","Minas Gerais",NA,"Mpio. de Santana do Riacho: km ao longo da rodovia Belo Horizonte - Conceicao do Mato Dentro. Serra da Bandeirinha. Mata e campo rupestre proximo a casa do IBDF.",NA,NA,NA,NA,NA,NA,NA,NA,"1200.00000000",NA,NA,NA,NA,NA,NA,NA
"8","2019-09-04 19:29:41-03","F","FMNH-SEEDPLANTS",NA,"PreservedSpecimen","Plantae","Spermatophyta",NA,"Lauraceae","Phoebe","taubertiana","Phoebe taubertiana",NA,NA,"A. Glaziou","20455a","1893",NA,NA,"South America","Brazil",NA,NA,NA,"-52.8731","-10.8339",NA,NA,NA,NA,"Type [status unknown]",NA,NA,"Dicotyledoneae",NA,NA,NA,NA,NA,NA
"9","2019-05-06 11:58:23-03","UFU","HUFU","1827","S","Plantae",NA,NA,"Lauraceae","Cinnamomum","taubertianum","Cinnamomum taubertianum","(Mez & Schwacke) Kosterm.","Baitello, J.B.","Araújo, G.M.","442","1988","12","20",NA,"Brasil","Minas Gerais","Uberaba","Fazenda Van Ass, Próximo a nascente do rio Uberabinha.","-47.9319000244141","-19.7483005523682",NA,"Arbusto, ca. 0,8 m. Com frutos.; Campo murundum.","HUFU00011978","HUFU00011978",NA,NA,NA,NA,"1993","12","15","73879","auto",NA
"10","2021-03-04 15:43:53-03","IF","SPSF","16646","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Lauraceae","Cinnamomum","taubertianum","Cinnamomum taubertianum","((Schwacke)) (((Mez & Schwacke) Kosterm.)) (Mez)","J.B.Baitello","G.M.Araujo","442","1988","12","20","América do Sul","Brasil","MG","Uberaba","Fazenda Van Ass","-47.9319000244141","-19.7483005523682",NA,"COLETA: Arbusto com aprox. 0,8m de altura.; GEOGRAFIA: Próximo a nascente do Rio Uberabinha.;",NA,NA,NA,NA,NA,"Magnoliopsida","1993","12","15","73879","auto",NA
