"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","imagecode","identifiedBy","decimalLongitude","decimalLatitude","infraspecificEpithet","scientificNameAuthorship","minimumElevationInMeters","maximumElevationInMeters","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","class","relatedCatalogItem","fieldNumber","individualCount","typeStatus","sex"
"1","2020-09-23 10:40:48-03","E","E","183076","PreservedSpecimen","Plantae","Leguminosae","Rhynchosia","minima","Rhynchosia minima","Pedersen, Troels M.","7737","1966","03","18","Temperate South America","AR","Provincia de Corrientes","Empedrado","Estancia Las Tres Marias.","herbarium specimen of unspecif","BGBASE:187693","<a href=http://data.rbge.org.uk/herb/E00183076 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00183076",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2016-11-01 12:47:00-02","NY","NYBG","605676","PreservedSpecimen","Plantae","Fabaceae","Rhynchosia","minima","Rhynchosia minima","B. D. Sucre","6171","1969","10","31","South America","Brazil","Rio de Janeiro",NA,"Guanabara, baixada alagadiças e de mangue de Guaratiba","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=693764' target='other'> <mi>dwc_moreinfo</mi></a>","NY00605676","Magnoliophyta","Fabales","NY00605676_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2016-11-02 14:06:00-02","NY","NYBG","01045025","PreservedSpecimen","Plantae","Fabaceae","Rhynchosia","minima","Rhynchosia minima","A. C. Allem","2428","1978","11","05","South America","Brazil","Mato Grosso","Cáceres","Faz. Descalvados","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1187995' target='other'> <mi>dwc_moreinfo</mi></a>","NY01045025","Magnoliophyta","Fabales","NY01045025_01","R. C. Barneby","-57.6789","-16.0708",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2016-11-02 14:07:00-02","NY","NYBG","01045045","PreservedSpecimen","Plantae","Fabaceae","Rhynchosia","minima","Rhynchosia minima","A. C. Allem","2173","1978","10","26","South America","Brazil","Mato Grosso do Sul","Miranda","Faz. Bodoquena, Secção Acurizal","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1188003' target='other'> <mi>dwc_moreinfo</mi></a>","NY01045045","Magnoliophyta","Fabales","NY01045045_01","R. C. Barneby","-56.3781","-20.2408",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","605680","PreservedSpecimen","Plantae","Fabaceae","Rhynchosia","minima","Rhynchosia minima minima","T. Hymowitz","2103","1966",NA,NA,"South America","Brazil","São Paulo","Matao","In IRI experimental plot.","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=137785' target='other'> <mi>dwc_moreinfo</mi></a>","NY00605680","Magnoliophyta","Fabales","NY00605680_01","J. W. Grear","-48.36","-21.6003","minima","(L.) DC.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2016-11-01 12:47:00-02","NY","NYBG","605687","PreservedSpecimen","Plantae","Fabaceae","Rhynchosia","minima","Rhynchosia minima","G. P. Lewis","996","1981","12","29","South America","Brazil","Bahia","Ilhéus","Area do CEPEC (Centro de Pesquisas do Cacau) km 22 da Rodovia Ilhéus/Itabuna (BR 415).","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=693753' target='other'> <mi>dwc_moreinfo</mi></a>","NY00605687","Magnoliophyta","Fabales","NY00605687_01","G. P. Lewis","-39.2273659","-14.771874",NA,NA,"50","50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","01045050","PreservedSpecimen","Plantae","Fabaceae","Rhynchosia","minima","Rhynchosia minima","G. G. Hatschbach","38652","1976","05","13","South America","Brazil","Mato Grosso do Sul","Miranda","Mutum","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1188026' target='other'> <mi>dwc_moreinfo</mi></a>","NY01045050","Magnoliophyta","Fabales","NY01045050_01","J. W. Grear","-56.3781","-20.2408",NA,"(L.) DC.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2016-11-01 12:47:00-02","NY","NYBG","605689","PreservedSpecimen","Plantae","Fabaceae","Rhynchosia","minima","Rhynchosia minima","A. C. Allem","2377","1978","10","26","South America","Brazil","Mato Grosso do Sul","Miranda","Faz. Bodoquena, Secçao Acurizal.","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=693750' target='other'> <mi>dwc_moreinfo</mi></a>","NY00605689","Magnoliophyta","Fabales","NY00605689_01","R. C. Barneby","-56.3781","-20.2408",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2016-11-02 14:08:00-02","NY","NYBG","01045068","PreservedSpecimen","Plantae","Fabaceae","Rhynchosia","minima","Rhynchosia minima","L. Riedel","1128",NA,NA,NA,"South America","Brazil","Rio de Janeiro",NA,"R. Jan.","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1188042' target='other'> <mi>dwc_moreinfo</mi></a>","NY01045068","Magnoliophyta","Fabales","NY01045068_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","605672","PreservedSpecimen","Plantae","Fabaceae","Rhynchosia","minima","Rhynchosia minima","T. Hymowitz","2100","1966",NA,NA,"South America","Brazil","São Paulo","Matao","In IRI experimental plot.","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=693759' target='other'> <mi>dwc_moreinfo</mi></a>","NY00605672","Magnoliophyta","Fabales","NY00605672_01","H. S. Irwin","-48.36","-21.6003",NA,"(L.) DC.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
