"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","infraspecificEpithet","class","relatedCatalogItem","fieldNumber","individualCount","typeStatus","previousCatalogNumber"
"1","2021-03-15 16:37:00-03","NY","NYBG","1262217","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Faramea","rivularis","Faramea rivularis","Gardner","J. G. Jardim","4476","2005","02","24","South America","Brazil","Bahia","Jussari","Reserva Particular do Patrimônio Natural Serra do Teimoso, Rod. Jussari/Palmira, entrada ca. 7 km da cidade. Faz. Teimoso","-39.5361","-15.1603","700","700","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1502239' target='other'> <mi>dwc_moreinfo</mi></a>","NY01262217","NY01262217_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","1183803","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Faramea","truncata","Faramea truncata","(Vell.) Müll.Arg.","E. J. Lucas","578","2006","11","20","South America","Brazil","Rio de Janeiro","Teresópolis","Parque Nacional da Serra dos Orgãos., trilha Suspensa.","-42.98572","-22.4586","1131","1131","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1453671' target='other'> <mi>dwc_moreinfo</mi></a>","NY01183803","NY01183803_01","J. G. Jardim; D. C. Zappi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-06-29 11:32:20-03","UFRJ","RFA","40642","PreservedSpecimen","Plantae",NA,NA,"Rubiaceae","Faramea","truncata","Faramea truncata","(Vell.) Müll.Arg.","Mario Gomes; Ligia Valente","1081","2014","05","03",NA,"Brasil","Rio de Janeiro","Guapimirim","Subsede do PARNASO, próximo ao Museu von Martius","-42.883333","-22.166667","288","288",NA,"Arbusto semi-umbrófila, ca. 2,5 m de altura. Caule coberto por musgos e líquens; ramos verdes; folhas coriáceas, subconcolores; raque verde; frutos imatruos verdes. frequente no local","RFA39190",NA,"Mario Gomes","2014","05","03","42º53'W","22º10'S",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-06-29 11:32:20-03","UFRJ","RFA","15879","PreservedSpecimen","Plantae",NA,NA,"Rubiaceae","Faramea","truncata","Faramea truncata","(Vell.) Müll.Arg.","P. Occhioni","6676","1974","12",NA,NA,"Brasil","Rio de Janeiro","Teresópolis","Serra dos Órgãos. Caneca fina","-42.9655990600586","-22.4122009277344",NA,NA,NA,"Arbusto","RFA13685",NA,"M. Gomes","2014","08","27",NA,NA,"38539","auto",NA,NA,NA,NA,NA,NA,NA
"5","2021-03-30 12:47:48-03","EAO","IAN","93998","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Rubiaceae","Faramea","rivularis","Faramea rivularis occidentalis","Gaertn.","Glaziou, AFM","13967",NA,NA,NA,"Southern America","Brasil",NA,NA,NA,NA,NA,NA,NA,NA,NA,"IAN093998",NA,NA,NA,NA,NA,NA,NA,NA,NA,"occidentalis",NA,NA,NA,NA,NA,NA
"6","2020-02-08 09:23:54-03","NBC","NL-BOTANY","U.1565789","PreservedSpecimen","Plantae",NA,"Gentianales","Rubiaceae","Faramea","rivularis","Faramea rivularis","Gaertn.","Glaziou AFM",NA,"1882","01","01","Southern America","Brazil","Rio de Janeiro",NA,NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1565789 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1565789","NL-U1565789","Delprete PG",NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae","U 0117807",NA,NA,NA,NA
"7","2020-11-04 11:18:25-03","ESALQ","ESA","87741","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Rubiaceae","Faramea","truncata","Faramea truncata","(Vell.) Mull.Arg.","Gomes, J.C.","3659.0","1965","06","05",NA,"Brasil","São Paulo","Ilha Vitória",NA,NA,NA,NA,NA,NA,NA,"ESA087741","ESA087741","Gomes, M.","1996","04","25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-11-04 11:18:25-03","ESALQ","ESA","100540","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Rubiaceae","Faramea","truncata","Faramea truncata",NA,"Baitello, J.B.","880.0","1999","03","31",NA,"Brasil","São Paulo","Ilha Bela",NA,NA,NA,NA,NA,NA,NA,"ESA100540","ESA100540","Pastore, J.A.","2005","07","15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-11-04 11:18:25-03","ESALQ","ESA","128886","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Rubiaceae","Faramea","truncata","Faramea truncata",NA,"Colletta, G.D.","1259.0","2013","06","19",NA,"Brasil","São Paulo","Ilhabela","Inicío da trilha do Bonete, 100m da entrada, sentido bonete","-45.3499984741211","-23.7700004577637",NA,NA,NA,"Árvore, 5m, frutos imaturos verdes e maduros atropurpúreos","ESA128886",NA,"Ferreira, M.A.P.","2013",NA,NA,NA,NA,"23719","auto",NA,NA,NA,NA,NA,NA,NA
"10","2021-01-14 15:33:23-03","MN","R","10370","PreservedSpecimen","Plantae",NA,NA,"Rubiaceae","Faramea","rivularis","Faramea rivularis","Gardner","Glaziou, A.F.M.","13957","1882","12","23",NA,"Brasil","Rio de Janeiro",NA,"Serra da Estrela",NA,NA,NA,NA,NA,"Plantas do Brasil Central","R010053883","R010053883_001","Jardim, J.","2004","01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
