"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","county","decimalLongitude","decimalLatitude","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","fieldNumber","class","individualCount","verbatimLongitude","verbatimLatitude","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","4194","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Chamaecrista","ulmea","Chamaecrista ulmea","H.S.Irwin & Barneby","isotype","H. S. Irwin","23535","1969","02","19","South America","Brazil","Minas Gerais","Serra do Espinhaço, 15 km W of Grao Mogol.","950","950","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=358103' target='other'> <mi>dwc_moreinfo</mi></a>","NY00004194","NY00004194_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","4195","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Chamaecrista","ulmea","Chamaecrista ulmea","H.S.Irwin & Barneby","isotype","H. S. Irwin","23535","1969","02","19","South America","Brazil","Minas Gerais","Serra do Espinhaço, 15 km W of Grao Mogol.","950","950","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=358104' target='other'> <mi>dwc_moreinfo</mi></a>","NY00004195","NY00004195_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","00978864","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Chamaecrista","ulmea","Chamaecrista ulmea","H.S.Irwin & Barneby",NA,"G. G. Hatschbach","41627","1978","10","21","South America","Brazil","Minas Gerais","Corrego do Pasto, no alto da Serra Geral",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1063511' target='other'> <mi>dwc_moreinfo</mi></a>","NY00978864","NY00978864_01 NY00978864_02 NY00978864_03","R. C. Barneby","Grão Mogol","-42.8894","-16.5594",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","02704003","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Chamaecrista","ulmea","Chamaecrista ulmea","H.S.Irwin & Barneby",NA,"M. F. Santos","650","2011","02","12","South America","Brazil","Minas Gerais","Estrada Botumirim - povoado do Canta Galo - Várzea da Estiva. Vereda na Vargem da Estiva. Na beira da estrada.",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2989578' target='other'> <mi>dwc_moreinfo</mi></a>","NY02704003","NY02704003_01",NA,"Botumirim","-43.08525","-17.14183",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-11-04 11:09:05-03","ESALQ","ESA","126364","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Fabaceae","Chamaecrista","ulmea","Chamaecrista ulmea",NA,NA,"Santos, M.F.","650.0","1905","07","03",NA,"Brasil","Minas Gerais",NA,NA,NA,NA,NA,"ESA126364",NA,"Rando, J.G.","Botumirim","-43.010799407959","-16.872200012207","1905","07","05","39434","auto",NA,NA,NA,NA,NA,NA
"6","2018-03-08 09:13:18-03","ASU","ASU-PLANTS","ASU0019810","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Chamaecrista","ulmea","Chamaecrista ulmea","H.S.Irwin & Barneby",NA,"G. Hatschbach; M. Hatschbach, V. Nicolack","54297","1990","6","14",NA,"Brazil","Minas Gerais","Trilha two Garimpeiros (mun. Grao Mogol) .","1250",NA,NA,"Thin shrub, 1.8m, seducing pendente branches. Yellow flowers.",NA,NA,NA,NA,"-42.9","-16.5667",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-16 17:52:03-03","UCS","HUCS","07483","PreservedSpecimen","Plantae","Angiospermae","Fabales","Fabaceae","Chamaecrista","ulmea","Chamaecrista ulmea","H.S. Irwin & Barneby",NA,"Hatschbach, G.","54297","1990","06","14",NA,"Brasil","Minas Gerais","Trilha dos Garimpeiros",NA,NA,NA,"Subarbusto delgado 1,80 m, flores amarelas",NA,NA,NA,"Grão Mogol","-42.8897018432617","-16.5594005584717",NA,NA,NA,"67219","auto",NA,NA,NA,NA,NA,NA
"8","2020-12-21 16:25:58-03","MBM","MBM","60534","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Chamaecrista","ulmea","Chamaecrista ulmea","Irwin & Barneby",NA,"Hatschbach, G.","41627",NA,NA,NA,"Southern America","Brazil","Minas Gerais","Córrego do Pasto",NA,NA,NA,NA,"MBM060534","MBM060534","Barneby, R.","Grão Mogol","-42.8897018432617","-16.5594005584717",NA,NA,NA,"67219","auto",NA,NA,NA,NA,NA,NA
"9","2020-12-21 16:25:58-03","MBM","MBM","136002","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Chamaecrista","ulmea","Chamaecrista ulmea","Irwin & Barneby",NA,"Hatschbach, G.; Hatschbach, M.; Nicolack, V.; Hatschbach, M.; Nicolack, V.","54297",NA,NA,NA,"Southern America","Brazil","Minas Gerais","Trilha dos Garimpeiros",NA,NA,NA,NA,"MBM136002","MBM136002",NA,"Grão Mogol","-42.8897018432617","-16.5594005584717",NA,NA,NA,"67219","auto",NA,NA,NA,NA,NA,NA
"10","2012-10-16 12:14:12-03","MNHN","RECOLNAT_MNHN_P","P00836125","PreservedSpecimen",NA,NA,NA,"Fabaceae","Chamaecrista","ulmea","Chamaecrista ulmea","H.S.Irwin & Barneby","isotype","Irwin, H.S.|dos Santos, R.R.|Souza, R.|da Fonseca, S.F.",NA,"1969","2","19",NA,"Brésil",NA,"Estado Minas Gerais, Serra do Espinhaço, ca. 15 km west of Grao Mogol.","950",NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00836125' target='other'> <mi>dwc_moreinfo</mi></a>","P00836125","P00836125_01","Barneby",NA,NA,NA,NA,NA,NA,NA,NA,"23535",NA,NA,NA,NA,NA
