"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","maximumElevationInMeters","typeStatus","individualCount","class","fieldNumber"
"1","2021-03-15 16:37:00-03","NY","NYBG","720403","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","capoerum","Solanum capoerum","Dunal","L. L. Giacomin","R. R. Guedes-Bruni","2517","1995","03","13","South America","Brazil","Rio de Janeiro","Itatiaia","Parque Nacional de Itatiaia, Caminho para o Pico das Agulhas Negras.","-44.65833","-22.35833","1650","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2501248' target='other'> <mi>dwc_moreinfo</mi></a>","NY00720403","NY00720403_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-10-20 14:18:17-03","UFOPA","HSTM","14186","PreservedSpecimen","Plantae",NA,NA,"Solanaceae","Solanum","capoerum","Solanum capoerum","Dunal",NA,"Haroldo, C.L.","74","1977","06","06",NA,"Brasil","Rio de Janeiro","Nova Iguaçu","Campo Grande, serra do Medanha, Rio de Prata.","-43.451667","-22.759722",NA,NA,NA,"HSTM014186","HSTM014186","43º27'6''W","22º45'35''S",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-10-20 14:18:17-03","UFOPA","HSTM","14090","PreservedSpecimen","Plantae",NA,NA,"Solanaceae","Solanum","capoerum","Solanum capoerum","Dunal","Giacomin, L.L.","Sucre, D.; Ichaso, C.L. & Guimarães, E.F.","6577","1970","04","09",NA,"Brasil","Rio de Janeiro","Serra do Mendanha",NA,"-43.502778","-22.828333",NA,NA,NA,"HSTM014090","HSTM014090","43º30'10''W","22º49'42''S","2014","01","01",NA,NA,NA,NA,NA,NA,NA
"4","2019-11-21 14:46:12-03","UFJF","CESJ","58012","PreservedSpecimen","Plantae","Angiosperma",NA,"Solanaceae","Solanum","capoerum","Solanum capoerum","Dunal","L.L. Giacomin","F.R.G. Salimena; P.H. Nobre; L.C.Pereira; R.M.Mello","3344","2011","06","12","América do Sul","Brasil","Minas Gerais","Aiuruoca","Parque Estadual da Serra do Papagaio, Retiro dos Pedros, em campo rupestre.","-44.603099822998","-21.9755992889404",NA,NA,"Arvoreta ca. 2,5 m, flores alvas.","CESJ058012",NA,NA,NA,"2013","06",NA,"27460","auto",NA,NA,NA,NA,NA
"5","2019-11-21 14:46:12-03","UFJF","CESJ","70295","PreservedSpecimen","Plantae","Angiosperma",NA,"Solanaceae","Solanum","capoerum","Solanum capoerum","Dunal","J.H.C. Ribeiro","J.H.C. Ribeiro","614","2015","03","21","América do Sul","Brasil","MInas Gerais","Baependi","Parque Estadual da Serra do Papagaio, Chapadão","-44.755278","-22.129722","1910",NA,"Árvore, 9m, no interior de floresta nebular. Flor branca, frutos imaturos verdes, folha discolor com tricomas ferrugíneos . Indivíduo 816 da fitossociologia.","CESJ070295",NA,"-44.755278","-22.129722","2017",NA,NA,NA,NA,"1910",NA,NA,NA,NA
"6","2019-11-21 14:46:12-03","UFJF","CESJ","60853","PreservedSpecimen","Plantae","Angiosperma",NA,"Solanaceae","Solanum","capoerum","Solanum capoerum","Dunal","L.L. Giacomin","L. Menini Neto; S.G. Furtado; D.R. Gonzaga","1078","2012","10","12","América do Sul","Brasil","MInas Gerais","Baependi","Parque Estadual da Serra do Papagaio, Floresta Ombrófila Mista, 1700m.s.m. 22°08'20.28, 44°44'15.14S.","-44.7375","-22.138889","1700",NA,"Arvoreta, ca. 2,5m alt., na borda da floresta ombrófila mista. Pétalas alvas, estames róseos.","CESJ060853",NA,"-44.7375","-22.138889","2013","06",NA,NA,NA,"1700",NA,NA,NA,NA
"7","2019-11-21 14:46:12-03","UFJF","CESJ","61109","PreservedSpecimen","Plantae","Angiosperma",NA,"Solanaceae","Solanum","capoerum","Solanum capoerum","Dunal","L.L. Giacomin","D.S. Santiago; L. Menini Neto; S.G. Furtado","362","2012","12","08","América do Sul","Brasil","MInas Gerais","Baependi","Parque Estadual da Serra do Papagaio, Borda da Mata de Araucária, localizada a 1.800 - 2.000 metros de altitude.","-44.8899993896484","-21.9589004516602",NA,NA,"Arbusto, ca. 1 m. Com tricomas ferrugíneos no fruto, folha e caule. Frutos branco-esverdeados.","CESJ061109",NA,NA,NA,"2013","06",NA,"29865","auto",NA,NA,NA,NA,NA
"8","2019-11-21 14:46:12-03","UFJF","CESJ","60435","PreservedSpecimen","Plantae","Angiosperma",NA,"Solanaceae","Solanum","capoerum","Solanum capoerum","Dunal","L.L. Giacomin","D.S. Santiago; J.H.C. Ribeiro","154","2012","09","22","América do Sul","Brasil","MInas Gerais","Baependi","Parque Estadual da Serra do Papagaio, No campo, próximo a borda da Mata de Araucária.","-44.8899993896484","-21.9589004516602",NA,NA,"Arbusto, ca 2 m, flores brancas e estames amarelos.","CESJ060435",NA,NA,NA,"2013","06",NA,"29865","auto",NA,NA,NA,NA,NA
"9","2019-11-21 14:46:12-03","UFJF","CESJ","59668","PreservedSpecimen","Plantae","Angiosperma",NA,"Solanaceae","Solanum","capoerum","Solanum capoerum","Dunal","L.L. Giacomin","F.R.G. Salimena; D.S. Santiago; S.G. Furtado; P.H. Nobre","3448","2012","04","14","América do Sul","Brasil","MInas Gerais","Baependi","Parque Estadual da Serra do Papagaio, Serra do Cambuí","-44.8899993896484","-21.9589004516602",NA,NA,"Árvore ca. 3m, em encosta, frutos imaturos verdes.","CESJ059668",NA,NA,NA,"2013","06",NA,"29865","auto",NA,NA,NA,NA,NA
"10","2020-08-31 19:33:14-03","UFPB","JPB","65185","PreservedSpecimen","Plantae","Angiosperma","Dicotyledon","Solanaceae","Solanum","capoerum","Solanum capoerum","Dunal","Giacomin, LL","Lima, HC","74","1977","07","06","Southern America","Brasil","Rio de Janeiro","Rio de Janeiro","Campo Grande, Serra do Mendanha, Rio de Prata","-43.2075004577637","-22.9027996063232",NA,NA,"; DESC: Árvore de 6-7 m de alt., com folhas discolores verde na face superior e verde esbranquiçada na face inferior. Fruto esverdeado com cálice persistente da mesma cor","JPB0065185",NA,NA,NA,"2014","01",NA,"57442","auto",NA,NA,NA,NA,NA
