"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","barcode","imagecode","phylum","order","yearIdentified","monthIdentified","dayIdentified","individualCount","occurrenceRemarks","recordNumber","continentOcean","minimumElevationInMeters","maximumElevationInMeters","preparationType","locality","class","coordinatePrecision","geoFlag","fieldNumber","previousCatalogNumber"
"1","2021-04-05 14:33:50-03","UNESC","CRI","7029","PreservedSpecimen","Plantae","Orchidaceae","Oncidium","sarcodes","Oncidium sarcodes","Lindl.","M. das Graças S. Simon","M. das Graças S. Simon","1999","03","01","Brasil","Santa Catarina","Maracajá","-49.454444","-28.8475","49º27'16''W","28º50'51''S","CRI005815","CRI005815",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-06-10 10:10:29-03","FZB-BH","CVJBFZB","4092","S","Plantae","Orchidaceae","Gomesa","sarcodes","Gomesa sarcodes",NA,"Carlos Alberto Ferreira Júnior",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliophyta","Asparagales","2017","05","05","1","254",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","505058","PreservedSpecimen","Plantae","Orchidaceae","Oncidium","sarcodes","Oncidium sarcodes","Lindl.","P. K. H. Dusén","P. K. H. Dusén","1914","11","17","Brazil","Paraná","Jaguariaíva","-49.7056","-24.2511",NA,NA,"NY00505058","NY00505058_01","Magnoliophyta","Asparagales",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=392942' target='other'> <mi>dwc_moreinfo</mi></a>","15960","South America","740","740","sheet",NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","505059","PreservedSpecimen","Plantae","Orchidaceae","Oncidium","sarcodes","Oncidium sarcodes","Lindl.","P. K. H. Dusén","P. K. H. Dusén","1915","12",NA,"Brazil","Paraná","Jaguariaíva","-49.7056","-24.2511",NA,NA,"NY00505059","NY00505059_01","Magnoliophyta","Asparagales",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=392943' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"South America",NA,NA,"sheet",NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","505060","PreservedSpecimen","Plantae","Orchidaceae","Oncidium","sarcodes","Oncidium sarcodes","Lindl.","P. K. H. Dusén","P. K. H. Dusén","1910","11","14","Brazil","Paraná","Jaguariaíva","-49.7056","-24.2511",NA,NA,"NY00505060","NY00505060_01","Magnoliophyta","Asparagales",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=392941' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"South America",NA,NA,"sheet",NA,NA,NA,NA,NA,NA
"6","2021-02-18 09:30:19-03","UNESP-IBB","BOTU","6655","PreservedSpecimen","Plantae","Orchidaceae","Baptistonia","sarcodes","Baptistonia sarcodes","(Lindl.) Chiron & V.P.Castro","Amaral Jr., A.","Amaral Jr., A.","1972","10","13","Brasil","São Paulo","Botucatu",NA,NA,"9999","9999","BOTU006655",NA,NA,NA,"1972","11","13",NA,NA,"1188",NA,NA,NA,NA,"Sítio do Sr. Antônio de Lala, próximo mais ou menos 1km do distrito de Rubião Júnior",NA,NA,NA,NA,NA
"7","2021-02-18 09:30:19-03","UNESP-IBB","BOTU","28392","PreservedSpecimen","Plantae","Orchidaceae","Gomesa","sarcodes","Gomesa sarcodes","(Regel) M.W.Chase & N.H.Williams","Marcusso, G.M.","Marcusso, G.M.","2011","10","31","Brasil","São Paulo","Botucatu",NA,NA,"9999","9999","BOTU028392",NA,NA,NA,"2011","11","15",NA,NA,"28",NA,NA,NA,NA,"Escola do Meio Ambiente",NA,NA,NA,NA,NA
"8","2021-02-18 09:30:19-03","UNESP-IBB","BOTU","28393","PreservedSpecimen","Plantae","Orchidaceae","Gomesa","sarcodes","Gomesa sarcodes","(Regel) M.W.Chase & N.H.Williams","Marcusso, G.M.","Marcusso, G.M.","2011","10","05","Brasil","São Paulo","Botucatu",NA,NA,"9999","9999","BOTU028393",NA,NA,NA,"2011","11","15",NA,NA,"26",NA,NA,NA,NA,"Escola do Meio Ambiente",NA,NA,NA,NA,NA
"9","2020-02-08 08:46:37-03","NBC","NL-BOTANY","L.1532652","PreservedSpecimen","Plantae","Orchidaceae","Oncidium","sarcodes","Oncidium sarcodes","Lindl.",NA,"Dusén PKH","1914","11","17","Brazil",NA,NA,NA,NA,NA,NA,"NL-L1532652","NL-L1532652",NA,"Asparagales",NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1532652 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"Southern America",NA,NA,NA,"Plantae Brasilienses. Parana: Jaguariahyva opp., in silvula rad truncos orbasum.","Magnoliopsidae",NA,NA,NA,NA
"10","2020-12-20 21:18:45-03","UFV","VIC","12663","PreservedSpecimen","Plantae","Orchidaceae","Gomesa","sarcodes","Gomesa sarcodes","(Lindl.) M.W.Chase & N.H.Williams",NA,"Heringer, E.P.","1944","01","20","Brasil","Minas Gerais","Coronel Pacheco","-43.2655982971191","-21.5877990722656",NA,NA,"VIC012663","VIC012663",NA,NA,NA,NA,NA,NA,"Epífita, de matas virgens, úmidas. Flores marrons","930",NA,NA,NA,NA,NA,NA,"10350","auto",NA,NA
