"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","maximumElevationInMeters","coordinatePrecision","geoFlag","class","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","fieldNumber","minimumElevationInMeters","individualCount","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","503120","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Xyridaceae","Xyris","brevifolia","Xyris brevifolia","Michx.","R. Kral; L. B. Smith","S. A. Mori","10390","1978","07","28","South America","Brazil","Bahia","Santa Cruz Cabrália","Estrada velha de Sta. Cruz de Cabrália, 2-4 km a W de Sta. Cruz de Cabrália. Folha SE-24 (16-39c)","-39.0440986","-16.2986237","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=238386' target='other'> <mi>dwc_moreinfo</mi></a>","NY00503120","NY00503120_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","503121","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Xyridaceae","Xyris","brevifolia","Xyris brevifolia","Michx.","R. Kral","R. Callejas Posada","1699","1983","11","05","South America","Brazil","Bahia","Porto Seguro","Rodovia para povodao de Trancoso, km 5 depois de Arraial d'ajuda","-39.0644","-16.4497","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=238388' target='other'> <mi>dwc_moreinfo</mi></a>","NY00503121","NY00503121_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","503122","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Xyridaceae","Xyris","brevifolia","Xyris brevifolia","Michx.","R. Kral","R. M. Harley","18121","1977","01","20","South America","Brazil","Bahia","Pau Brasil","Reserva Biologica do Pau Brasil (CEPLAC) 17 km W from Porto Seguro on road to Eunápolis","-39.18","-16.4","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=238387' target='other'> <mi>dwc_moreinfo</mi></a>","NY00503122","NY00503122_01","20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-06-29 11:32:53-03","UFRJ","RFA","39235","PreservedSpecimen","Plantae",NA,NA,"Xyridaceae","Xyris","brevifolia","Xyris brevifolia","Michx.",NA,"Soares, A.R.; Nocchi, N.","34","2008","09","03",NA,"Brasil","Rio de Janeiro","Carapebus","PARNA Restinga de Jurubatiba, Lagoa Comprida.","-41.6610984802246","-22.1872005462646",NA,NA,"RFA34262",NA,NA,"13257","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-02-08 10:21:02-03","NBC","NL-BOTANY","U.1779752","PreservedSpecimen","Plantae",NA,"Poales","Xyridaceae","Xyris","brevifolia","Xyris brevifolia","Michx.",NA,"Harley RM",NA,"1977","01","20","Southern America","Brazil",NA,NA,"Estado Da Bahia, Coastal Zone, reserva Biologica do Pau Brasil Ceplac 17 km W. form Porto Seguro on road to Eunapolis.","-39.183333","-16.4",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1779752 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1779752","NL-U1779752",NA,NA,NA,"Magnoliopsidae","-39.183333","-16.4",NA,NA,NA,NA,NA,NA,NA
"6","2020-11-04 11:21:00-03","ESALQ","ESA","22387","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Xyridaceae","Xyris","brevifolia","Xyris brevifolia","Michx.","Wanderley, M.G.L.","Basso, M.E.; Moncaio, E.; Pomari, M.L.; Nakagomi, M.Y.","22.0","1994","09","08",NA,"Brasil","São Paulo","Cananéia","Ilha Comprida. estrada entre a balsa e a Praia da Ilha Comprida. Área de mata de restinga com transição para dunas","-475.445","-250.104",NA,"Erva, ca. 30 cm alt. Solo arenoso.","ESA022387","ESA022387",NA,NA,NA,NA,"-475,445","-250,104",NA,NA,NA,NA,NA,NA,NA
"7","2020-11-04 11:21:00-03","ESALQ","ESA","22415","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Xyridaceae","Xyris","brevifolia","Xyris brevifolia","Michx.","Wanderley, M.G.L.","Basso, M.E.; Moncaio, E.; Pomari, M.L.; Nakagomi, M.Y.","7.0","1994","09","08",NA,"Brasil","São Paulo","Cananéia","Ilha Comprida. estrada entre a balsa e a Praia da Ilha Comprida. Área de mata de restinga com transição para dunas","-47.9199981689453","-25.0100002288818",NA,"Flores amarelas. Folhas avermelhadas. Beira de estrada. Solo arenoso.","ESA022415","ESA022415",NA,"37574","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2019-02-15 11:52:08-02","IPA","IPA","27536","S","Plantae","Plantae",NA,"Xyridaceae","Xyris","brevifolia","Xyris brevifolia","Michx.","Kral, R.","Harley, R.M.","18121","1977","01","20","Southern America","Brasil","Bahia",NA,"Reserva Biológica do Pau-brasil, 17 km W from Porto Seguro on road to Eunápolis. Campo on white sand","-39.183333","-16.4",NA,"Erect tufted herb to 20 cm with rosettes of midgreen, reddish-tinged leaves. Bracts brown with dark green keel turning brown. Culms rather spreading","IPA0027536",NA,NA,NA,NA,NA,"-39.183333","-16.4","1979",NA,NA,NA,NA,NA,NA
"9","2021-03-24 17:10:06-03","UFES","SAMES","5654","PreservedSpecimen","Plantae",NA,NA,"Xyridaceae","Xyris","brevifolia","Xyris brevifolia","Michx.","Lozano, E.D.","Martins,R.F.A.; Giaretta,A.O.;Menezes,L.F.T.;Pereira,O.J.","165","2007","08","01",NA,"Brasil","Espírito Santo","Conceição da Barra","Lajinha. Floresta de restinga inundável, próximo ao Rio São Nateus. Seguindo a estrada de terra atrpas do campus do CEUNES, próximo ao bairro Litorâneo.","-39.7322006225586","-18.5932998657227",NA,"Planta entre moitas com inflorescência.","SAMES05654",NA,NA,"41644","auto",NA,NA,NA,"2020","08","14",NA,NA,NA,NA
"10","2021-03-01 16:20:52-03","UNICAMP","UEC","27497","S","Plantae","Liliopsida",NA,"Xyridaceae","Xyris","brevifolia","Xyris brevifolia","Michx.","Kral, R","Harley, RM; Mayo, SJ; Storr, RM; Santos, TS; Pinheiro, RS","18121","1977","01","20",NA,"Brazil","Bahia",NA,"Reserva Biológica do Pau Brasil (CEPLAC), 17km. W. from Porto Seguro on road to Eunápolis.","-39.183333","-16.4",NA,"Erect tufted herb to 20cm with rosettes of mid-green, reddish-tinged leaves. Bracts brown with dark green keel turning brown. Culms rather spreading.; Campo on white sand.","UEC060942","UEC060942",NA,NA,NA,NA,"-39.183333","-16.4","1979",NA,NA,NA,NA,NA,NA
