"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","phylum","order","continentOcean","preparationType","coordinatePrecision","geoFlag","class","relatedCatalogItem","fieldNumber","individualCount","typeStatus","infraspecificEpithet"
"1","2021-04-05 14:24:48-03","UNESC","CRI","9493","PreservedSpecimen","Plantae","Annonaceae","Duguetia","lanceolata","Duguetia lanceolata","A.St.-Hil.","A. Korte","2010","03","15","A. Korte; A. Kniess","1591","2010","01","28","Brasil","Santa Catarina","Taió","Barragem Oeste.","-50.038056","-27.092222","50º2'17''W","27º5'32''S","400","400","Floresta Ombrófila Densa","CRI000251","CRI000251",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:24:48-03","UNESC","CRI","6555","PreservedSpecimen","Plantae","Annonaceae","Duguetia","lanceolata","Duguetia lanceolata","A.St.-Hil.","Dolores Bosa","1999","10","17","Dolores Bosa; Magali Romagna",NA,"1999","10","17","Brasil","Santa Catarina","Morro Grande","Nova Roma.","-49.721111","-28.801111","49º43'16''W","28º48'4''S",NA,NA,"Habitat: Floresta Ombrófila Densa Habito: árvore","CRI000250","CRI000250",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:24:48-03","UNESC","CRI","3371","PreservedSpecimen","Plantae","Annonaceae","Duguetia","lanceolata","Duguetia lanceolata","A.St.-Hil.",NA,NA,NA,NA,"Vanilde Citadini-Zanette; Aurélio José de Aguiar & Clair Maria Martinello","1967","1993","01","22","Brasil","Santa Catarina","Orleans","Rio Novo.","-49.298889","-28.285278","49º17'56''W","28º17'7''S","300","300",NA,"CRI000246","CRI000246",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 14:33:13-03","UNESC","CRI","8378","PreservedSpecimen","Plantae","Annonaceae","Duguetia","lanceolata","Duguetia lanceolata","A.St.-Hil.","Vanilde Citadini- Zanette","2007",NA,NA,"Aline Costa Brum Figueiró Leandro; Rosimar Tertuliano da Silva",NA,"2006",NA,NA,"Brasil","Santa Catarina","Criciúma","Parque Ecológico Municipal José Milanese.","-49.431944","-28.69","49º25'55''W","28º41'24''S","46","46",NA,"CRI000249","CRI000249",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-04-05 14:24:48-03","UNESC","CRI","9494","PreservedSpecimen","Plantae","Annonaceae","Duguetia","lanceolata","Duguetia lanceolata","A.St.-Hil.","M. Verdi","2009","09","24","M. Verdi; D. H. Klettenberg & G. Klemz","2686","2008","09","24","Brasil","Santa Catarina","Jacinto Machado","Tenente.","-49.86","-29.07","49º51'36''W","29º4'12''S","80","80","Floresta Ombrófila Densa Habito: arbórea","CRI000254","CRI000254",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-04-05 14:24:48-03","UNESC","CRI","3154","PreservedSpecimen","Plantae","Annonaceae","Duguetia","lanceolata","Duguetia lanceolata","A.St.-Hil.","Vanilde Citadini- Zanette",NA,NA,NA,"Vanilde Citadini-Zanette; Aurélio José de Aguiar & Ricardo Ribeiro Rodrigues","1604","1993","05","11","Brasil","Santa Catarina","Orleans","Rio Novo.","-49.298889","-28.285278","49º17'56''W","28º17'7''S","300","300",NA,"CRI000247","CRI000247",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-04-05 14:24:48-03","UNESC","CRI","7943","PreservedSpecimen","Plantae","Annonaceae","Duguetia","lanceolata","Duguetia lanceolata","A.St.-Hil.","Vanilde Citadini- Zanette","2007","09","07","Beatriz Wessler; Bruna Alberton",NA,"2007","09","06","Brasil","Santa Catarina","Içara","SANTEC Resíduos.","-49.300278","-28.713889","49º18'1''W","28º42'50''S","46","46",NA,"CRI000252","CRI000252",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-04-05 14:24:48-03","UNESC","CRI","5478","PreservedSpecimen","Plantae","Annonaceae","Duguetia","lanceolata","Duguetia lanceolata","A.St.-Hil.","Vanilde Citadini- Zanette",NA,NA,NA,"V. Citadini-Zanette; V. P. Boff",NA,"1997","05","03","Brasil","Santa Catarina","Araranguá","B. Ilhas.","-49.486111","-28.935278","49º29'10''W","28º56'7''S","13","13",NA,"CRI000248","CRI000248",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","378825","PreservedSpecimen","Plantae","Annonaceae","Duguetia","lanceolata","Duguetia lanceolata","A.St.-Hil.","P. X. He; P. J. M. Maas",NA,NA,NA,"R. M. Klein","182","1949","11","25","Brazil","Santa Catarina","Brusque","Campo na Azambuja, Brusque","-48.910147","-27.126635",NA,NA,"15","15","Eq. Ecologia nr. 61 <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=460092' target='other'> <mi>dwc_moreinfo</mi></a>","NY00378825","NY00378825_01","Magnoliophyta","Magnoliales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","378823","PreservedSpecimen","Plantae","Annonaceae","Duguetia","lanceolata","Duguetia lanceolata","A.St.-Hil.","P. X. He; P. J. M. Maas",NA,NA,NA,"R. Reitz","1647","1954","03","02","Brazil","Santa Catarina","Ibirama","Horto Forestal, I. N. P., Ibirama","-49.5178","-27.0569",NA,NA,"300","300","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=460094' target='other'> <mi>dwc_moreinfo</mi></a>","NY00378823","NY00378823_01","Magnoliophyta","Magnoliales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
