"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","identifiedBy","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","continentOcean","preparationType","previousCatalogNumber","phylum","order","infraspecificEpithet","class","relationshipType","relatedCatalogItem","fieldNumber","individualCount","typeStatus"
"1","2021-04-05 14:33:34-03","UNESC","CRI","3054","PreservedSpecimen","Plantae","Lamiaceae","Aegiphila","obducta","Aegiphila obducta","Vell.","R. Negrelle","466","1992","10","12","Brasil","Santa Catarina","Itapoá","Reserva Volta Velha.","-48.616389","-26.1175","48º36'59''W","26º7'3''S","9","9","Habitat: trilha Habito: liana","CRI007868","CRI007868",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:25:22-03","UNESC","CRI","3222","PreservedSpecimen","Plantae","Lamiaceae","Aegiphila","obducta","Aegiphila obducta","Vell.","Vanilde Citadini-Zanette; Aurélio José de Aguiar","1848","1991","07","27","Brasil","Santa Catarina","Orleans","Rio Novo.","-49.298889","-28.285278","49º17'56''W","28º17'7''S","300","300",NA,"CRI007866","CRI007866","Hatschback",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:25:22-03","UNESC","CRI","13006","PreservedSpecimen","Plantae","Lamiaceae","Aegiphila","obducta","Aegiphila obducta","Vell.","Seubert, R.C.; Sampaio, D.K.; Hofschneider, E.; Rezini, J.A. & Gebien, W.","118","2014","08","20","Brasil","Santa Catarina","Indaial","Faxinal do Bepe - Parque Nacional da Serra do Itajaí. Faxinal do Bepe - Parque Nacional da Serra do Itajaí.","-49.2075","-27.123889","49º12'27''W","27º7'26''S","653","653","Projeto Restaurar Habitat: Floresta Ombrófila Densa Montana; encosta Habito: arbusto;","CRI011717",NA,"Oliveira, AA de","2015","04","06",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 14:25:22-03","UNESC","CRI","11188","PreservedSpecimen","Plantae","Lamiaceae","Aegiphila","obducta","Aegiphila obducta","Vell.","M. Verdi; N.L. de Souza, G. Klemz & D.H. Klettenberg","4553","2010","04","30","Brasil","Santa Catarina","Paulo Lopes","Laranjal.","-48.78","-28.08","48º46'48''W","28º4'48''S","126","126","Floresta Ombrófila Densa Habitat: interior do fragmento Habito: arbusto","CRI003337","CRI003337","M. Sobral","2010","08","15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-04-05 14:25:22-03","UNESC","CRI","3223","PreservedSpecimen","Plantae","Lamiaceae","Aegiphila","obducta","Aegiphila obducta","Vell.","Vanilde Citadini-Zanette; Robson dos Santos & Clair Maria Martinello","1849","1993","05","18","Brasil","Santa Catarina","Orleans","Rio Novo.","-49.298889","-28.285278","49º17'56''W","28º17'7''S","300","300",NA,"CRI007870","CRI007870",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-04-05 14:25:22-03","UNESC","CRI","3224","PreservedSpecimen","Plantae","Lamiaceae","Aegiphila","obducta","Aegiphila obducta","Vell.","Vanilde Citadini-Zanette; Aurélio José de Aguiar & Robson dos Santos","1850","1992","08","24","Brasil","Santa Catarina","Orleans","Rio Novo.","-49.298889","-28.285278","49º17'56''W","28º17'7''S","300","300",NA,"CRI007864","CRI007864","Hatschback",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-04-05 14:33:34-03","UNESC","CRI","1308","PreservedSpecimen","Plantae","Lamiaceae","Aegiphila","obducta","Aegiphila obducta","Vell.","Jairo José Zocche",NA,"1992","07","28","Brasil","Santa Catarina","Forquilhinha","Parque Ecológico.","-49.4725","-28.748056","49º28'21''W","28º44'53''S","28","28","Habito: liana","CRI007867","CRI007867",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-04-05 14:25:22-03","UNESC","CRI","11207","PreservedSpecimen","Plantae","Lamiaceae","Aegiphila","obducta","Aegiphila obducta","Vell.","S. Dreveck; F. E. Carneiro","997","2009","06","12","Brasil","Santa Catarina","Leoberto Leal","Rio do Meio.","-49.316667","-27.5375","49º19'0''W","27º32'15''S","847","847","Floresta Ombrófila Mista Habitat: margem de riacho Habito: arbustiva","CRI003335","CRI003335","M. Sobral","2009","07","17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-04-05 14:25:22-03","UNESC","CRI","3380","PreservedSpecimen","Plantae","Lamiaceae","Aegiphila","obducta","Aegiphila obducta","Vell.","Vanilde Citadini-Zanette","1975","1993","05","14","Brasil","Santa Catarina","Orleans","Rio Novo.","-49.298889","-28.285278","49º17'56''W","28º17'7''S","300","300",NA,"CRI007861","CRI007861",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-04-05 14:25:22-03","UNESC","CRI","14915","PreservedSpecimen","Plantae","Lamiaceae","Aegiphila","obducta","Aegiphila obducta","Vell.","Schmitt, J.L.; Caglioni, E.; Andrade, S. & Cristofolini, C.","1133","2010","01","28","Brasil","Santa Catarina","Imaruí","Forquilinha. Forquilinha.","-48.869722","-28.164722","48º52'11''W","28º9'53''S","666","666","Florística IFFSC e148a (Arbusto) Habitat: Floresta Ombrófila Densa; Estágio Avançado; interior do fragmento Habito: arbusto; Fruto seco;","CRI014372","CRI014372","Gasper, AL de","2010","03","24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-04-05 14:25:22-03","UNESC","CRI","3369","PreservedSpecimen","Plantae","Lamiaceae","Aegiphila","obducta","Aegiphila obducta","Vell.","Vanilde Citadini-Zanette; Robson dos Santos & Clair Maria Martinello","1965","1992","08","20","Brasil","Santa Catarina","Orleans","Rio Novo.","-49.298889","-28.285278","49º17'56''W","28º17'7''S","300","300",NA,"CRI007862","CRI007862",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-04-05 14:25:22-03","UNESC","CRI","10539","PreservedSpecimen","Plantae","Lamiaceae","Aegiphila","obducta","Aegiphila obducta","Vell.","Vanilde C. Zanette; Aurélio Aguiar",NA,"1991","07","25","Brasil","Santa Catarina","Orleans","Rio novo.","-49.291667","-28.359444","49º17'30''W","28º21'34''S",NA,NA,NA,"CRI003363","CRI003363",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-04-05 14:33:34-03","UNESC","CRI","1496","PreservedSpecimen","Plantae","Lamiaceae","Aegiphila","obducta","Aegiphila obducta","Vell.","R. Negrelle","252","1992","07","28","Brasil","Santa Catarina","Itapoá","Reserva Volta Velha.","-48.616389","-26.1175","48º36'59''W","26º7'3''S","9","9","Habitat: trilha Habito: liana","CRI007865","CRI007865","Sergio Romaniuo Neto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-04-05 14:25:22-03","UNESC","CRI","3337","PreservedSpecimen","Plantae","Lamiaceae","Aegiphila","obducta","Aegiphila obducta","Vell.","Vanilde Citadini-Zanette; Robson dos Santos & Clair Maria Martinello","1939","1992","12","14","Brasil","Santa Catarina","Orleans","Rio Novo.","-49.298889","-28.285278","49º17'56''W","28º17'7''S","300","300",NA,"CRI007863","CRI007863","Vanilde Citadini- Zanette",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-04-05 14:33:34-03","UNESC","CRI","12520","PreservedSpecimen","Plantae","Lamiaceae","Aegiphila","obducta","Aegiphila obducta","Vell.","Alexandre Medeiros",NA,"2017","05","29","Brasil","Santa Catarina","Balneário Camboriú","Laranjeiras.","-48.637778","-27.001389","48º38'16''W","27º0'5''S","5","5","Flor branca. Coleta 390. Habito: Arbustivo","CRI010727","CRI010727","Aline Votri Guislon & Renato colares","2017","07","25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-04-05 14:25:22-03","UNESC","CRI","12523","PreservedSpecimen","Plantae","Lamiaceae","Aegiphila","obducta","Aegiphila obducta","Vell.","Alexandre Medeiros",NA,"2017","05","29","Brasil","Santa Catarina","Balneário Camboriú","Laranjeiras.","-48.6347007751465","-26.9906005859375",NA,NA,NA,NA,"Coleta 390.","CRI010730",NA,"Aline Votri Guislon & Renato colares","2017","07","25","8793","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2021-04-05 14:25:22-03","UNESC","CRI","12483","PreservedSpecimen","Plantae","Lamiaceae","Aegiphila","obducta","Aegiphila obducta","Vell.","Alexandre Medeiros",NA,"2017","05","29","Brasil","Santa Catarina","Balneário Camboriú","Laranjeiras.","-48.6347007751465","-26.9906005859375",NA,NA,NA,NA,"Coleta 390. Habito: Arbustivo","CRI010690",NA,"Aline Votri Guislon & Peterson T. Padilha","2017","07","25","8793","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
