"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","coordinatePrecision","barcode","imagecode","geoFlag","continentOcean","locality","occurrenceRemarks","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","monthIdentified","dayIdentified","typeStatus","fieldNumber","preparationType","class","order"
"1","2020-11-04 11:12:57-03","ESALQ","ESA","4595","PreservedSpecimen","Plantae","Magnoliophyta","Malvaceae","Pachira","calophylla","Pachira calophylla","(K.Schum.) Fern.Alonso","Semir, J.","Catharino, E.L.M.","593.0","1986","01","13","Brasil","São Paulo","Peruíbe","-46.9900016784668","-24.3199996948242","21922","ESA004595","ESA004595","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-02-15 11:35:10-02","IPA","IPA","88782","S","Plantae","Plantae","Bombacaceae","Bombacopsis","calophylla","Bombacopsis calophylla","(K. Schum.) A. Robyns",NA,"Gandolfi, S.","15640","1983","10","06","Brasil","São Paulo","Valinhos","-46.9900016784668","-22.9699993133545","12075","IPA0088782",NA,"auto","Southern America","Estação Experimental de Valinhos, alto da cachoeira grande.","Árvore de 12m de altura; flores brancas.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-08-20 10:08:21-03","UNICAMP","UEC","150188","S","Plantae","Magnoliopsida","Bombacaceae","Pachira","calophylla","Pachira calophylla","(K.Schum.) Fern.Alonso","Bertoncello, R","Bertoncello, R; Pansonato, M","362","2007","05","19","Brazil","São Paulo","Ubatuba","-44.787222","-23.303889",NA,NA,NA,NA,NA,"Parque Estadual da Serra do Mar, Morro do Cuscuzeiro",NA,"-44.787222","-23.303889","1120","1120",NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-01 16:26:49-03","UNICAMP","UEC","48192","S","Plantae","Magnoliopsida","Bombacaceae","Pachira","calophylla","Pachira calophylla","(K.Schum.) Fern.Alonso",NA,"Jimenez, FA; Fischer, EA","20077","1988","03","17","Brazil","São Paulo",NA,NA,NA,NA,"UEC023003","UEC023003",NA,NA,"E.E.E. Juréia-Itatins, Estação Ecológica Estadual Jureia - Itatins, beira do Rio Verde. Desembocadura com o mar.","Arbusto com flores esbranquiçadas, ântese noturna,presença de botões e folhas, sem frutos.; Mata Atlântica.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-01 16:26:49-03","UNICAMP","UEC","50947","S","Plantae","Magnoliopsida","Bombacaceae","Pachira","calophylla","Pachira calophylla","(K.Schum.) Fern.Alonso",NA,"Fischer, EA; Jimenez, FA","21045","1989","01","05","Brazil","São Paulo",NA,NA,NA,NA,"UEC023002","UEC023002",NA,NA,"E.E.E. Juréia-Itatins, E.E.E. Jureia.","Duas flores e dois frutos de Bombacopsis. Árvore de porte arbustivo com folhas, flores e frutos.",NA,NA,NA,NA,"2018",NA,NA,NA,NA,NA,NA,NA
"6","2021-03-01 16:26:49-03","UNICAMP","UEC","79567","S","Plantae","Magnoliopsida","Bombacaceae","Pachira","calophylla","Pachira calophylla","(K.Schum.) Fern.Alonso","Carvalho-Sobrinho, JG","Thomaz","761","1993","03","09","Brazil","Espírito Santo","Santa Teresa","-40.6002998352051","-19.9356002807617","23813","UEC029066","UEC029066","auto",NA,"E.B.Santa Lúcia.","Árvore 14m, caule inteiramente amarelado, restos de flores.",NA,NA,NA,NA,"2011","07","27",NA,NA,NA,NA,NA
"7","2021-03-01 16:26:49-03","UNICAMP","UEC","54313","S","Plantae","Magnoliopsida","Bombacaceae","Pachira","calophylla","Pachira calophylla","(K.Schum.) Fern.Alonso",NA,"Gandolfi, S","15640","1983","10","06","Brazil","São Paulo","Valinhos","-46.9900016784668","-22.9699993133545","12075","UEC099273","UEC099273","auto",NA,"Estação Experimental de Valinhos (IF). Alto da cachoeira grande.","Árvore de 12 m de altura. Flores brancas.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2015-09-04 19:05:52-03","MNHN","RECOLNAT_MNHN_P","P06622979","PreservedSpecimen",NA,NA,"Malvaceae","Bombax","calophyllum","Bombax calophyllum","K.Schum.","Carvalho-Sobrinho","Glaziou, A.",NA,"1869","2","23","Brésil",NA,NA,NA,NA,NA,"P06622979","P06622979_01 P06622979_02",NA,NA,"Tijuca","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p06622979' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,"syntype","2935","hb",NA,NA
"9","2020-07-10 09:44:10-03","MBML","MBML-HERBARIO","20472",NA,"Plantae",NA,"Bombacaceae","Pachira","calophylla","Pachira calophylla","(K.Schum.) Fern.Alonso","M.C. Duarte/03-09-2007","R.R. Vervloet; et al","2330","2003","04","29","Brasil","Espírito Santo","Santa Teresa","-40.553056","-19.9075",NA,"MBML020472","MBML020472",NA,NA,"Reserva Biológica Augusto Ruschi - Nova Lombardia","Arvoreto de 7m, frutos imaturos de cor verde oliva. Topo de morro, dossel 10m.","40W33'11","19S54'27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-07-10 09:44:10-03","MBML","MBML-HERBARIO","7284",NA,"Plantae",NA,"Bombacaceae","Pachira","calophylla","Pachira calophylla","(K.Schum.) Fern.Alonso","M.C. Duarte/03-09-2007","L. D. Thomaz","783","1993","05","05","Brasil","Espírito Santo","Santa Teresa","-40.530278","-19.971389",NA,"MBML007284","MBML007284",NA,NA,"Estação Biológica de Santa Lúcia","Altura 11m, PAP 22cm, caule interno branco.","40W31'49","19S58'17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2020-07-10 09:44:10-03","MBML","MBML-HERBARIO","7290",NA,"Plantae",NA,"Bombacaceae","Pachira","calophylla","Pachira calophylla","(K.Schum.) Fern.Alonso","M.C. Duarte/03-09-2007","L. D. Thomaz","1315","1992","12","08","Brasil","Espírito Santo","Santa Teresa","-40.530278","-19.971389",NA,"MBML007290","MBML007290",NA,NA,"Estação Biológica de Santa Lúcia","Altura 14m, PAP 51cm, caule interno amarelado. Estéril.","40W31'49","19S58'17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2020-07-10 09:44:10-03","MBML","MBML-HERBARIO","7291",NA,"Plantae",NA,"Bombacaceae","Pachira","calophylla","Pachira calophylla","(K.Schum.) Fern.Alonso","M.C. Duarte/03-09-2007","L. D. Thomaz","761","1993","03","09","Brasil","Espírito Santo","Santa Teresa","-40.530278","-19.971389",NA,"MBML007291","MBML007291",NA,NA,"Estação Biológica de Santa Lúcia","Árvore 14m, PAP 29cm, caule interno amarelado, restos de flor.","40W31'49","19S58'17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2019-09-04 19:11:11-03","F","FMNH-SEEDPLANTS",NA,"PreservedSpecimen","Plantae","Spermatophyta","Bombacaceae","Bombax","calophyllum","Bombax calophyllum",NA,NA,"A. Glaziou","2935",NA,NA,NA,"Brazil",NA,NA,"-52.8731","-10.8339",NA,NA,NA,NA,"South America",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Type [status unknown]",NA,NA,"Dicotyledoneae",NA
"14","2019-07-02 15:55:50-03","UEM","HUEM","1877","S","Plantae",NA,"Malvaceae","Bombacopsis","calophylla","Bombacopsis calophylla","(K.Schum.) A.Robyns",NA,"Sérgius Gandolfi","s.n.","1983","10","06","Brasil","São Paulo","Valinhos","-46.9900016784668","-22.9699993133545","12075","HUEM000002490","HUEM000002490","auto",NA,"Estação Experimental de Valinhos, Alto da cachoeira grande","Árvore; 12 m de altura; flores brancas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-03-04 15:44:47-03","IF","SPSF","23793","PreservedSpecimen","Plantae","Magnoliophyta","Bombacaceae","Pachira","calophylla","Pachira calophylla","(K.Schum.) Alonso","T.M. Macedo","L.Rossi","1003","1991","12","15","Brasil","SP","Iguape","-47.5499992370605","-24.7000007629395","55628",NA,NA,"auto","América do Sul","Estação Ecológica Juréia-Itatins","COLETA: XLS: SPSFAntigo; GEOGRAFIA: trilha do rio Verde&nf;;",NA,NA,NA,NA,"2014","01","23",NA,NA,NA,"Magnoliopsida","Malvales"
"16","2021-03-04 15:44:47-03","IF","SPSF","23796","PreservedSpecimen","Plantae","Magnoliophyta","Bombacaceae","Pachira","calophylla","Pachira calophylla","(K.Schum.) Alonso","T.M. Macedo","E.A.Anunciaçao","116","1991","12","15","Brasil","SP","Iguape","-47.5499992370605","-24.7000007629395","55628",NA,NA,"auto","América do Sul","Estação Ecológica Juréia-Itatins","COLETA: XLS: SPSFAntigo;",NA,NA,NA,NA,"2014","01","23",NA,NA,NA,"Magnoliopsida","Malvales"
"17","2021-03-04 15:44:47-03","IF","SPSF","44445","PreservedSpecimen","Plantae","Magnoliophyta","Bombacaceae","Pachira","calophylla","Pachira calophylla","(K.Schum.) Alonso","R.Bertoncello","R.Bertoncello & M.Pansonato","565","2007","06","08","Brasil","SP","Ubatuba","-45.0699996948242","-23.4300003051758","34265",NA,NA,"auto","América do Sul","Parque Estadual da Serra do Mar - Núcleo Picinguaba","GEOGRAFIA: Morro do Cuscuzeiro;",NA,NA,"1120","1120","2007","06","08",NA,NA,NA,"Magnoliopsida","Malvales"
"18","2021-03-04 15:44:47-03","IF","SPSF","23794","PreservedSpecimen","Plantae","Magnoliophyta","Bombacaceae","Pachira","calophylla","Pachira calophylla","(K.Schum.) Alonso","T.M. Macedo","I.Cordeiro","1482","1994","12","08","Brasil","SP","Iguape","-47.5499992370605","-24.7000007629395","55628",NA,NA,"auto","América do Sul","Estação Ecológica Juréia-Itatins","COLETA: XLS: SPSFAntigo; GEOGRAFIA: mata de encosta&nf;;",NA,NA,NA,NA,"2014","01","23",NA,NA,NA,"Magnoliopsida","Malvales"
"19","2021-03-04 15:44:47-03","IF","SPSF","23795","PreservedSpecimen","Plantae","Magnoliophyta","Bombacaceae","Pachira","calophylla","Pachira calophylla","(K.Schum.) Alonso","T.M. Macedo","J.Godoy","8","1995","01","12","Brasil","SP","Iguape","-47.5499992370605","-24.7000007629395","55628",NA,NA,"auto","América do Sul","Estação Ecológica Juréia-Itatins","COLETA: XLS: SPSFAntigo;",NA,NA,NA,NA,"2014","01","23",NA,NA,NA,"Magnoliopsida","Malvales"
