"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","occurrenceRemarks","barcode","imagecode","phylum","order","continentOcean","preparationType","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","typeStatus","fieldNumber","individualCount","class"
"1","2021-04-05 14:25:30-03","UNESC","CRI","11446","PreservedSpecimen","Plantae","Melastomataceae","Leandra","itatiaiae","Leandra itatiaiae","(Wawra) Cogn.","R. Goldenberg","2009","06","30","J. Meirelles","250","2009","01","30","Brasil","Santa Catarina","Garuva","Alto Quiriri.","-48.855278","-26.029444","48º51'19''W","26º1'46''S","Campo de Altitude Habito: erva","CRI004193","CRI004193",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","1145630","PreservedSpecimen","Plantae","Melastomataceae","Leandra","itatiaiae","Leandra itatiaiae","(Wawra) Cogn.","R. Goldenberg",NA,NA,NA,"R. Goldenberg","1030","2008","02","16","Brazil","Paraná","Piraquara","Morro do Canal Refúgios Alto Montanos.","-48.982061","-25.514958",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1320705' target='other'> <mi>dwc_moreinfo</mi></a>","NY01145630","NY01145630_01","Magnoliophyta","Myrtales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","02098819","PreservedSpecimen","Plantae","Melastomataceae","Leandra","itatiaiae","Leandra itatiaiae","(Wawra) Cogn.","M. K. Caddah",NA,NA,NA,"M. K. Caddah","455","2009","05","12","Brazil","Rio de Janeiro","Resende","Parque Nacional do Itatiaia, trilha para Pedra Furada","-44.7111","-22.3648",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1305538' target='other'> <mi>dwc_moreinfo</mi></a>","NY02098819","NY02098819_01","Magnoliophyta","Myrtales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","685366","PreservedSpecimen","Plantae","Melastomataceae","Leandra","itatiaiae","Leandra itatiaiae","(Wawra) Cogn.","R. Goldenberg",NA,NA,NA,"R. Goldenberg","801","2005","10","24","Brazil","Paraná","Campina Grande do Sul","Subida para o Pico Paraná","-49.0553","-25.3058",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=894561' target='other'> <mi>dwc_moreinfo</mi></a>","NY00685366","NY00685366_01","Magnoliophyta","Myrtales","South America","sheet","1580","1580",NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","02098920","PreservedSpecimen","Plantae","Melastomataceae","Leandra","itatiaiae","Leandra itatiaiae","(Wawra) Cogn.","M. K. Caddah",NA,NA,NA,"M. K. Caddah","468","2009","06","09","Brazil","Paraná","Piraquara","Morro do Canal.","-48.982061","-25.514958",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2500035' target='other'> <mi>dwc_moreinfo</mi></a>","NY02098920","NY02098920_01","Magnoliophyta","Myrtales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","02098948","PreservedSpecimen","Plantae","Melastomataceae","Leandra","itatiaiae","Leandra itatiaiae","(Wawra) Cogn.","M. Reginato",NA,NA,NA,"F. Almeda","9838","2009","03","16","Brazil","São Paulo","São José do Barreiro","Road from São Jose do Barreiro (SP-221) to the entrance of Parque Nacional Serra da Bocaina between Km 24 and Km 27.","-44.61657","-22.73318",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2500266' target='other'> <mi>dwc_moreinfo</mi></a>","NY02098948","NY02098948_01","Magnoliophyta","Myrtales","South America","sheet","1439","1509",NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","01874458","PreservedSpecimen","Plantae","Melastomataceae","Leandra","itatiaiae","Leandra itatiaiae","(Wawra) Cogn.","M. Reginato",NA,NA,NA,"M. Reginato","1433","2013","02","08","Brazil","São Paulo","São José do Barreiro","P.N. da Bocaina.","-44.684548","-23.029725",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2085244' target='other'> <mi>dwc_moreinfo</mi></a>","NY01874458","NY01874458_01","Magnoliophyta","Myrtales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","02098889","PreservedSpecimen","Plantae","Melastomataceae","Leandra","itatiaiae","Leandra itatiaiae","(Wawra) Cogn.","M. Reginato",NA,NA,NA,"M. Reginato","1230","2011","02","16","Brazil","Paraná","Guaratuba","Morro dos Perdidos","-49.00503","-25.53484",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1568374' target='other'> <mi>dwc_moreinfo</mi></a>","NY02098889","NY02098889_01","Magnoliophyta","Myrtales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-11-13 09:20:16-03","UFRJ","RFA","23120","PreservedSpecimen","Plantae","Melastomataceae","Leandra","itatiaiae","Leandra itatiaiae","(Wawra) Cogn.","J.J. Wurdack","1962",NA,NA,"F. Segadas-Vianna; A.C. Brade (20272)","5048","1950","04",NA,"Brasil","Rio de Janeiro","Resende","Serra do Itatiaia, Base das Agulhas Negras","-44.4467010498047","-22.468900680542",NA,NA,"Arbusto 0,30 m de altura","RFA18875",NA,NA,NA,NA,NA,"2400","2400","36089","auto",NA,NA,NA,NA
"10","2020-11-13 09:20:16-03","UFRJ","RFA","23121","PreservedSpecimen","Plantae","Melastomataceae","Leandra","itatiaiae","Leandra itatiaiae","(Wawra) Cogn.","J. J. Wurdack","1962",NA,NA,"Serra","I - 1136","1953","11",NA,"Brasil","Rio de Janeiro","Resende","Serra do Itatiaia, New Road","-44.4467010498047","-22.468900680542",NA,NA,NA,"RFA18876",NA,NA,NA,NA,NA,"2300","2300","36089","auto",NA,NA,NA,NA
"11","2021-01-14 15:31:36-03","MN","R","10046","PreservedSpecimen","Plantae","Melastomataceae","Leandra","itatiaiae","Leandra itatiaiae","Cogn.",NA,NA,NA,NA,"Glaziou, A.F.M.","5858","1872","07","10","Brasil","Rio de Janeiro","Itatiaia",NA,"-44.5633010864258","-22.4960994720459",NA,NA,"Plantas do Brasil Central","R000010046","R000010046_001",NA,NA,NA,NA,NA,NA,"19648","auto",NA,NA,NA,NA
"12","2021-03-01 16:34:15-03","UNICAMP","UEC","144468","S","Plantae","Melastomataceae","Leandra","itatiaiae","Leandra itatiaiae","(Wawra) Cogn.","Goldenberg, R","2012",NA,NA,"Fritsch, PW; Aranha, JLM; Barbosa, E","1811","2005","10","15","Brazil","Paraná","Piraquara","Along a trail on W slope of Morro Canal. Entrance to the trail is along a road ca. 12 km from BR-277 (the turnoff from BR-277 is ca. 500 m before the Polícia Rodoviária Federal).","-48.987278","-25.514611","-48.987278","-25.514611","Low shrub 25 cm tall. Calyx lobes red; corolla and stamens white. Rare in open low forest on granite slope.; Serra o Mar.","UEC050846","UEC050846","Magnoliopsida",NA,NA,NA,"1147","1147",NA,NA,NA,NA,NA,NA
"13","2019-08-20 10:18:36-03","UNICAMP","UEC","157489","S","Plantae","Melastomataceae","Leandra","itatiaiae","Leandra itatiaiae","(Wawra) Cogn.","Caddah, MK","2009","06",NA,"Caddah, MK; Goldenberg, R","468","2009","06","09","Brazil","Paraná","Piraquara","Morro do Canal.","-49.0633010864258","-25.4416999816895",NA,NA,NA,"UEC013933","UEC013933","Magnoliopsida",NA,NA,NA,NA,NA,"12577","auto",NA,NA,NA,NA
"14","2021-03-01 16:34:15-03","UNICAMP","UEC","152620","S","Plantae","Melastomataceae","Leandra","itatiaiae","Leandra itatiaiae","(Wawra) Cogn.","Caddah, MK","2009","06",NA,"Caddah, MK; Guimarães, PJF","455","2009","05","12","Brazil","Rio de Janeiro","Resende","Parque nacional do Itatiaia, trilha para Pedra Furada.","-44.4467010498047","-22.468900680542",NA,NA,"subarbusto, frutos avermelhados a negros","UEC022490","UEC022490","Magnoliopsida",NA,NA,NA,NA,NA,"36089","auto",NA,NA,NA,NA
"15","2020-12-21 16:34:16-03","MBM","MBM","289614","PreservedSpecimen","Plantae","Melastomataceae","Leandra","itatiaiae","Leandra itatiaiae","(Wawra) Cogn.","Goldenberg, R.; Souza, C.M.F.",NA,NA,NA,"Cordeiro, J.","2108","2003","11","12","Brazil","Paraná","Piraquara","Morro do Canal","-49.0633010864258","-25.4416999816895",NA,NA,NA,"MBM289614","MBM289614",NA,NA,"Southern America",NA,NA,NA,"12577","auto",NA,NA,NA,NA
"16","2020-12-21 16:34:16-03","MBM","MBM","339454","PreservedSpecimen","Plantae","Melastomataceae","Leandra","itatiaiae","Leandra itatiaiae","(Wawra) Cogn.","Goldenberg, R.","2008",NA,NA,"Goldenberg, R.","1030","2008","02","16","Brazil","Paraná","Piraquara","Morro do Canal.","-49.0633010864258","-25.4416999816895",NA,NA,"Arbusto 20cm de alt.; bem no topo do morro. Frutos maduros roxo-enegrecidos","MBM339454","MBM339454",NA,NA,"Southern America",NA,NA,NA,"12577","auto",NA,NA,NA,NA
"17","2016-07-21 15:27:17-03","MNHN","RECOLNAT_MNHN_P","P00117288","PreservedSpecimen",NA,"Melastomataceae","Leandra","itatiaiae","Leandra itatiaiae","Cogn.","Wurdack",NA,NA,NA,"Glaziou, A.",NA,"1872","7","10","Brésil",NA,NA,"Rio de Janeiro: Itatiaia",NA,NA,NA,NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00117288' target='other'> <mi>dwc_moreinfo</mi></a>","P00117288","P00117288_01",NA,NA,NA,"hb",NA,NA,NA,NA,"syntype","5858",NA,NA
"18","2016-07-21 15:27:25-03","MNHN","RECOLNAT_MNHN_P","P00117289","PreservedSpecimen",NA,"Melastomataceae","Leandra","itatiaiae","Leandra itatiaiae","Cogn.","Wurdack",NA,NA,NA,"Glaziou, A.",NA,"1872","7","10","Brésil",NA,NA,"Rio de Janeiro: Itatiaia",NA,NA,NA,NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00117289' target='other'> <mi>dwc_moreinfo</mi></a>","P00117289","P00117289_01",NA,NA,NA,"hb",NA,NA,NA,NA,"syntype","5858",NA,NA
"19","2015-09-04 06:12:05-03","MNHN","RECOLNAT_MNHN_P","P00117290","PreservedSpecimen",NA,"Melastomataceae","Leandra","itatiaiae","Leandra itatiaiae","Cogn.","Wurdack",NA,NA,NA,"Glaziou, A.",NA,"1872","7","10","Brésil",NA,NA,"Rio de Janeiro: Itatiaia",NA,NA,NA,NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00117290' target='other'> <mi>dwc_moreinfo</mi></a>","P00117290","P00117290_01",NA,NA,NA,"hb",NA,NA,NA,NA,"syntype","5858",NA,NA
"20","2021-02-11 17:19:44-03","UFPR","UPCB","64407","PreservedSpecimen","Plantae","Melastomataceae","Leandra","itatiaiae","Leandra itatiaiae","(Wawra) Cogn.","Caddah, M.K.","2009","06",NA,"Caddah, M.K.","451","2009","05","12","Brasil","Rio de Janeiro","Resende","Parque Nacional do Itatiaia, trilha para Pico das Agulhas Negras",NA,"-22.650556",NA,"-22.650556","Subarbusto ca. 20 cm, frutos maduros negros, coleta em sílica..","UPCB0014006","UPCB0014006",NA,NA,NA,NA,"2365","2365",NA,NA,NA,NA,NA,NA
"21","2021-02-11 17:19:44-03","UFPR","UPCB","64410","PreservedSpecimen","Plantae","Melastomataceae","Leandra","itatiaiae","Leandra itatiaiae","(Wawra) Cogn.","Caddah, M.K.","2009","06",NA,"Caddah, M.K.","455","2009","05","12","Brasil","Rio de Janeiro","Resende","Parque Nacional do Itatiaia, trilha para Pedra Furada",NA,"-22.613333",NA,"-22.613333","Subarbusto, frutos avermelhados a negros, coleta em sílica..","UPCB0014009","UPCB0014009",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
