"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","occurrenceRemarks","barcode","geoFlag","phylum","imagecode","verbatimLongitude","verbatimLatitude","class","order","continentOcean","individualCount","typeStatus","fieldNumber","sex","preparationType"
"1","2020-11-04 12:15:40-03","ESALQ","ESA","140539","PreservedSpecimen","Plantae","Orchidaceae","Gomesa","cf. welteri","Gomesa cf. welteri","(Pabst) M.W.Chase & N.H.Williams","Silva-Filho, A.A. & Gibau, A.","2017","04","25","Gibau, A.; Silva-Filho, A.A. ; Brito, T.R.O. ; Santos, P.M.L.A.","174.0","2016","12","13","Brasil","Rio de Janeiro","Paraty","Parque Nacional da Serra da Bocaina - Pedra da Macela -","-44.7131004333496","-23.2178001403809","34470","Terrestre. Pétalas e sépalas amarelo esverdeadas; labelo amarelo; calo marrom claro; coluna com prolongamentos.","ESA140539","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-08-20 10:00:49-03","UNICAMP","UEC","124733","S","Plantae","Orchidaceae","Gomesa","welteri","Gomesa welteri","(Pabst) M.W.Chase & N.H.Williams","Meneguzzo, TEC","2015",NA,NA,"Meireles, LD","833","2001","12","13","Brazil","Minas Gerais","Camanducaia","Monte Verde, Floresta Ombrófila Densa Alto-Montana","-46.1446990966797","-22.7553005218506","22140","Epifita com flores amareladas,verugas amarrozadas,bulbo estriado","UEC038964","auto","Liliopsida","UEC038964",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-07-10 09:48:22-03","MBML","MBML-HERBARIO","23407",NA,"Plantae","Orchidaceae","Gomesa","welteri","Gomesa welteri","(Pabst) M.W.Chase & N.H.Williams","T.E.C. Meneguzzo/2017",NA,NA,NA,"L. Kollmann; et al","7231","2004","11","01","Brasil","Espírito Santo","Castelo","Parque Estadual do Forno Grande","-41.100556","-20.519167",NA,"Epífita na sombra. Tépalas amarelas. Labelo amarelo com calo marrom.","MBML023407",NA,NA,"MBML023407","41W6'2","20S31'9",NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-07-10 09:48:22-03","MBML","MBML-HERBARIO","24095",NA,"Plantae","Orchidaceae","Gomesa","welteri","Gomesa welteri","(Pabst) M.W.Chase & N.H.Williams","T.E.C. Meneguzzo/2017",NA,NA,NA,"A. P. Fontana; et al","1016","2004","11","01","Brasil","Espírito Santo","Castelo","Parque Estadual do Forno Grande","-41.100556","-20.519167",NA,"Beira do córrego, terrestre, flores amarelas.","MBML024095",NA,NA,"MBML024095","41W6'2","20S31'9",NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-09-12 05:00:02-03","US","US","2579788","PreservedSpecimen","Plantae","Orchidaceae","Oncidium","welteri","Oncidium welteri",NA,NA,NA,NA,NA,"O. Handro","305","1952","9","20","Brazil","Minas Gerais",NA,NA,NA,NA,NA,NA,"US00009326",NA,NA,"US00009326_01",NA,NA,"Monocotyledonae","Orchidales","South America - Neotropics","1",NA,NA,NA,NA
"6","2020-09-12 05:00:02-03","US","US","2646707","PreservedSpecimen","Plantae","Orchidaceae","Oncidium","welteri","Oncidium welteri",NA,NA,NA,NA,NA,"O. Handro","305","1952","9","20","Brazil","Minas Gerais",NA,NA,NA,NA,NA,NA,"US00009325",NA,NA,"US00009325_01",NA,NA,"Monocotyledonae","Orchidales","South America - Neotropics","1",NA,NA,NA,NA
"7","2019-01-25 15:43:46-02","IAC","IAC","41814","S","Plantae","Orchidaceae","Oncidium","welteri","Oncidium welteri","Pabst","A.D. Faria","2002","07","22","R.B. Torres; C.A. Pereira & C.D. Pereira","1442","2001","10","22","Brasil","Minas Gerais","Camanducaia","Mata do Odair Paiva de Sá","-46.1447","-22.7553",NA,"UTM(23)= 388130 E, 7486450 N, 1103 m.s.m.",NA,NA,NA,NA,"-46.1447","-22.7553",NA,NA,NA,NA,NA,NA,NA,NA
"8","2019-11-21 10:13:20-03","IBt","SP","329715","S","Plantae","Orchidaceae","Gomesa","welteri","Gomesa welteri","(Pabst) M.W.Chase & N.H.Williams",NA,NA,NA,NA,"Bicalho, HD","s.n.",NA,NA,NA,"Brasil","Minas Gerais","Camanducaia","Bairro do Jaguari de Cima, fazenda Chico Juca","-46.1446990966797","-22.7553005218506","22140",NA,NA,"auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2019-11-21 10:13:20-03","IBt","SP","118324","S","Plantae","Orchidaceae","Gomesa","welteri","Gomesa welteri","(Pabst) M.W.Chase & N.H.Williams","Mamede, MCH","2011","03","19","Bicalho, HD","70",NA,NA,NA,"Brasil","Minas Gerais","Camanducaia","Bairro Jaguari de Cima, Fazenda Juca","-46.1446990966797","-22.7553005218506","22140",NA,NA,"auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2019-11-21 10:13:20-03","IBt","SP","118397","S","Plantae","Orchidaceae","Gomesa","welteri","Gomesa welteri","(Pabst) M.W.Chase & N.H.Williams","Mamede, MCH","2011","03","09","Bicalho, HD","76",NA,NA,NA,"Brasil","Minas Gerais","Camanducaia","Bairro Jaguari de Cima, Fazenda Juca","-46.1446990966797","-22.7553005218506","22140",NA,NA,"auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
