"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","recordedBy","recordNumber","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","year","month","day","dayIdentified","barcode","class","order","verbatimLongitude","verbatimLatitude","occurrenceRemarks","continentOcean","minimumElevationInMeters","maximumElevationInMeters","individualCount","imagecode"
"1","2019-12-04 15:26:31-03","PUCPR","HUCP","17829","S","Plantae","Monocotiledonea","Orchidaceae","Anathallis","adenochila","Anathallis adenochila","(Loefgr.) F. Barros","Santos, MC; Toscano de Brito, A.V.L; Smidt, EC","2017","06","Andrade, P","s.n.","Brasil","Paraná","Colombo","Estância Betania","-49.2242012023926","-25.2917003631592","13536","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-12-04 15:26:31-03","PUCPR","HUCP","19641","S","Plantae","Monocotiledonea","Orchidaceae","Anathallis","adenochila","Anathallis adenochila","(Loefgr.) F. Barros","Santos, MC; Toscano de Brito, A.V.L; Smidt, EC","2017","06","Mascarenhas, G; Bianchi, J","016","Brasil","Paraná","Piraquara",NA,"-49.0633010864258","-25.4416999816895","12577","auto","2008","06","11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-12-04 15:26:31-03","PUCPR","HUCP","21686","S","Plantae","Monocotiledonea","Orchidaceae","Anathallis","adenochila","Anathallis adenochila","(Loefgr.) F. Barros","Santos, MC; Toscano de Brito, A.V.L; Smidt, EC","2017","06","Mascarenhas, A","014","Brasil","Paraná","Piraquara",NA,"-49.0633010864258","-25.4416999816895","12577","auto","2008","06","11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-11-04 12:17:23-03","ESALQ","ESA","38576","PreservedSpecimen","Plantae","Magnoliophyta","Orchidaceae","Anathallis","adenochila","Anathallis adenochila","(Loefgr.) F.Barros","Pessoa, E.","2013","08","Souza, J.P. et al.","964.0","Brasil","São Paulo","Cunha",NA,"-44.9599990844727","-23.0699996948242","38855","auto","1996","12","16","20","ESA038576",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2019-08-27 13:26:31-03","IAP","PACA-AGP","103280","PreservedSpecimen","Plantae","Magnoliophyta","Orchidaceae","Anathallis","adenochila","Anathallis adenochila","(Loefgr.) F. Barros","J. Brustulin","2008","03","J. Brustulin","39","Brasil","RS","Novo Hamburgo","Parque Municipal Henrique Luiz Roessler.","-51.115556","-29.681667",NA,NA,"2007","03","27","18","PACA103280","Liliatae","Orchidales","51°06'56W","29°40'54S","Hábito: epífita",NA,NA,NA,NA,NA
"6","2019-11-14 13:52:04-03","IAP","PACA-AGP","115535","PreservedSpecimen","Plantae","Magnoliophyta","Orchidaceae","Anathallis","adenochila","Anathallis adenochila","(Loefgr.) F. Barros","Graeff, V., Junges, F. & Mottin, I.G.","2014","11","Graeff, V.","13","Brasil","RS","São Leopoldo","Parque Imperatriz Leopoldina","-51.133","-29.760833",NA,NA,"2014","10","25","05","PACA115535","Liliatae","Orchidales","51º07.98'W","29º45.65'S","Habitat: epífito",NA,NA,NA,NA,NA
"7","2019-08-27 13:26:31-03","IAP","PACA-AGP","114628","PreservedSpecimen","Plantae","Magnoliophyta","Orchidaceae","Anathallis","aquinoi","Anathallis aquinoi","(Schltr.) Pridgeon & M. W. Chase","Santos, Toscano & Smidt","2016","03","Dorneles, Maralise B.",NA,"Brasil","RS","Novo Hamburgo","Parque Municipal Henrique Luis Roessler.","-51.1","-29.683333",NA,NA,"2011","03","10",NA,"PACA114628","Liliatae","Orchidales","51°06'W","29°41'S","Habitat: florestal",NA,NA,NA,NA,NA
"8","2019-08-27 13:26:31-03","IAP","PACA-AGP","41830","PreservedSpecimen","Plantae","Magnoliophyta","Orchidaceae","Anathallis","aquinoi","Anathallis aquinoi","(Schltr.) Pridgeon & M. W. Chase","J. L. waechter","2005","05","Rambo, B.",NA,"Brasil","RS","Canoas",NA,"-51.1836013793945","-29.9178009033203","8037","auto","1949","06","03","11","PACA041830","Liliatae","Orchidales",NA,NA,"Habitat: In silvula campestri, epiphytica Fenofase: flor",NA,NA,NA,NA,NA
"9","2019-08-27 13:26:31-03","IAP","PACA-AGP","2707","PreservedSpecimen","Plantae","Magnoliophyta","Orchidaceae","Anathallis","aquinoi","Anathallis aquinoi","(Schltr.) Pridgeon & M. W. Chase","J. L. Waechter","2005","05","C. Orth SJ",NA,"Brasil","RS","Portão",NA,"-51.2419013977051","-29.7017002105713","13735","auto","1936","03","01","11","PACA002707","Liliatae","Orchidales",NA,NA,"Habitat: In silva campestri, epiphytica Fenofase: flor",NA,NA,NA,NA,NA
"10","2019-08-27 13:26:38-03","IAP","PACA-AGP","93595","PreservedSpecimen","Plantae","Magnoliophyta","Orchidaceae","Pleurothallis","aquinoi","Pleurothallis aquinoi","Schltr.","K. Potter",NA,NA,"K. Potter",NA,"Brasil","RS","Barra do Ribeiro","Ponta da Formiga","-51.3011016845703","-30.2910995483398","31686","auto","1984","11","16",NA,"PACA093595","Liliatae","Orchidales",NA,NA,"HEDU 851 Habitat: Epífita dentro de mata Fenofase: flor",NA,NA,NA,NA,NA
