"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","typeStatus","recordedBy","recordNumber","year","continentOcean","country","stateProvince","locality","minimumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","scientificNameAuthorship","maximumElevationInMeters","identifiedBy","month","day","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","class","relatedCatalogItem","fieldNumber","individualCount","infraspecificEpithet","sex"
"1","2016-09-27 07:44:00-03","NY","NYBG","1365085","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Mitropsidium","oblanceolatum","Mitropsidium oblanceolatum","isotype","H. H. Smith","403","1898","South America","Venezuela","Táchira","Santa Marta: 4 miles E. of Bonda","76","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1650537' target='other'> <mi>dwc_moreinfo</mi></a>","NY01365085","NY01365085_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2016-09-27 07:44:00-03","NY","NYBG","1365084","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Mitropsidium","oblanceolatum","Mitropsidium oblanceolatum","isotype","H. H. Smith","403","1898","South America","Venezuela","Táchira","Santa Marta: 4 miles E. of Bonda","76","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1650545' target='other'> <mi>dwc_moreinfo</mi></a>","NY01365084","NY01365084_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","405350","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Mitropsidium","pittieri","Mitropsidium pittieri","isotype","H. F. Pittier","9277",NA,"South America","Venezuela","Miranda","Petare and vicinity, near Caracas","800","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=372195' target='other'> <mi>dwc_moreinfo</mi></a>","NY00405350","NY00405350_01","Burret","800",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","01198097","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Psidium","sartorianum","Psidium sartorianum",NA,"S. C. de Sant'Ana","502","1994","South America","Brazil","Sergipe","Una Biological Reserve: mata de restinga",NA,"sheet","Site: SE <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=623055' target='other'> <mi>dwc_moreinfo</mi></a>","NY01198097","NY01198097_01","(O.Berg) Nied.",NA,"M. L. Kawasaki","06","16","Santa Luzia do Itanhi","-37.4481","-11.3508",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","617050","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Psidium","sartorianum","Psidium sartorianum",NA,"D. C. Daly","8149","1994","South America","Brazil","Acre","Basin of Rio Purus. Rio macaua. Colocação Cachorra Macho. River descending, 3 m. below high water mark",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=376441' target='other'> <mi>dwc_moreinfo</mi></a>","NY00617050","NY00617050_01","(O.Berg) Nied.",NA,"L. R. Landrum","04","02","Sena Madureira","-69.03","-9.67",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","01092742","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Psidium","sartorianum","Psidium sartorianum",NA,"H. da S. Brito","304","1991","South America","Brazil","Bahia","Coleta efetuada ao redor da Universidade Estadual de Feira de Santana.",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1105164' target='other'> <mi>dwc_moreinfo</mi></a>","NY01092742","NY01092742_01","(O.Berg) Nied.",NA,"M. L. Kawasaki","05","29","Feira de Santana","-38.9667","-12.2669",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","617048","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Psidium","sartorianum","Psidium sartorianum",NA,"P. J. M. Maas","7165","1988","South America","Guyana",NA,"Rupununi River; Karanambo",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=376439' target='other'> <mi>dwc_moreinfo</mi></a>","NY00617048",NA,"(O.Berg) Nied.",NA,"L. R. Landrum","09","01",NA,"-59.33","3.75",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","617049","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Psidium","sartorianum","Psidium sartorianum",NA,"R. Guillén","3602","1995","South America","Bolivia","Santa Cruz","Reserva Ecológica EL REFUGIO; al SW del campamento Toledo; sobre el camino de La Plata hacia el deslinde","180","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=376440' target='other'> <mi>dwc_moreinfo</mi></a>","NY00617049",NA,"(O.Berg) Nied.","180","L. R. Landrum","05","12","José Miguel de Velasco","-61.1747","-14.7083",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","866758","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Psidium","sartorianum","Psidium sartorianum",NA,"R. Saraiva","1323","1991","South America","Brazil","Acre","EMBRAPA-UEPAE",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=376438' target='other'> <mi>dwc_moreinfo</mi></a>","NY00866758","NY00866758_01","(O.Berg) Nied.",NA,"L. R. Landrum","07","25","Rio Branco","-67.8097","-9.9747",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","866759","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Psidium","sartorianum","Psidium sartorianum",NA,"D. C. Daly","7194","1991","South America","Brazil","Acre","Rio Acre @ 3 hours by boat downstream from Xapuri and 1 hr walking inland from left bank",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=376437' target='other'> <mi>dwc_moreinfo</mi></a>","NY00866759",NA,"(O.Berg) Nied.",NA,"M. L. Kawasaki","11","06","Xapuri","-68.33","-10.75",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
