"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","continentOcean","country","stateProvince","locality","preparationType","occurrenceRemarks","barcode","imagecode","month","day","county","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","class","dayIdentified","relatedCatalogItem","typeStatus","fieldNumber","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","01131623","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Prestonia","bahiensis","Prestonia bahiensis","Müll.Arg.","R. E. Woodson Jr.","J. E. B. Warming","s.n.","1870","South America","Brazil","Minas Gerais","Brasil, Prov. Minas Geraes","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1277616' target='other'> <mi>dwc_moreinfo</mi></a>","NY01131623","NY01131623_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","01131739","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Prestonia","bahiensis","Prestonia bahiensis","Müll.Arg.","A. J. M. Leeuwenberg","T. S. dos Santos","3469","1979","South America","Brazil","Bahia","8 a 18 km ao S de Maracás, pela antiga Rodovia para Jequié. Folha SD 24 (14-40a)","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1279474' target='other'> <mi>dwc_moreinfo</mi></a>","NY01131739","NY01131739_01","02","15","Maracás","-40.4306","-13.4411","900","1000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","01131677","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Prestonia","bahiensis","Prestonia bahiensis","Müll.Arg.","M. do Rio","H. S. Irwin","20837","1968","South America","Brazil","Minas Gerais","Serra do Espinhaço, at Lapinha, ca. 20km N. of Sêrro on road (MG 2) to Diamantina.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1277975' target='other'> <mi>dwc_moreinfo</mi></a>","NY01131677","NY01131677_01","02","25",NA,"-43.57","-18.55","1200","1200",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","572221","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Prestonia","bahiensis","Prestonia bahiensis","Müll.Arg.","M. F. de Sales","B. L. Stannard","H51643","1992","South America","Brazil","Bahia","Barra","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=209534' target='other'> <mi>dwc_moreinfo</mi></a>","NY00572221","NY00572221_01","02","27","Abaíra","-41.77","-13.3","1040","1040",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","440598","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Prestonia","bahiensis","Prestonia bahiensis","Müll.Arg.","G. Morales L.","A. M. V. de Carvalho","3808","1992","South America","Brazil","Bahia","Ramal a 15 km na estrada Vitória da Conquista à Ilhéus","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=209536' target='other'> <mi>dwc_moreinfo</mi></a>","NY00440598","NY00440598_01","02","19","Vitória da Conquista","-40.8392","-14.8661",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","572220","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Prestonia","bahiensis","Prestonia bahiensis","Müll.Arg.","M. F. de Sales","B. L. Stannard","H51643","1992","South America","Brazil","Bahia","Barra","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=209533' target='other'> <mi>dwc_moreinfo</mi></a>","NY00572220","NY00572220_01","02","27","Abaíra","-41.77","-13.3","1040","1040",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","440586","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Prestonia","bahiensis","Prestonia bahiensis","Müll.Arg.","B. F. Hansen","J. G. Jardim","710","1995","South America","Brazil","Bahia","Entrada a 2 km na Rod. Jacobina/Campim Grosso. Distrito de Itaitú, situado a 20 km da Rodovia","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=209532' target='other'> <mi>dwc_moreinfo</mi></a>","NY00440586","NY00440586_01","10","27","Jacobina","-40.5181","-11.1808",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","440585","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Prestonia","bahiensis","Prestonia bahiensis","Müll.Arg.","A. J. M. Leeuwenberg","M. M. Arbo","7533","1997","South America","Brazil","Bahia","BR-242, 26 km al E de la entrada a Lençóis","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=209529' target='other'> <mi>dwc_moreinfo</mi></a>","NY00440585","NY00440585_01","01","20","Lajedinho","-41.23","-12.48","400","500",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","01131682","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Prestonia","bahiensis","Prestonia bahiensis","Müll.Arg.","M. do Rio","H. S. Irwin","30355","1971","South America","Brazil","Minas Gerais","Serra do Espinhaço, near base of Serra da Piedade, ca. 35 km E. of Belo Horizonte, near BR-31","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1278029' target='other'> <mi>dwc_moreinfo</mi></a>","NY01131682","NY01131682_01","01","14",NA,"-43.676328","-19.820266","1600","1600",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","1146835","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Prestonia","bahiensis","Prestonia bahiensis","Müll.Arg.","A. J. M. Leeuwenberg","T. S. dos Santos","3469","1979","South America","Brazil","Bahia","8 a 18 km ao S de Maracás, pela antiga Rodovia para Jequié. Folha SD 24 (14-40a)","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1368917' target='other'> <mi>dwc_moreinfo</mi></a>","NY01146835","NY01146835_01","02","15","Maracás","-40.4306","-13.4411","900","1000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
