"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","barcode","imagecode","recordNumber","continentOcean","preparationType","previousCatalogNumber","occurrenceRemarks","phylum","order","infraspecificEpithet","coordinatePrecision","geoFlag","typeStatus","class","relatedCatalogItem","relationshipType","individualCount","fieldNumber"
"1","2021-04-05 14:33:25-03","UNESC","CRI","8668","PreservedSpecimen","Plantae","Cyperaceae","Pycreus","lanceolatus","Pycreus lanceolatus","(Poir.) C.B.Clarke","R. Trevisan","2010","10","27","Polliana Zocche","2007","12","12","Brasil","Santa Catarina","Siderópolis","Mina do Trevo.","-49.424722","-28.598333","49º25'29''W","28º35'54''S","111","111","CRI002198","CRI002198",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:38:32-03","E","E","151947","PreservedSpecimen","Plantae","Cyperaceae","Cyperus","flavescens","Cyperus flavescens",NA,NA,NA,NA,NA,"Bang, A. Miguel",NA,NA,NA,"BO",NA,NA,NA,NA,NA,NA,NA,NA,NA,"E00151947",NA,"2922","W. Tropical South America","herbarium specimen of unspecif","BGBASE:159997","<a href=http://data.rbge.org.uk/herb/E00151947 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-09-23 10:38:32-03","E","E","151988","PreservedSpecimen","Plantae","Cyperaceae","Cyperus","lanceolatus","Cyperus lanceolatus",NA,NA,NA,NA,NA,"Dusen, P.","1910","02","23","BR",NA,NA,NA,NA,NA,NA,NA,NA,NA,"E00151988",NA,"9464","E. Tropical South America","herbarium specimen of unspecif","BGBASE:160240","<a href=http://data.rbge.org.uk/herb/E00151988 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-09-23 10:38:32-03","E","E","151987","PreservedSpecimen","Plantae","Cyperaceae","Cyperus","lanceolatus","Cyperus lanceolatus",NA,NA,NA,NA,NA,"Sellow, F.",NA,NA,NA,"BR",NA,NA,NA,NA,NA,NA,NA,NA,NA,"E00151987",NA,NA,"E. Tropical South America","herbarium specimen of unspecif","BGBASE:160241","<a href=http://data.rbge.org.uk/herb/E00151987 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-09-23 10:38:32-03","E","E","151989","PreservedSpecimen","Plantae","Cyperaceae","Cyperus","lanceolatus","Cyperus lanceolatus",NA,NA,NA,NA,NA,"Gardner, George","1905","01","11","BR",NA,NA,NA,NA,NA,NA,NA,NA,NA,"E00151989",NA,"714","E. Tropical South America","herbarium specimen of unspecif","BGBASE:160239","<a href=http://data.rbge.org.uk/herb/E00151989 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-09-23 10:38:32-03","E","E","151990","PreservedSpecimen","Plantae","Cyperaceae","Cyperus","lanceolatus","Cyperus lanceolatus",NA,NA,NA,NA,NA,"Reineck, E.M. & Czermak, J.",NA,NA,NA,"BR",NA,NA,NA,NA,NA,NA,NA,NA,NA,"E00151990",NA,"452","E. Tropical South America","herbarium specimen of unspecif","BGBASE:160238","<a href=http://data.rbge.org.uk/herb/E00151990 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-09-23 10:38:32-03","E","E","151985","PreservedSpecimen","Plantae","Cyperaceae","Cyperus","lanceolatus","Cyperus lanceolatus",NA,NA,NA,NA,NA,"Saltzmann","1905","01","04","BR",NA,NA,NA,NA,NA,NA,NA,NA,NA,"E00151985",NA,NA,"E. Tropical South America","herbarium specimen of unspecif","BGBASE:160243","<a href=http://data.rbge.org.uk/herb/E00151985 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-09-23 10:38:32-03","E","E","151986","PreservedSpecimen","Plantae","Cyperaceae","Cyperus","lanceolatus","Cyperus lanceolatus",NA,NA,NA,NA,NA,"Morong, Thomas",NA,NA,NA,"PY",NA,NA,NA,NA,NA,NA,NA,NA,NA,"E00151986",NA,"569","E. Tropical South America","herbarium specimen of unspecif","BGBASE:160242","<a href=http://data.rbge.org.uk/herb/E00151986 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-09-23 10:38:39-03","E","E","151991","PreservedSpecimen","Plantae","Cyperaceae","Pycreus","propinquus","Pycreus propinquus",NA,NA,NA,NA,NA,"Harley, R.M.","1977","03","25","BR",NA,NA,NA,NA,NA,NA,NA,NA,NA,"E00151991",NA,"19984","E. Tropical South America","herbarium specimen of unspecif","BGBASE:160237","<a href=http://data.rbge.org.uk/herb/E00151991 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-09-23 10:38:39-03","E","E","151992","PreservedSpecimen","Plantae","Cyperaceae","Pycreus","propinquus","Pycreus propinquus",NA,NA,NA,NA,NA,"Harley, R.M.","1974","01","25","BR",NA,NA,NA,NA,NA,NA,NA,NA,NA,"E00151992",NA,"15510","E. Tropical South America","herbarium specimen of unspecif","BGBASE:160236","<a href=http://data.rbge.org.uk/herb/E00151992 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","668427","PreservedSpecimen","Plantae","Cyperaceae","Cyperus","flavescens","Cyperus flavescens","L.","G. C. Tucker",NA,NA,NA,"B. Bruderreck","1988","04","10","Bolivia","Santa Cruz","José Miguel de Velasco","San Ignacio 26 km hacia SE, comunidad 'Paraiso', pampa pequeña con muchos arbustos, humeda.",NA,NA,NA,NA,"400","400","NY00668427",NA,"292","South America","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=719937' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Poales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","01174597","PreservedSpecimen","Plantae","Cyperaceae","Cyperus","flavescens","Cyperus flavescens","L.","H. T. O'Neill",NA,NA,NA,"A. Goeldi","1913",NA,NA,"Brazil","Pará",NA,NA,NA,NA,NA,NA,NA,NA,"NY01174597","NY01174597_01","s.n.","South America","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1396052' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Poales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","622560","PreservedSpecimen","Plantae","Cyperaceae","Cyperus","flavescens","Cyperus flavescens","L.","H. T. O'Neill",NA,NA,NA,"H. Luederwaldt","1910","11",NA,"Brazil","São Paulo",NA,"Alto da Serra, S. Paulo.",NA,NA,NA,NA,NA,NA,"NY00622560","NY00622560_01","9361","South America","sheet",NA,"Ex.Herv.do Museu Paulista n°1704. <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=719940' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Poales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2016-10-19 09:35:00-02","NY","NYBG","668428","PreservedSpecimen","Plantae","Cyperaceae","Cyperus","flavescens","Cyperus flavescens",NA,"G. Davidse",NA,NA,NA,"G. Davidse","1981","12","01","Venezuela","Anzoátegui",NA,"Distrito Freites: Burro trail between San Durrial and Los Pajaritos, 30 airline km ENE of Bergantín and N of Mundo Nuevo.",NA,NA,NA,NA,"1200","1400","NY00668428",NA,"19818","South America","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=719934' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Poales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-03-15 16:37:00-03","NY","NYBG","00919002","PreservedSpecimen","Plantae","Cyperaceae","Cyperus","flavescens","Cyperus flavescens","L.","G. C. Tucker",NA,NA,NA,"G. G. Hatschbach","1973","02","04","Brazil","Minas Gerais","Três Corações","Rod. 3 Corações - S. Tomé das Letras.","-45.2531","-21.6969",NA,NA,NA,NA,"NY00919002","NY00919002_01","31226","South America","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=995155' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Poales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-03-15 16:37:00-03","NY","NYBG","00919004","PreservedSpecimen","Plantae","Cyperaceae","Cyperus","flavescens","Cyperus flavescens","L.","G. C. Tucker",NA,NA,NA,"W. R. Anderson","1973","04","30","Brazil","Goiás","Caiapônia","Serra do Caiapó, ca. 12 km (straight line) S of Caiapônia.","-51.81666667","-17.0566",NA,NA,"860","860","NY00919004","NY00919004_01","9523","South America","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=995157' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Poales",NA,NA,NA,NA,NA,NA,NA,NA,NA
