"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","identifiedBy","recordNumber","stateProvince","county","locality","decimalLongitude","decimalLatitude","imagecode","minimumElevationInMeters","maximumElevationInMeters","typeStatus","infraspecificEpithet","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","class","relatedCatalogItem","fieldNumber","individualCount"
"1","2020-09-23 10:44:29-03","E","E","66347","PreservedSpecimen","Plantae","Vochysiaceae","Vochysia","tucanorum","Vochysia tucanorum","Ratter, J.A.; Filho, J. Fonsêca; Bridgewater, S. & Farias, R.","1998","11","20","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:86773","<a href=http://data.rbge.org.uk/herb/E00066347 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00066347",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:44:29-03","E","E","66337","PreservedSpecimen","Plantae","Vochysiaceae","Vochysia","tucanorum","Vochysia tucanorum","Ratter, J.A.; Filho, J. Fonsêca; Bridgewater, S. & Farias, R.","1998","11","16","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:86772","<a href=http://data.rbge.org.uk/herb/E00066337 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00066337",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","00941041","PreservedSpecimen","Plantae","Vochysiaceae","Vochysia","tucanorum","Vochysia tucanorum","J. A. Rizzo","1968","09","02","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=934435' target='other'> <mi>dwc_moreinfo</mi></a>","NY00941041","Magnoliophyta","Myrtales","Mart.","M. L. Kawasaki","2032","Goiás","Goiânia","Morro do Mendanha, nas proximidades da estrada p.Trinidade","-49.2539","-16.6786","NY00941041_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","424395","PreservedSpecimen","Plantae","Vochysiaceae","Vochysia","tucanorum","Vochysia tucanorum","Matriz","1982","01","13","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=668249' target='other'> <mi>dwc_moreinfo</mi></a>","NY00424395","Magnoliophyta","Myrtales","Mart.","M. L. Kawasaki","7","Espírito Santo","Linhares","Reserva Florestal da CVRD. Est. Guapuruvú, ant. 131-A, km 1,032, lado direito","-40.0719","-19.3911","NY00424395_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","822719","PreservedSpecimen","Plantae","Vochysiaceae","Vochysia","tucanorum","Vochysia tucanorum","R. Negrelle","1986","12","31","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=920652' target='other'> <mi>dwc_moreinfo</mi></a>","NY00822719","Magnoliophyta","Myrtales","Mart.","R. Negrelle","168","Paraná",NA,"Rod., Sengés, aprox. 2.5 km de Sengés prox. a Jaguariaíva, Paraná.","-49.68","-24.23","NY00822719_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","424365","PreservedSpecimen","Plantae","Vochysiaceae","Vochysia","tucanorum","Vochysia tucanorum","F. C. Hoehne","1932","01","08","South America","Brazil","sheet",NA,"sheet 2 <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=668268' target='other'> <mi>dwc_moreinfo</mi></a>","NY00424365","Magnoliophyta","Myrtales","Mart.","F. C. Hoehne","28286","São Paulo",NA,NA,NA,NA,"NY00424365_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","00940483","PreservedSpecimen","Plantae","Vochysiaceae","Vochysia","tucanorum","Vochysia tucanorum","M. C. Vianna","1979","11","22","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=937284' target='other'> <mi>dwc_moreinfo</mi></a>","NY00940483","Magnoliophyta","Myrtales","Mart.","M. C. Vianna","1435","Minas Gerais","Tiradentes","Estrada para casa de Pedra.","-44.1781","-21.1106","NY00940483_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","02042852","PreservedSpecimen","Plantae","Vochysiaceae","Vochysia","tucanorum","Vochysia tucanorum","M. S. Menandro","1986","05","20","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2184473' target='other'> <mi>dwc_moreinfo</mi></a>","NY02042852","Magnoliophyta","Myrtales","Mart.",NA,"87","Minas Gerais","Serra Azul de Minas","Fazenda Gurita.","-43.1697","-18.3619","NY02042852_01","900","900",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","00940993","PreservedSpecimen","Plantae","Vochysiaceae","Vochysia","tucanorum","Vochysia tucanorum","J. Bowie","1814",NA,NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=933266' target='other'> <mi>dwc_moreinfo</mi></a>","NY00940993","Magnoliophyta","Myrtales","Mart.","F. A. Stafleu","s.n.",NA,NA,NA,NA,NA,"NY00940993_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","424391","PreservedSpecimen","Plantae","Vochysiaceae","Vochysia","tucanorum","Vochysia tucanorum","R. M. Harley","1974","01","23","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=668263' target='other'> <mi>dwc_moreinfo</mi></a>","NY00424391","Magnoliophyta","Myrtales","Mart.","C. Grey-Wilson","15454","Bahia",NA,"Serra do Rio de Contas. Upper caldeira on slopes of the Pico das Almas, ca. 25 km W.N.W. of the town of Rio de Contas","-41.92","-13.53","NY00424391_01","1600","1600",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
