"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","class","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","occurrenceRemarks","barcode","geoFlag","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","continentOcean","imagecode","fieldNumber","sex","preparationType"
"1","2019-08-27 13:26:38-03","IAP","PACA-AGP","48249","PreservedSpecimen","Plantae","Magnoliophyta","Liliatae","Orchidales","Orchidaceae","Octomeria","hatschbachii","Octomeria hatschbachii","Schltr.","G. Pabst","1954","09","04","Hatschbach, G.","971","1948","05","01","Brasil","PR","Campo Largo","Purunã","-49.5283012390137","-25.4585990905762","53742","Confirmado por W. Forster em 02.2013. Habitat: In silvula campestri, epiphytica Fenofase: flor","PACA048249","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-08-16 08:40:26-03","UTFPR","HCF","8376","S","Plantae",NA,NA,NA,"Orchidaceae","Octomeria","hatschbachii","Octomeria hatschbachii","Schltr.","J. Cordeiro","2011",NA,NA,"M.G. Caxambu","2846","2009","10","18","Brasil","PR","Turvo","arredores","-51.525694","-25.039528",NA,"erva epífita, a cerca de 2 m do solo. Flores amarelas.",NA,NA,"51°31'32,5 W","25°02'22,3 S","1029","1029",NA,NA,NA,NA,NA
"3","2019-08-16 08:40:26-03","UTFPR","HCF","8598","S","Plantae",NA,NA,NA,"Orchidaceae","Octomeria","hatschbachii","Octomeria hatschbachii","Schltr.","M.G. Caxambu","2011","11","21","H.C.L. Geraldino","509","2010","03","13","Brasil","PR","Turvo","arredores","-51.524444","-25.036306",NA,"erva epífita, a cerca de 2 m do solo. Folhas carnosas cilindricas. Flores amarelas.",NA,NA,"51°31'28 W","25°02'10,7 S","1030","1030",NA,NA,NA,NA,NA
"4","2020-12-21 16:38:39-03","MBM","MBM","414480","PreservedSpecimen","Plantae",NA,NA,NA,"Orchidaceae","Octomeria","hatschbachii","Octomeria hatschbachii","Schltr.","Engels, M.E.","2018","01","09","Silva, J.M.; Noguchi, G.; Sayden, D.; Noguchi, G.; Sayden, D.","9952","2017","12","01","Brazil","Paraná","Castro","PCH Rio Iapó, Fazenda do Pulo","-50.142222","-24.716111",NA,"Erva epífita; flor creme.; Floresta Ombrófila Mista Aluvial.","MBM414480",NA,"-50.142222","-24.716111","975","975","Southern America","MBM414480",NA,NA,NA
"5","2020-12-21 16:38:39-03","MBM","MBM","12757","PreservedSpecimen","Plantae",NA,NA,NA,"Orchidaceae","Octomeria","hatschbachii","Octomeria hatschbachii","Schltr.","Pabst, G.",NA,NA,NA,"Hatschbach, G.","22305","1969","10","01","Brazil","Paraná","Lapa","Rio Passa Dois","-49.7158012390137","-25.7696990966797","49965",NA,"MBM012757","auto",NA,NA,NA,NA,"Southern America",NA,NA,NA,NA
"6","2020-12-21 16:38:39-03","MBM","MBM","50020","PreservedSpecimen","Plantae",NA,NA,NA,"Orchidaceae","Octomeria","hatschbachii","Octomeria hatschbachii","Schltr.",NA,NA,NA,NA,"Hatschbach, G.","15561","1966","12","27","Brazil","Paraná","Campina Grande do Sul","Sítio do Belizário","-49.0553016662598","-25.3055992126465","55154",NA,"MBM050020","auto",NA,NA,NA,NA,"Southern America",NA,NA,NA,NA
"7","2020-12-21 16:38:39-03","MBM","MBM","390800","PreservedSpecimen","Plantae",NA,NA,NA,"Orchidaceae","Octomeria","hatschbachii","Octomeria hatschbachii","Schltr.","Ariati, V.","2014","05",NA,"Ariati, V.; Felitto, G.; Bianchin, J.E.; Czelusniak, B.H.; Dutra, M.M.; Felitto, G.; Bianchin, J.E.; Czelusniak, B.H.; Dutra, M.M.","989","2014","03",NA,"Brazil","Rio Grande do Sul","São José dos Ausentes","Faxinal Preto","-50.0657997131348","-28.7483005523682","42598","Epífita, flor alva com listras vinho e o ápice das peças florais amarelo.; Floresta Ombrófila Mista.","MBM390800","auto",NA,NA,NA,NA,"Southern America",NA,NA,NA,NA
"8","2021-01-09 21:48:44-03","UNICENTRO","HUCO","7347","S","Plantae",NA,NA,NA,"Orchidaceae","Octomeria","hatschbachii","Octomeria hatschbachii","Schltr.","Ruiz, E.","2016",NA,NA,"Ruiz, E.","s.n.","2016","09",NA,"Brasil","Paraná","Irati","Assungui","-50.6511001586914","-25.4671993255615","47271","Dissertação mestrado; Epifita, com flor; Floresta Ombrófila Mista; HABITAT: Floresta Ombrófila Mista; DESC: Epifita, com flor",NA,"auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-04 11:06:02-03","UFRB","HURB","7677","PreservedSpecimen","Plantae",NA,NA,NA,"Orchidaceae","Octomeria","hatschbachii","Octomeria hatschbachii","Schltr.","D.N.Carvalho","2015","05",NA,"Aona, L.Y.S.; Fonseca, W.O.; Costa, I.R.; Lucas, E. & Haigh, A.L.","3461","2013","11","26","Brasil","Bahia","Wenceslau Guimarães","Estação ecológica; Trilha da fazenda três praças para a Estação Ecológica","-39.711389","-13.578889",NA,NA,"HURB000007677",NA,"39º42'41W","13º34'44S",NA,NA,NA,NA,NA,NA,NA
"10","2020-11-04 17:30:12-03","UEM","HUEM","31563","S","Plantae",NA,NA,NA,"Orchidaceae","Octomeria","hatschbachii","Octomeria hatschbachii","Schltr.","Costa, AC","2016","03",NA,"Costa, AC","34","2016","03","25","Brasil","Paraná","Pinhão","Distrito de Faxinal do Céu.","-51.6596984863281","-25.6956005096436","37408","Epífita. Flores amarelas com nervuras escuras.","HUEM000016514","auto",NA,NA,NA,NA,NA,"HUEM000016514",NA,NA,NA
"11","2020-11-04 17:30:12-03","UEM","HUEM","31544","S","Plantae",NA,NA,NA,"Orchidaceae","Octomeria","hatschbachii","Octomeria hatschbachii","Schltr.","Costa, AC","2015","05",NA,"Costa, AC","13","2015","05","01","Brasil","Paraná","Pinhão","Distrito de Faxinal do Céu.","-51.6596984863281","-25.6956005096436","37408","Epífita. Flores amarelas com nervuras escuras.","HUEM000016414","auto",NA,NA,NA,NA,NA,"HUEM000016414",NA,NA,NA
"12","2020-11-04 17:30:12-03","UEM","HUEM","29748","S","Plantae",NA,NA,NA,"Orchidaceae","Octomeria","hatschbachii","Octomeria hatschbachii","Schltr.","Milaneze-Gutierre, MA","2017","03","14","Costa, AC","s.n.","2015","08","09","Brasil","Paraná","Pinhão","Faxinal do Céu","-51.6596984863281","-25.6956005096436","37408","Forófito: Mimosa scabrella; 2m de alt. acima do solo; exposta ao sol; flores de coloração amarela com nervuras rubras.","HUEM000016500","auto",NA,NA,NA,NA,NA,"HUEM000016500",NA,NA,NA
"13","2019-11-21 10:13:37-03","IBt","SP","40071","S","Plantae",NA,NA,NA,"Orchidaceae","Octomeria","hatschbachii","Octomeria hatschbachii","Schltr.","Gehrt, A",NA,NA,NA,"Kuhlmann, M; Gehrt, A","s.n.","1939","03","17","Brasil","Minas Gerais","Itajubá","Serra da Mantiqueira, Estrada para Itajubá, Serraria da Serra","-45.4528007507324","-22.4256000518799","19946",NA,NA,"auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2019-11-21 10:13:37-03","IBt","SP","54037","S","Plantae",NA,NA,NA,"Orchidaceae","Octomeria","hatschbachii","Octomeria hatschbachii","Schltr.","Handro, O","1966","05",NA,"Kuhlmann, M","s.n.","1945","02","26","Brasil","São Paulo","Campos do Jordão",NA,"-45.5900001525879","-22.7299995422363","21048",NA,NA,"auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2020-04-02 15:54:24-03","AMES","HU-HERB","AMES 02173827","PreservedSpecimen","Plantae",NA,NA,NA,"Orchidaceae","Octomeria","hatschbachii","Octomeria hatschbachii","Schlechter",NA,NA,NA,NA,"P. K. H. Dusén","674","1909","10","25","Brazil","Paraná",NA,"[no additional data]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"South America",NA,"674","undetermined","Sheet"
"16","2020-04-02 15:53:00-03","AMES","HU-HERB","AMES 02173829","PreservedSpecimen","Plantae",NA,NA,NA,"Orchidaceae","Octomeria","hatschbachii","Octomeria hatschbachii","Schlechter",NA,NA,NA,NA,"[data not captured]","23084","1928","10","19","Brazil","Paraná",NA,"Curityba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"South America",NA,"23084","undetermined","Sheet"
"17","2020-04-02 15:53:53-03","GH","HU-HERB","GH 02173828","PreservedSpecimen","Plantae",NA,NA,NA,"Orchidaceae","Octomeria","hatschbachii","Octomeria hatschbachii","Schlechter",NA,NA,NA,NA,"J. Ferreira","1710","1929","1","6","Brazil","Rio de Janeiro",NA,"Vicinity of Macieiras, Mt. Itatiaya, Estação Biologica.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"South America",NA,"1710","undetermined","Sheet"
