"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","identifiedBy","locality","imagecode","stateProvince","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","county","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","class","relatedCatalogItem","fieldNumber","typeStatus","individualCount","sex"
"1","2020-09-23 10:40:56-03","E","E","315762","PreservedSpecimen","Plantae","Lentibulariaceae","Utricularia","neottioides","Utricularia neottioides","Harley, Raymond M.","19515","1977","02","17","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:319545","<a href=http://data.rbge.org.uk/herb/E00315762 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00315762",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:40:56-03","E","E","312792","PreservedSpecimen","Plantae","Lentibulariaceae","Utricularia","neottioides","Utricularia neottioides","Stannard, B.; Silva, T.","52826","1992","03","24","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:314820","<a href=http://data.rbge.org.uk/herb/E00312792 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00312792",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","1032810","PreservedSpecimen","Plantae","Lentibulariaceae","Utricularia","neottioides","Utricularia neottioides","L. Riedel","s.n.",NA,NA,NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1206682' target='other'> <mi>dwc_moreinfo</mi></a>","NY01032810","Magnoliophyta","Lamiales","A.St.-Hil. & Girard","P. C. Baleeiro S.","Chapada","NY01032810_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","00778376","PreservedSpecimen","Plantae","Lentibulariaceae","Utricularia","neottioides","Utricularia neottioides","G. T. Prance","29069","1984","02","14","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=793346' target='other'> <mi>dwc_moreinfo</mi></a>","NY00778376","Magnoliophyta","Lamiales","A.St.-Hil. & Girard","P. G. Taylor","Plateau of northern massif of Serra Aracá. Southern extremity of Northen Plateau of Serra Aracá","NY00778376_01","Amazonas","-63.358","0.9","1200","1200",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","3857617","PreservedSpecimen","Plantae","Lentibulariaceae","Utricularia","neottioides","Utricularia neottioides","O. Huber","2181","1978","08","04","South America","Venezuela","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4135086' target='other'> <mi>dwc_moreinfo</mi></a>","NY03857617","Magnoliophyta","Lamiales","A.St.-Hil. & Girard",NA,"± 8-10 km al S de Pto. Ayacucho",NA,"Amazonas","-67.58","5.55","70",NA,"Atures",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","929780","PreservedSpecimen","Plantae","Lentibulariaceae","Utricularia","neottioides","Utricularia neottioides","H. S. Irwin","19323","1968","01","27","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=997745' target='other'> <mi>dwc_moreinfo</mi></a>","NY00929780","Magnoliophyta","Lamiales","A.St.-Hil. & Girard","P. G. Taylor","20 km N.W. of Corumbá de Goiás, near Pico dos Pirineus. Serra dos Pirineus.","NY00929780_01","Goiás","-48.95","-15.88","1250","1250","Cocalzinho de Goiás",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","3857622","PreservedSpecimen","Plantae","Lentibulariaceae","Utricularia","neottioides","Utricularia neottioides","T. M. Koyama","7527","1967","03","06","South America","Venezuela","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4135091' target='other'> <mi>dwc_moreinfo</mi></a>","NY03857622","Magnoliophyta","Lamiales","A.St.-Hil. & Girard",NA,"Uaipan-tepui, upstream of Rio Pulpul, above Salto Pulpul, plateau at south of the peaks of Uaipan",NA,"Bolívar",NA,NA,"1200",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","778375","PreservedSpecimen","Plantae","Lentibulariaceae","Utricularia","neottioides","Utricularia neottioides","R. L. Liesner","21995","1987","10","16","South America","Venezuela","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=793338' target='other'> <mi>dwc_moreinfo</mi></a>","NY00778375","Magnoliophyta","Lamiales","A.St.-Hil. & Girard","P. G. Taylor","Cerro Aracamuni, summit. Popa camp",NA,"Amazonas","-65.78","1.43","1550","1550","Mun. Río Negro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","3857625","PreservedSpecimen","Plantae","Lentibulariaceae","Utricularia","neottioides","Utricularia neottioides","N. Ritter","3622","1996","08","16","South America","Bolivia","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4135094' target='other'> <mi>dwc_moreinfo</mi></a>","NY03857625","Magnoliophyta","Lamiales","A.St.-Hil. & Girard",NA,"Parque Nacional Noel Kempff Mercado. La Meseta; east of Los Fierros",NA,"Santa Cruz",NA,NA,"760",NA,"José Miguel de Velasco",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","929784","PreservedSpecimen","Plantae","Lentibulariaceae","Utricularia","neottioides","Utricularia neottioides","H. S. Irwin","25626","1970","01","29","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=997753' target='other'> <mi>dwc_moreinfo</mi></a>","NY00929784","Magnoliophyta","Lamiales","A.St.-Hil. & Girard","P. G. Taylor","Morro da Pedras, ca. 35 km N.E. of Patrocínio","NY00929784_01","Minas Gerais","-43.2485756","-19.9480039","1000","1000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
