"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","recordedBy","recordNumber","country","stateProvince","individualCount","occurrenceRemarks","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","year","month","day","continentOcean","preparationType","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","dayIdentified","verbatimLongitude","verbatimLatitude","class","typeStatus","relatedCatalogItem","infraspecificEpithet"
"1","2019-06-10 10:10:47-03","FZB-BH","CVJBFZB","628","S","Plantae","Magnoliophyta","Poales","Bromeliaceae","Portea","alatisepala","Portea alatisepala","Philcox","Elton. C. M. Leme","2011","08","Luiz Felipe Nevares de Carvalho;","Carvalho1574","Brasil","Bahia","1","254",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-06-10 10:10:47-03","FZB-BH","CVJBFZB","666","S","Plantae","Magnoliophyta","Poales","Bromeliaceae","Portea","alatisepala","Portea alatisepala","Philcox","Elton. C. M. Leme","2011","08","Pedro Lima;",NA,"Brasil","Bahia","1","254","Ituberá","Fazenda Michilin","-39.1492004394531","-13.7321996688843","22399","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","376882","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Bromeliaceae","Portea","alatisepala","Portea alatisepala","Philcox","J. Nunes",NA,NA,"R. P. Belém","3690","Brazil","Bahia",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=207941' target='other'> <mi>dwc_moreinfo</mi></a>","Una","Margem do Rio Una","-39.1952276","-15.2599041",NA,NA,"1968","06","07","South America","sheet","NY00376882","NY00376882_01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","00895818","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Bromeliaceae","Portea","alatisepala","Portea alatisepala","Philcox","H. E. Luther",NA,NA,"A. M. Amorim","475","Brazil","Bahia",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=14326' target='other'> <mi>dwc_moreinfo</mi></a>","Itacaré","Ramal a esquerda na estrada Ubaitaba/Itacaré, 4 km do loteamento de Marambaia","-38.9967","-14.2778",NA,NA,"1991","11","20","South America","sheet","NY00895818","NY00895818_01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","01112607","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Bromeliaceae","Portea","alatisepala","Portea alatisepala","Philcox","H. E. Luther",NA,NA,"W. W. Thomas","13498","Brazil","Bahia",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=608690' target='other'> <mi>dwc_moreinfo</mi></a>","Itororó","Fazenda Santa Ana, 14.4 km SW of Itaju do Colônia on road to Rio do Meio, then 2.7 km to edge of forest.","-39.8325","-15.1503",NA,NA,"2003","07","24","South America",NA,"NY01112607","NY01112607_01","200","200",NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","95157","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Bromeliaceae","Portea","alatisepala","Portea alatisepala","Philcox","J. Nunes",NA,NA,"W. W. Thomas","10948","Brazil","Bahia",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=207942' target='other'> <mi>dwc_moreinfo</mi></a>","Ilhéus","7.3 km SW of Olivença on road to Vila Brasil","-39.0408","-14.9839",NA,NA,"1995","05","21","South America","sheet","NY00095157","NY00095157_01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","376883","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Bromeliaceae","Portea","alatisepala","Portea alatisepala","Philcox","J. Nunes",NA,NA,"S. A. Mori","10922","Brazil","Bahia",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=207940' target='other'> <mi>dwc_moreinfo</mi></a>","Santa Cruz Cabrália","2-4 km a W de Sta. Cruz de Cabrália, pela estrada antiga. Folha SE-24 (16-39c)","-39.0440986","-16.2986237",NA,NA,"1978","10","21","South America","sheet","NY00376883","NY00376883_01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","95158","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Bromeliaceae","Portea","alatisepala","Portea alatisepala","Philcox","J. Nunes",NA,NA,"W. W. Thomas","10948","Brazil","Bahia",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=207943' target='other'> <mi>dwc_moreinfo</mi></a>","Ilhéus","7.3 km SW of Olivença on road to Vila Brasil","-39.0408","-14.9839",NA,NA,"1995","05","21","South America","sheet","NY00095158","NY00095158_01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","376884","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Bromeliaceae","Portea","alatisepala","Portea alatisepala","Philcox","J. Nunes",NA,NA,"S. A. Mori","13688","Brazil","Bahia",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=167127' target='other'> <mi>dwc_moreinfo</mi></a>","Ilhéus","Road from Olivença to Una, 18 km S of Olivença","-39.0017867","-15.1062976",NA,NA,"1981","04","21","South America","sheet","NY00376884","NY00376884_01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-06-29 11:29:40-03","UFRJ","RFA","28161","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Portea","alatisepala","Portea alatisepala","Philcox","L. O. F. de Sousa; L. M. Versieux","2003","05","T. Wendt; G. K. Brown; J. L. da Paixão","466","Brasil","Bahia",NA,"Terrestre, formando densa população, em local que aparenta inundar de vez em quando. Na mesma população tinha inflorescências de cor rosa forte, e outras de cor rosa pálido quase brancas. Flores lilases. Amostra de DNA, flor em álcool,","Una","Reserva Biológica de Una","-39.059444","-15.195278",NA,NA,"2003","04","02",NA,NA,"RFA51226",NA,NA,NA,"27","39º3'34''W","15º11'43''S",NA,NA,NA,NA
"11","2020-06-29 11:29:40-03","UFRJ","RFA","30398","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Portea","alatisepala","Portea alatisepala","Philcox","T. Wendt","2000","01","A. P. G. de Faria; T. Wendt","20","Brasil","Bahia",NA,"Planta cultivada por Luiz Carlos Gurken. Brácteas escapais rosa. Brácteas florais rosa. Ovário roxo. Sépalas e pétalas roxas","Bahia",NA,NA,NA,NA,NA,"2000","01","18",NA,NA,"RFA51231",NA,NA,NA,"18",NA,NA,NA,NA,NA,NA
"12","2020-06-29 11:29:40-03","UFRJ","RFA","30702","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Portea","alatisepala","Portea alatisepala","Philcox","A. P. G. de Faria","2001","07","A. P. G. de Faria; T. Wendt","35","Brasil","Pernambuco",NA,"Planta cultivada por L. C. Gurken. Escapo avermelhado, com indumento. Brácteas florais, raque, brácteas primárias e pedicelo rosa. Ovário e pétalas roxas","Pernambuco",NA,NA,NA,NA,NA,"2001","07","06",NA,NA,"RFA51224",NA,NA,NA,"06",NA,NA,NA,NA,NA,NA
"13","2020-06-29 11:29:40-03","UFRJ","RFA","30932","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Portea","alatisepala","Portea alatisepala","Philcox","A. P. G. de Faria","2002","10","A. P. G. de Faria; L. O. F. de Sousa; S. C. Sant#?#Ana","122","Brasil","Bahia",NA,"Inflorescência passada, rosada","Bahia","Ponta de Maraú",NA,NA,NA,NA,"2002","10","16",NA,NA,"RFA51225",NA,NA,NA,"11",NA,NA,NA,NA,NA,NA
"14","2021-03-04 11:04:42-03","UFRB","HURB","23984","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Portea","alatisepala","Portea alatisepala","Philcox",NA,NA,NA,"Souza, E.H.; Cavalcante, B.P.; Resende-Silva, K.; Martins, J.","140","Brasil","Bahia",NA,"Acesso Incorporado ao BGB 895 Embrapa Mandioca e Fruticultura. Planta terrestre, abundante, inflorescência lilas e rosa, folhas verdes com espinho","Porto Seguro","Estrada de Arraial D'Ajuda para Trancoso;","-39.151556","-16.59725",NA,NA,"2018","07","07",NA,NA,"HURB000023984","HURB000023984",NA,NA,NA,"39º09'5,6W","16º35'50,1S",NA,NA,NA,NA
"15","2020-09-12 05:00:02-03","US","US","3232493","PreservedSpecimen","Plantae",NA,"Bromeliales","Bromeliaceae","Portea","alatisepala","Portea alatisepala","Philcox",NA,NA,NA,"R. M. Harley","18303","Brazil","Bahia","1",NA,NA,"Coastal zone, cacau plantation by road between Pedras & Una, opposite CEPLAC Experimental Station.",NA,NA,NA,NA,"1977","1","26","South America - Neotropics",NA,"US00385956","US00385956_01",NA,NA,NA,NA,NA,"Monocotyledonae","Isotype",NA,NA
"16","2019-10-07 09:20:39-03","UEFS","HUEFS","99672","PreservedSpecimen","Plantae","Angiospermae","Poales","Bromeliaceae","Portea","alatisepala","Portea alatisepala","Philcox",NA,NA,NA,"Harley, R.M.","18303","Brasil","Bahia",NA,NA,NA,"Coastal Zone, road between Pedras and Una, opposite CEPLAC experimental station","-39.05","-15.3",NA,NA,"1977","01","26",NA,NA,"HUEFS0099672",NA,NA,NA,NA,"39W3'0''","15S18'0''","Lilianae","Isótipo",NA,NA
"17","2019-10-07 09:20:39-03","UEFS","HUEFS","99673","PreservedSpecimen","Plantae","Angiospermae","Poales","Bromeliaceae","Portea","alatisepala","Portea alatisepala","Philcox",NA,NA,NA,"Harley, R.M.","18303","Brasil","Bahia",NA,NA,NA,"Coastal Zone, road between Pedras and Una, opposite CEPLAC experimental station","-39.05","-15.3",NA,NA,"1977","01","26",NA,NA,"HUEFS0099673",NA,NA,NA,NA,"39W3'0''","15S18'0''","Lilianae","Isótipo",NA,NA
"18","2020-07-23 12:01:00-03","CEPLAC","CEPEC","17021","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Portea","alatisepala","Portea alatisepala",NA,"J. V. Coffani-Nunes",NA,NA,"S. A. Mori","12126","Brasil","Bahia",NA,NA,"SANTA CRUZ CABRÁLIA","Sta. Cruz Cabrália/Porto Seguro. Rod. BR-500, 18,7Km ao N de Cabrália.","-39.033333","-16.333333",NA,NA,"1965","09","08",NA,NA,NA,NA,NA,NA,NA,"39W2'0","16S20'0",NA,NA,"09/05/2004",NA
"19","2020-07-23 12:01:00-03","CEPLAC","CEPEC","19665","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Portea","alatisepala","Portea alatisepala",NA,"J. V. Coffani-Nunes",NA,NA,"R. M. Harley","18303","Brasil","Bahia",NA,NA,"UNA","Entre o povoado de Pedras e Una, Oposto a Estação Experimental da CEPLAC.","-39.05","-15.3",NA,NA,"1977","01","26",NA,NA,NA,NA,NA,NA,NA,"39W3'0","15S18'0",NA,"Holótipo","16/05/2002",NA
"20","2020-07-23 12:01:00-03","CEPLAC","CEPEC","52790","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Portea","alatisepala","Portea alatisepala",NA,"D. Philcox",NA,NA,"R. M. Harley","18303","Brasil","Bahia",NA,NA,"UNA","Prox. a Rod. entre Pedras e Una, lado oposto a Estaçao Experimental da CEPLAC.","-39.05","-15.3",NA,NA,"1981","06","30",NA,NA,NA,NA,NA,NA,NA,"39W3'","15S18'",NA,"Holótipo","30/12/1992",NA
"21","2020-07-23 12:01:00-03","CEPLAC","CEPEC","68883","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Portea","alatisepala","Portea alatisepala",NA,"J. V. Coffani-Nunes",NA,NA,"W. W. Thomas","10948","Brasil","Bahia",NA,NA,"ILHÉUS","7.3Km SW Olivença, Rod. p/ Vila Brasil.","-39.040833","-14.983889",NA,NA,"1995","05","21",NA,NA,NA,NA,NA,NA,NA,"39W2'27","14S59'2",NA,NA,"09/05/2004",NA
"22","2020-07-23 12:01:00-03","CEPLAC","CEPEC","27516","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Portea","alatisepala","Portea alatisepala",NA,"J. V. Coffani-Nunes",NA,NA,"S. A. Mori","13688","Brasil","Bahia",NA,NA,"ILHÉUS","Rod. Olivença/Uma, 18Km ao S de Olivença.","-39.0494003295898","-14.7889003753662","61245","auto","1981","04","21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"09/05/2004",NA
"23","2020-07-23 12:01:00-03","CEPLAC","CEPEC","52347","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Portea","alatisepala","Portea alatisepala",NA,"E. M. C. Leme",NA,NA,"A. M. Amorim","475","Brasil","Bahia",NA,NA,"ubaitaba","Ramal à esquerda na estrada Ubaitaba/Itacaré, 4Km do Loteamento Marambaia.","-39.323299407959","-14.3125","27575","auto","1991","11","20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"30/04/1995",NA
"24","2020-07-23 12:01:00-03","CEPLAC","CEPEC","4494","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Portea","alatisepala","Portea alatisepala",NA,"J. V. Coffani-Nunes",NA,NA,"R. P. Belém","3690","Brasil","Bahia",NA,NA,"UNA","Margem do Rio Una.","-39.0752983093262","-15.2932996749878","36070","auto","1968","06","09",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"09/05/2004",NA
"25","2020-07-23 12:01:00-03","CEPLAC","CEPEC","6349","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Portea","alatisepala","Portea alatisepala",NA,"J. V. Coffani-Nunes",NA,NA,"T. S. dos Santos","1343","Brasil","Bahia",NA,NA,"CAMACAN","Km 1 a 2 da estrada a E de Camacan.","-39.4958000183105","-15.4191999435425","22686","auto","1971","01","18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"09/05/2004",NA
"26","2020-07-23 12:01:00-03","CEPLAC","CEPEC","3616","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Portea","alatisepala","Portea alatisepala noettigii",NA,"J. V. Coffani-Nunes",NA,NA,"S. G. da Vinha","188","Brasil","Bahia",NA,NA,"ITABUNA","Estrada Itabuna/Camacan.","-39.2803001403809","-14.7855997085571","30592","auto","1968","06","12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"09/05/2004","noettigii"
