"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","identifiedBy","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","class","relatedCatalogItem","dayIdentified","individualCount","typeStatus"
"1","2021-03-15 16:37:00-03","NY","NYBG","519549","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Rutaceae","Andreadoxa","flava","Andreadoxa flava","Kallunki","W. W. Thomas","12785","2002","03","08","South America","Brazil","Bahia","Ilhéus","CEPLAC (Centro de Pesquisas do Cacau). Cabruca ca. 2 km W of CEPEC along perimeter road","-39.2313","-14.7555","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=546588' target='other'> <mi>dwc_moreinfo</mi></a>","NY00519549","NY00519549_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","1017183","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Rutaceae","Andreadoxa","flava","Andreadoxa flava","Kallunki","A. M. V. de Carvalho","s.n.","2002","06","12","South America","Brazil","Bahia","Itabuna","Grounds of Centro de Pesquisas do Cacau.","-39.2803","-14.7858","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1200151' target='other'> <mi>dwc_moreinfo</mi></a>","NY01017183","NY01017183_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","330957","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Rutaceae","Andreadoxa","flava","Andreadoxa flava","Kallunki","T. S. dos Santos","4587","1998","06","03","South America","Brazil","Bahia","Ilhéus","Area do CEPEC (Centro de Pesquisas do Cacau), km 22 da Rodovia Ilhéus/Itabuna (BR 415). Regiao de Mata Higrófila Sul Baiana. Quadra I.","-39.2313","-14.7555","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=546586' target='other'> <mi>dwc_moreinfo</mi></a>","NY00330957","NY00330957_01","50","50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","02703987","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Rutaceae","Andreadoxa","flava","Andreadoxa flava","Kallunki","J. H. L. El Ottra","128","2011","03","21","South America","Brazil","Bahia","Ilhéus","CEPEC. Quadra I (entrada pelo lado esquerdo da estrada de terra). Em meio à cabruca (plantação de cacau), crescendo sobre rochas.","-39.23936","-14.75669","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2989543' target='other'> <mi>dwc_moreinfo</mi></a>","NY02703987","NY02703987_01","57",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","411785","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Rutaceae","Andreadoxa","flava","Andreadoxa flava","Kallunki","T. S. dos Santos","4588","1998","12","15","South America","Brazil","Bahia","Ilhéus","Area do CEPEC (Centro de Pesquisas do Cacau), km 22 da Rodovia Ilhéus/Itabuna (BR 415). Quadra I'","-39.2313","-14.7555","sheet","Flores em álcool 70 %. Foto. <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=546587' target='other'> <mi>dwc_moreinfo</mi></a>","NY00411785","NY00411785_01","50","50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","806483","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Rutaceae","Andreadoxa","flava","Andreadoxa flava","Kallunki","J. L. Paixão","207","2002","05","10","South America","Brazil","Bahia",NA,"Ilhéus: Área do CEPEC (Centro de Pesquisa do Cacau), km 22 da rod. Ilhéus/Itabuna (BR 415). Quadra I.","-39.2273659","-14.771874","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=798337' target='other'> <mi>dwc_moreinfo</mi></a>","NY00806483","NY00806483_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","687583","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Rutaceae","Andreadoxa","flava","Andreadoxa flava","Kallunki","J. R. Pirani","4973","2002","02","05","South America","Brazil","Bahia","Ilhéus","CEPLAC, área de cultivo de cacau.","-39.2394444","-14.7566667","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=878623' target='other'> <mi>dwc_moreinfo</mi></a>","NY00687583","NY00687583_01","69","69",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","330958","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Rutaceae","Andreadoxa","flava","Andreadoxa flava","Kallunki","N. T. da Silva","58316","1964","07","09","South America","Brazil","Bahia","Itabuna","Itabuna, Bahia. CEPLAC; low ground in cocoa plantation.","-39.2273659","-14.771874","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=546584' target='other'> <mi>dwc_moreinfo</mi></a>","NY00330958","NY00330958_01",NA,NA,"J. A. Kallunki",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2019-10-09 11:24:05-03","UFBA","ALCB","036790","PreservedSpecimen","Plantae","Dicotyledon",NA,"Rutaceae","Andreadoxa","flava","Andreadoxa flava","Kallunki","Santos, TS dos","s/n","1998","06","03","Southern America","Brasil","Bahia","Ilhéus",NA,"-39.0494003295898","-14.7889003753662",NA,"Árvore com ca. 9 m de altura por 19 cm de diâmetro. Frutos maduros enegrecidos.","ALCB064593",NA,NA,NA,NA,"61245","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2019-10-09 11:24:05-03","UFBA","ALCB","80693","PreservedSpecimen","Plantae","Dicotyledon",NA,"Rutaceae","Andreadoxa","flava","Andreadoxa flava","Kallunki","Carvalho, G","109","2007","10","11","Southern America","Brasil","Bahia","Ilhéus",NA,"-39.0494003295898","-14.7889003753662",NA,"ca. 12m, folhas levemente discolores; casca marrom; copa densa.","ALCB064594",NA,NA,NA,"Miranda, M","61245","auto","2007","10",NA,NA,NA,NA,NA,NA,NA
"11","2019-10-09 11:24:05-03","UFBA","ALCB","047534","PreservedSpecimen","Plantae","Dicotyledon",NA,"Rutaceae","Andreadoxa","flava","Andreadoxa flava","Kallunki","Santos, TS dos; Carvalho, AM de; et al.","4588","1998","12","15","Southern America","Brasil","Bahia","Ilhéus","Litoral Sul, µrea do Cepec, km 22 da Rod. Ilhéus/Itabuna (BR 415). Quadra I","-39.033333","-14.783333",NA,"9,0 m, 19 cm de diâmetro. Folhas verdes na face superior, algo discolores, face inferior mais clara. Flores com corola creme e cálice verde.; em alforamento rochoso.","ALCB064595",NA,"50","50",NA,NA,NA,NA,NA,"-39.033333","-14.783333",NA,NA,NA,NA,NA
"12","2019-10-09 11:24:05-03","UFBA","ALCB",NA,"PreservedSpecimen","Plantae","Dicotyledon",NA,"Rutaceae","Andreadoxa","flava","Andreadoxa flava","Kallunki","Santos, TS dos; Carvalho, AM de; et al.","4588","1998","12","15","Southern America","Brasil","Bahia","Ilhéus","Litoral Sul, µrea do Cepec, km 22 da Rod. Ilhéus/Itabuna (BR 415). Quadra I","-39.033333","-14.783333",NA,"9,0 m, 19 cm de diâmetro. Folhas verdes na face superior, algo discolores, face inferior mais clara. Flores com corola creme e cálice verde.; em alforamento rochoso.",NA,NA,"50","50",NA,NA,NA,NA,NA,"-39.033333","-14.783333",NA,NA,NA,NA,NA
"13","2020-02-08 10:31:12-03","NBC","NL-BOTANY","U.1585333","PreservedSpecimen","Plantae",NA,"Sapindales","Rutaceae","Andreadoxa","flava","Andreadoxa flava","Kallunki","Santos TS dos; Carvalho AMV de",NA,"1998","12","15","Southern America","Brazil","Bahia",NA,"Municipio de Ilheus. Area do CEPEC (Centro de Pesquisas do Cacau), km 22 da Rodovia Ilheus/Itabuna (BR 415). Região de Mata Higrofila Sul Baiana.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1585333 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1585333","NL-U1585333",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae","U 0251406",NA,NA,NA
"14","2015-07-02 14:04:06-03","JBP","HPL","8227","S","Plantae",NA,NA,"Rutaceae","Andreadoxa","flava","Andreadoxa flava","Kallunki","V.C. Souza, H. Lorenzi et al.","30715","2005","06","30",NA,"Brasil","BA","Ilhéus","Coletado na área do CEPLAC.","-39.0494","-14.7889",NA,NA,NA,NA,NA,NA,"V.C. Souza","61245","auto","2012","04",NA,NA,NA,NA,"02",NA,NA
