"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","infraspecificEpithet","typeStatus","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","class","relatedCatalogItem","fieldNumber","individualCount","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","440282","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Aspidosperma","polyneuron","Aspidosperma polyneuron","Müll.Arg.","A. J. M. Leeuwenberg","S. A. Mori","12221","1979","07","14","South America","Brazil","Bahia","Jequié","Rod. BR 330, trecho Jequié/Ipiaú, 4 km a L de Jequié","-40.05","-13.87","600","600","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=194388' target='other'> <mi>dwc_moreinfo</mi></a>","NY00440282","NY00440282_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2016-10-21 20:38:00-02","NY","NYBG","297984","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Aspidosperma","polyneuron","Aspidosperma polyneuron longifolium","Hassl.",NA,"E. Hassler","10408a",NA,NA,NA,"South America","Paraguay",NA,NA,"Punta Porá",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=191603' target='other'> <mi>dwc_moreinfo</mi></a>","NY00297984","NY00297984_01","longifolium","isotype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","970696","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Aspidosperma","polyneuron","Aspidosperma polyneuron","Müll.Arg.","J. G. Kuhlmann","J. G. Kuhlmann","s.n.","1935","12","19","South America","Brazil","Minas Gerais","Viçosa",NA,"-42.8817","-20.7542",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1051705' target='other'> <mi>dwc_moreinfo</mi></a>","NY00970696","NY00970696_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","970699","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Aspidosperma","polyneuron","Aspidosperma polyneuron","Müll.Arg.",NA,"L. Riedel","s.n.",NA,NA,NA,"South America","Brazil",NA,NA,"St. Paul.",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1051710' target='other'> <mi>dwc_moreinfo</mi></a>","NY00970699","NY00970699_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","440286","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Aspidosperma","polyneuron","Aspidosperma polyneuron","Müll.Arg.","W. Marcondes-Ferreira","F. Woytkowski","5665","1950","04","10","South America","Peru","Cajamarca",NA,"Pucará",NA,NA,"900","900","sheet","Sample removed by Kurt Potgieter, 1996 <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=194395' target='other'> <mi>dwc_moreinfo</mi></a>","NY00440286","NY00440286_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","440275","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Aspidosperma","polyneuron","Aspidosperma polyneuron","Müll.Arg.","F. Markgraf","G. G. Hatschbach","24976","1970","10","20","South America","Brazil","Paraná","Porecatu","Porecatu","-51.3792","-22.7558",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=194391' target='other'> <mi>dwc_moreinfo</mi></a>","NY00440275","NY00440275_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","970698","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Aspidosperma","polyneuron","Aspidosperma polyneuron","Müll.Arg.",NA,"L. Riedel","179",NA,NA,NA,"South America","Brazil",NA,NA,NA,NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1051708' target='other'> <mi>dwc_moreinfo</mi></a>","NY00970698","NY00970698_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","440283","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Aspidosperma","polyneuron","Aspidosperma polyneuron","Müll.Arg.","W. Marcondes-Ferreira","L. P. de Queiroz","1598","1987","06","20","South America","Brazil","Bahia","Ituaçu","Arredores do Morro da Mangabeira","-41.2967","-13.8133","520","520","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=194394' target='other'> <mi>dwc_moreinfo</mi></a>","NY00440283","NY00440283_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","1034268","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Aspidosperma","polyneuron","Aspidosperma polyneuron","Müll.Arg.","R. Spichiger","A. C. Cervi","CA7276","1994","12","07","South America","Brazil","Alagoas","Quebrangulo","Reserva Biológica de Pedra Talhada","-36.42","-9.25",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1249570' target='other'> <mi>dwc_moreinfo</mi></a>","NY01034268","NY01034268_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","1034267","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Aspidosperma","polyneuron","Aspidosperma polyneuron","Müll.Arg.","R. Spichiger","A. C. Cervi","CA7274","1994","12","07","South America","Brazil","Alagoas","Quebrangulo","Reserva Biológica de Pedra Talhada","-36.42","-9.25",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1249569' target='other'> <mi>dwc_moreinfo</mi></a>","NY01034267","NY01034267_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","440280","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Aspidosperma","polyneuron","Aspidosperma polyneuron","Müll.Arg.","F. C. Hoehne","F. C. Hoehne","28669","1932","01","05","South America","Brazil","São Paulo","Sao Paulo","Jardim Botanico","-46.618358","-23.646109",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=194397' target='other'> <mi>dwc_moreinfo</mi></a>","NY00440280","NY00440280_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","4177270","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Aspidosperma","polyneuron","Aspidosperma polyneuron","Müll.Arg.",NA,"L. Aristeguieta","6797","1968","11","20","South America","Venezuela",NA,NA,"Maracailbo-Villa del Rosario-Machiques, a partir del km 70",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4500569' target='other'> <mi>dwc_moreinfo</mi></a>","NY04177270",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","4177271","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Aspidosperma","polyneuron","Aspidosperma polyneuron","Müll.Arg.",NA,"L. Aristeguieta","6797","1968","11",NA,"South America","Venezuela","Zulia",NA,"Arbol maderable. Villa del Rosario-Machiques",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4500570' target='other'> <mi>dwc_moreinfo</mi></a>","NY04177271",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","4177269","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Aspidosperma","polyneuron","Aspidosperma polyneuron","Müll.Arg.",NA,"J. M. Schunke-Vigo","1446","1966","12","29","South America","Peru","Huánuco","Pachitea","Dtto. Honoria. Bosque Nacional de Iparia: Región de bosque seco tropical: (sensu Tosi, 1960) a lo largo del Río Pachutea cerca del campamento Miel de Abeja (1 km arriba del pueblo de Tournavista o unos 20 km arriba de la confluencia con el Río Ucayali). En bosque alto; Carretera Miel de Abejas a 300 m",NA,NA,"300","400","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4500568' target='other'> <mi>dwc_moreinfo</mi></a>","NY04177269",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-03-15 16:37:00-03","NY","NYBG","440285","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Aspidosperma","polyneuron","Aspidosperma polyneuron","Müll.Arg.","W. J. Hahn","W. J. Hahn","1212","1983","03","18","South America","Paraguay","Amambay",NA,"Parque Nacional Cerro Cora","-56.08","-22.67","250","300","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=194396' target='other'> <mi>dwc_moreinfo</mi></a>","NY00440285","NY00440285_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-03-15 16:37:00-03","NY","NYBG","970700","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Aspidosperma","polyneuron","Aspidosperma polyneuron","Müll.Arg.",NA,"A. F. Regnell","III870","1842","09","05","South America","Brazil","Minas Gerais","Caldas",NA,"-46.3858","-21.9236",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1051712' target='other'> <mi>dwc_moreinfo</mi></a>","NY00970700","NY00970700_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2021-03-15 16:37:00-03","NY","NYBG","440284","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Aspidosperma","polyneuron","Aspidosperma polyneuron","Müll.Arg.","F. Markgraf","S. A. Mori","9542","1978","03","05","South America","Brazil","Bahia","Boa Nova","Rodovia BR-116, trecho Poçoes/Jequié a 34 km N de Poçoes","-40.2075","-14.3628","400","400","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=194392' target='other'> <mi>dwc_moreinfo</mi></a>","NY00440284","NY00440284_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2021-03-15 16:37:00-03","NY","NYBG","440277","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Aspidosperma","polyneuron","Aspidosperma polyneuron","Müll.Arg.","F. Markgraf","G. G. Hatschbach","22595","1969","10","22","South America","Brazil","Paraná","Céu Azul","Boa Vista","-53.8483","-25.1469",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=194390' target='other'> <mi>dwc_moreinfo</mi></a>","NY00440277","NY00440277_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2021-03-15 16:37:00-03","NY","NYBG","440276","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Aspidosperma","polyneuron","Aspidosperma polyneuron","Müll.Arg.","R. M. Klein","U. Pastore","51","1986","03","21","South America","Brazil","Paraná","Loanda","10 km leste Trevo Loanda, BR-376. Folha: SF. 22-Y-A. Ponto 17","-52.88","-22.9",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=194399' target='other'> <mi>dwc_moreinfo</mi></a>","NY00440276","NY00440276_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2021-03-15 16:37:00-03","NY","NYBG","440281","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Aspidosperma","polyneuron","Aspidosperma polyneuron","Müll.Arg.","W. Marcondes-Ferreira","Pessoal do Horto Florestal",NA,"1927","12","01","South America","Brazil","Rio de Janeiro","Rio de Janeiro","Mata da fabrica Aliança, Laranjeiras","-43.2075","-22.9031",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=194393' target='other'> <mi>dwc_moreinfo</mi></a>","NY00440281","NY00440281_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2021-03-15 16:37:00-03","NY","NYBG","970697","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Aspidosperma","polyneuron","Aspidosperma polyneuron","Müll.Arg.",NA,"L. Riedel","s.n.",NA,NA,NA,"South America","Brazil",NA,NA,NA,NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1051707' target='other'> <mi>dwc_moreinfo</mi></a>","NY00970697","NY00970697_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2021-03-15 16:37:00-03","NY","NYBG","440279","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Aspidosperma","polyneuron","Aspidosperma polyneuron","Müll.Arg.","P. K. H. Dusén","P. K. H. Dusén","16781","1915","03","11","South America","Brazil","Paraná",NA,"Patrimonio","-51.75","-23.87",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=194389' target='other'> <mi>dwc_moreinfo</mi></a>","NY00440279","NY00440279_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2021-03-15 16:37:00-03","NY","NYBG","970702","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Aspidosperma","polyneuron","Aspidosperma polyneuron","Müll.Arg.","W. Marcondes-Ferreira","Schott","4349",NA,NA,NA,"South America","Brazil",NA,NA,"Paroba.",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1051715' target='other'> <mi>dwc_moreinfo</mi></a>","NY00970702","NY00970702_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2021-03-15 16:37:00-03","NY","NYBG","970701","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Aspidosperma","polyneuron","Aspidosperma polyneuron","Müll.Arg.","W. Marcondes-Ferreira","Schott","4345",NA,NA,NA,"South America","Brazil",NA,NA,"Paroba de Minas.",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1051713' target='other'> <mi>dwc_moreinfo</mi></a>","NY00970701","NY00970701_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
