"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","recordNumber","phylum","order","scientificNameAuthorship","identifiedBy","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","imagecode","coordinatePrecision","geoFlag","typeStatus","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","class","relatedCatalogItem","infraspecificEpithet","fieldNumber","individualCount","sex"
"1","2020-09-23 10:43:18-03","E","E","187575","PreservedSpecimen","Plantae","Salicaceae","Casearia","arborea","Casearia arborea","Harley, R.M.","1992","02","02","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:195346","<a href=http://data.rbge.org.uk/herb/E00187575 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00187575",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:43:18-03","E","E","102312","PreservedSpecimen","Plantae","Salicaceae","Casearia","arborea","Casearia arborea","Ratter, J.A.; Filho, J. Fonsêca; Bridgewater, S. & Farias, R.","1998","11","18","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:110623","<a href=http://data.rbge.org.uk/herb/E00102312 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00102312",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-09-23 10:43:18-03","E","E","75256","PreservedSpecimen","Plantae","Salicaceae","Casearia","arborea","Casearia arborea","Dik, A.","1993","10","06","W. Tropical South America","EC","herbarium specimen of unspecif","BGBASE:86349","<a href=http://data.rbge.org.uk/herb/E00075256 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00075256","642",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-09-23 10:43:18-03","E","E","161799","PreservedSpecimen","Plantae","Salicaceae","Casearia","arborea","Casearia arborea","J.H.Kirkbride","1982","06","23","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:169993","<a href=http://data.rbge.org.uk/herb/E00161799 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00161799","4861",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-09-23 10:43:18-03","E","E","161345","PreservedSpecimen","Plantae","Salicaceae","Casearia","arborea","Casearia arborea","B.S.Marimon","1996","08","30","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:169035","<a href=http://data.rbge.org.uk/herb/E00161345 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00161345",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-09-23 10:43:18-03","E","E","161811","PreservedSpecimen","Plantae","Salicaceae","Casearia","arborea","Casearia arborea","J.H.Kirkbride","1982","06","23","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:170007","<a href=http://data.rbge.org.uk/herb/E00161811 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00161811","4861",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-09-23 10:43:18-03","E","E","161379","PreservedSpecimen","Plantae","Salicaceae","Casearia","arborea","Casearia arborea","J.H.Kirkbride","1982","06","16","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:169046","<a href=http://data.rbge.org.uk/herb/E00161379 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00161379","4839",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","00896929","PreservedSpecimen","Plantae","Salicaceae","Casearia","arborea","Casearia arborea","H. S. Irwin","1965","08","20","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=970255' target='other'> <mi>dwc_moreinfo</mi></a>","NY00896929","7829","Magnoliophyta","Malpighiales","(Rich.) Urb.","H. O. Sleumer","Distrito Federal","Brasília","12 km S of Brasília on road to Cristalina","-47.9167","-15.89174","1000","1000","NY00896929_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","2149806","PreservedSpecimen","Plantae","Salicaceae","Casearia","arborea","Casearia arborea","J. M. Pires","1956","12","17","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2303880' target='other'> <mi>dwc_moreinfo</mi></a>","NY02149806","6416","Magnoliophyta","Malpighiales","(Rich.) Urb.",NA,"Pará",NA,"Serra do Cachimbo.",NA,NA,"425","425","NY02149806_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","2149804","PreservedSpecimen","Plantae","Salicaceae","Casearia","arborea","Casearia arborea","D. C. Daly","1986","10","23","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2303878' target='other'> <mi>dwc_moreinfo</mi></a>","NY02149804","4107","Magnoliophyta","Malpighiales","(Rich.) Urb.",NA,"Amazonas","Jutaí","Copessu, near Porto Afonso, 10 minutes downstream from Jutaí by motorboat. Forest on terra firme, undulating terrain. Roads, but selectively logged.","-66.7","-2.716667",NA,NA,"NY02149804_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
