"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","locality","phylum","order","continentOcean","preparationType","yearIdentified","coordinatePrecision","geoFlag","class","monthIdentified","dayIdentified","relationshipType","relatedCatalogItem","individualCount","typeStatus","fieldNumber"
"11","2020-02-08 09:32:42-03","NBC","NL-BOTANY","U.1405568","PreservedSpecimen","Plantae","Labiatae","Hyptis","uliginosa","Hyptis uliginosa","A.St.-Hil. ex Benth.",NA,"Hatschbach GG; Lindeman JC; Haas H",NA,"1966","02","10","Brazil",NA,NA,NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1405568 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1405568","NL-U1405568","Galinhas ( mun. Gal, Carneiro) Parana.",NA,"Lamiales","Southern America",NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA
"12","2019-12-19 08:08:09-03","FPS","FPS","2161","MachineObservation","Plantae","Lamiaceae","Hyptis","uliginosa","Hyptis uliginosa","A.St.-Hil. ex Benth.","Funez, L.A.","Schwirkowski, P.","1636","2016","03","06","Brasil","Santa Catarina","São Bento do Sul","-49.363059","-26.279973","-49.363059","-26.279973",NA,NA,NA,"FPS02161,FURB49704","FPS02161_v01 FPS02161_v02 FPS02161_v03 FURB49704","Serra Alta. Propriedade do Sr. Ivo Drechsler, ao lado da Estrada Saraiva",NA,NA,NA,NA,"2016",NA,NA,NA,"03","06","voucher","FURB 49704",NA,NA,NA
"13","2019-12-19 08:08:10-03","FPS","FPS","3191","MachineObservation","Plantae","Lamiaceae","Hyptis","uliginosa","Hyptis uliginosa","A.St.-Hil. ex Benth.","Funez, L.A.","Schwirkowski, P.","2617","2018","01","14","Brasil","Santa Catarina","São Bento do Sul","-49.363059","-26.279973","-49.363059","-26.279973",NA,NA,NA,"FPS03191,FURB57487","FPS03191_v01 FPS03191_v02 FPS03191_v03 FPS03191_v04 FURB57487","Serra Alta. Propriedade do Sr. Ivo Drechsler, ao lado da Estrada Saraiva",NA,NA,NA,NA,"2018",NA,NA,NA,"01","14","voucher","FURB 57487",NA,NA,NA
"14","2019-08-27 13:30:16-03","IAP","PACA-AGP","35620","PreservedSpecimen","Plantae","Labiatae","Hyptis","uliginosa","Hyptis uliginosa","A. St.-Hil. ex Benth.","Emrich-Rambo","Rambo, B.",NA,"1947","01","02","Brasil","RS","Kappesberg p. Montenegro",NA,NA,NA,NA,NA,NA,"sicher, 8.8.1954.; fl.; Habitat: in paludosis","PACA035620",NA,NA,"Magnoliophyta","Lamiales",NA,NA,"1954",NA,NA,"Magnoliatae","08","08",NA,NA,NA,NA,NA
"15","2019-08-27 13:30:16-03","IAP","PACA-AGP","36912","PreservedSpecimen","Plantae","Labiatae","Hyptis","uliginosa","Hyptis uliginosa","A. St.-Hil. ex Benth.","Emrich-Rambo","Hatschbach, G.",NA,"1947","01","23","Brasil","PR","Curitiba","-49.2731018066406","-25.4277992248535",NA,NA,NA,NA,"sicher, 8.8.1954.; fl.; Habitat: in paludosis","PACA036912",NA,NA,"Magnoliophyta","Lamiales",NA,NA,"1954","25180","auto","Magnoliatae","08","08",NA,NA,NA,NA,NA
"16","2019-08-27 13:30:16-03","IAP","PACA-AGP","40179","PreservedSpecimen","Plantae","Labiatae","Hyptis","uliginosa","Hyptis uliginosa","A. St.-Hil. ex Benth.","Epling","Rambo, B.",NA,"1949","01","27","Brasil","RS","Farroupilha","-51.3478012084961","-29.2250003814697",NA,NA,NA,NA,"sicher, 8.8.1954.; fl.; Habitat: in paludosis dumetosis","PACA040179",NA,"Sta. Rita","Magnoliophyta","Lamiales",NA,NA,"1954","19545","auto","Magnoliatae","08","08",NA,NA,NA,NA,NA
"17","2019-08-27 13:30:16-03","IAP","PACA-AGP","45664","PreservedSpecimen","Plantae","Labiatae","Hyptis","uliginosa","Hyptis uliginosa","A. St.-Hil. ex Benth.","Emrich-Rambo","Rambo, B.",NA,"1950","02","07","Brasil","RS","Farroupilha","-51.3478012084961","-29.2250003814697",NA,NA,NA,NA,"sicher, 8.8.1954.; fl.; Habitat: in graminosis uliginosis","PACA045664",NA,"Sta. Rita","Magnoliophyta","Lamiales",NA,NA,"1954","19545","auto","Magnoliatae","08","08",NA,NA,NA,NA,NA
"18","2021-03-30 15:56:50-03","UFSC","CTBS","3181","PreservedSpecimen","Plantae","Lamiaceae","Hyptis","uliginosa","Hyptis uliginosa","A.St.-Hil. ex Benth.","Buchoski, M.G.","Pastore, J.F.B. & Mota, M.C. de A.","5209","2016","11","14","Brasil","Paraná","São Mateus do Sul","-50.3828010559082","-25.8742008209229",NA,NA,NA,NA,"Planta verde com ápice das folhas róseos crescendo em Banhado. Caule quadrangular. Face abaxial das folhas verdes. Inflorescencia vinácea.",NA,NA,"Banhado ao lado da cidade",NA,NA,NA,NA,"2018","31353","auto",NA,"07","24",NA,NA,NA,NA,NA
"19","2018-03-08 09:13:18-03","ASU","ASU-PLANTS","ASU0015106","PreservedSpecimen","Plantae","Lamiaceae","Hyptis","uliginosa","Hyptis uliginosa","A.St.Hil. ex Benth.","H.A. KelIer","H. A. Keller; L. Ritter","4976","2007","1","2","Argentina","Misiones",NA,"-53.8178","-26.3036",NA,NA,"762",NA,"Banado, Rastrera aromática, inflorescencias rojizas; Hyptis uliginosa A. St. Hil. ex Benth.",NA,NA,"Gral. M. Belgrano. Al norte de Dos Hermanas.","Magnoliophyta","Lamiales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2021-03-01 16:32:10-03","UNICAMP","UEC","48878","S","Plantae","Lamiaceae","Hyptis","uliginosa","Hyptis uliginosa","A.St.-Hil. ex Benth.","Britez, LM","Britez, RM; Silva, SM; Mello, E","1147","1986","11","28","Brazil","Paraná","São Mateus do Sul","-50.3828010559082","-25.8742008209229",NA,NA,NA,NA,"Erva de flor lilás e branca.; Campo de inundação do Rio Iguaçu.","UEC043744","UEC043744","Fazenda do Durgo.","Magnoliopsida",NA,NA,NA,NA,"31353","auto",NA,NA,NA,NA,NA,NA,NA,NA
