"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","yearIdentified","monthIdentified","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","fieldNumber","individualCount","class","dayIdentified"
"1","2021-03-15 16:37:00-03","NY","NYBG","1239484","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Lychnophora","souzae","Lychnophora souzae","H.Rob.","isotype","H. S. Irwin","22690","1969","01","27","South America","Brazil","Minas Gerais","Serra do Espinhaço. ca. 12 km N.E. of Diamantina, road to Mendanha","1300","1300","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1471095' target='other'> <mi>dwc_moreinfo</mi></a>","NY01239484","NY01239484_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-10-09 11:10:47-03","UFBA","ALCB","100760","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Lychnophora","souzae","Lychnophora souzae","H.Rob.",NA,"Franco, IM; Cota, MMT","710","2011","02","25","Southern America","Brasil","Minas Gerais","Campus JK da UFVJM, final da estrada de terra que desce atrás do Apiário da Universidade","1310","1310",NA,"Ca. 1 m. alt. Caule acinzentado. Folhas com face abaxial esbranquiçadas. Invólucro vináceo, flores lilases.",NA,NA,"Loeuille, B","2011","03","Diamantina","-43.567778","-18.194444","-43.567778","-18.194444",NA,NA,NA,NA,NA,NA
"3","2019-10-09 11:10:47-03","UFBA","ALCB","100761","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Lychnophora","souzae","Lychnophora souzae","H.Rob.",NA,"Franco, IM; Quaresma, AS; Cota, MMT","717","2011","03","17","Southern America","Brasil","Minas Gerais","Campus JK da UFVJM, final da estrada de terra que desce atrás do Apiário da Universidade, próximo ao córrego Soberbo","1307","1307",NA,"Ca. 1 m. alt. Frutos marrons. Flores lilás esbranquiçadas.",NA,NA,"Franco, IM","2011","03","Diamantina","-43.568056","-18.195556","-43.568056","-18.195556",NA,NA,NA,NA,NA,NA
"4","2019-10-09 11:10:47-03","UFBA","ALCB","100765","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Lychnophora","souzae","Lychnophora souzae","H.Rob.",NA,"Quaresma, AS; Cota, MMT; Franco, I M","137","2011","03","17","Southern America","Brasil","Minas Gerais","Campus JK da UFVJM, Trilha para o córrego do soberbo","1307","1307",NA,"Ca. 1 m. alt. Flores lilases esbranquiçadas. Muitos frutos.",NA,NA,"Franco, IM",NA,NA,"Diamantina","-43.568056","-18.195556","-43.568056","-18.195556",NA,NA,NA,NA,NA,NA
"5","2019-10-09 11:10:47-03","UFBA","ALCB","211125","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Lychnophora","souzae","Lychnophora souzae","H.Rob.",NA,"Rando, JG; Cota, MMT; Watanabe, MTC; Baleeiro, P","1234","2012","04","09","Southern America","Brasil","Minas Gerais","Campus da Universidade UFVJM. Próximo ao córrego Soberbo, seguindo pela trilha que passa por trás do antigo apiário da Universidade. Sobre o morro à esquerda.","1315","1315",NA,"ca. 50 cm alt. Flores lilás. Em grande população. Coleta em FAA. Prensado em álcool.",NA,NA,"Loeuille, B","2014",NA,"Diamantina","-43.567778","-18.196389","-43.567778","-18.196389",NA,NA,NA,NA,NA,NA
"6","2019-08-20 10:06:01-03","UNICAMP","UEC","196344","S","Plantae","Magnoliopsida",NA,"Asteraceae","Lychnophora","souzae","Lychnophora souzae","H.Rob.",NA,"Leitão Filho, HF","17552","1985","06","06",NA,"Brazil","Minas Gerais","Estrada Diamantina - Mandanha km 585.",NA,NA,NA,NA,"UEC036305","UEC036305","Semir, J; Volet, DP","2015","10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-01 16:24:38-03","UNICAMP","UEC","165883","S","Plantae","Magnoliopsida",NA,"Asteraceae","Lychnophora","souzae","Lychnophora souzae","H.Rob.",NA,"Gonçalves, DJP; Kotovski, ER; Cota, MMT; Silva, LAF","414","2012","01","24",NA,"Brazil","Minas Gerais","Campus 2 da UFVJM, 1km descendo a estr. a partir da Pocilga.",NA,NA,NA,"Subarbusto ca. 40cm. Botões c/ ápice arroxeado.","UEC024614","UEC024614","Semir, J; Monge, M","2015","10","Diamantina","-43.6002998352051","-18.2493991851807",NA,NA,"101169","auto",NA,NA,NA,NA
"8","2021-03-01 16:24:38-03","UNICAMP","UEC","175587","S","Plantae","Magnoliopsida",NA,"Asteraceae","Lychnophora","souzae","Lychnophora souzae","H.Rob.","isotypus","Irwin, HS; Reis dos Santos, R; Sousa, R; Fonseca, SF","22690","1969","01","27",NA,"Brazil","Minas Gerais","Rocky creek margin. Sandy cerrado and thickets in sandy pockets in outcrops, ca. 12 km N.E. of Diamantina, road to Mendanha; Elev. 1300m. Serra do Espinhaço.",NA,NA,NA,"Shrub ca. 1m tall. Heads magenta.; Cerrado","UEC069517","UEC069517",NA,NA,NA,"Diamantina","-43.6002998352051","-18.2493991851807",NA,NA,"101169","auto",NA,NA,NA,NA
"9","2020-12-21 16:16:31-03","MBM","MBM","68132","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Lychnophora","souzae","Lychnophora souzae","H. Rob.","ISOTYPE","Irwin, H.S.; Reis dos Santos, R.; Souza, R.; Fonseca, S.F. da; Reis dos Santos, R.; Souza, R.; Fonseca, S.F. da","22690","1969","01","27","Southern America","Brazil","Minas Gerais","Serra do Espinhaço, Ca. 12 km NE of Diamantina, road to Mendanha","1300","1300",NA,"Shrub ca. 1m tall. Heads magenta. Rocky creek margin. Sandy cerrado and thickets in sandy pockets in outcrops; Shrub ca. 1m tall. Heads magenta.; Rocky creek margin. Sandy cerrado and thickets in sandy pockets in outcrops.","MBM068132","MBM068132",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2019-07-16 16:12:02-03","MNHN","RECOLNAT_MNHN_P","P04264536","PreservedSpecimen",NA,NA,NA,"Asteraceae","Lychnophora","souzae","Lychnophora souzae","H.Rob.",NA,"Glaziou, A.",NA,"1892","3","24",NA,"Brasil","Minas Gerais","Brésil, Minas, Biribiry.",NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p04264536' target='other'> <mi>dwc_moreinfo</mi></a>","P04264536","P04264536_01","Nakajima",NA,NA,NA,NA,NA,NA,NA,NA,NA,"19491",NA,NA,NA
"11","2015-09-04 10:27:00-03","MNHN","RECOLNAT_MNHN_P","P04294874","PreservedSpecimen",NA,NA,NA,"Asteraceae","Lychnophora","souzae","Lychnophora souzae","H.Rob.",NA,"Glaziou, A.",NA,NA,NA,NA,NA,"Brasil","Minas Gerais","Brésil, Minas.",NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p04294874' target='other'> <mi>dwc_moreinfo</mi></a>","P04294874","P04294874_01","Nakajima",NA,NA,NA,NA,NA,NA,NA,NA,NA,"19491",NA,NA,NA
"12","2015-09-04 10:27:00-03","MNHN","RECOLNAT_MNHN_P","P04294875","PreservedSpecimen",NA,NA,NA,"Asteraceae","Lychnophora","souzae","Lychnophora souzae","H.Rob.",NA,"Glaziou, A.",NA,"1892","3","24",NA,"Brasil","Minas Gerais","Brésil. Biribiry.",NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p04294875' target='other'> <mi>dwc_moreinfo</mi></a>","P04294875","P04294875_01","Nakajima",NA,NA,NA,NA,NA,NA,NA,NA,NA,"19491",NA,NA,NA
"13","2014-08-23 05:36:00-03","MO","MOBOT","100309112","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Lychnophora","souzae","Lychnophora souzae","H. Rob.","Isotype","Howard S. Irwin|R. Reis dos Santos|R. Souza|S.F. da Fonsêca","Irwin 22690","1969","1","27","South America","Brazil","Minas Gerais","Ca. 12 km NE of Diamantina, road to Mendanha.","1300.00000000",NA,NA,NA,NA,NA,"J. Semir",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA
