"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","coordinatePrecision","barcode","imagecode","geoFlag","typeStatus","fieldNumber","locality","preparationType","occurrenceRemarks","minimumElevationInMeters","class","order","continentOcean","individualCount","yearIdentified","verbatimLongitude","verbatimLatitude"
"1","2019-08-20 10:22:24-03","UNICAMP","UEC","111291","S","Plantae","Magnoliopsida","Oxalidaceae","Oxalis","arachnoidea","Oxalis arachnoidea","Progel","Freitas, L","Freitas, L; Sazima, M","175","1998","01","24","Brazil","São Paulo","São José do Barreiro","-44.5699996948242","-22.6399993896484","30784","UEC002859","UEC002859","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-02-22 14:58:53-03","MNHN","RECOLNAT_MNHN_P","P00724129","PreservedSpecimen",NA,NA,"Oxalidaceae","Oxalis","arachnoidea","Oxalis arachnoidea","Progel",NA,"Glaziou, A.",NA,"1876","1","8","Brésil",NA,NA,NA,NA,NA,"P00724129","P00724129_01",NA,"isotype","8334","Fazenda da Bocaino","hb","Donné par Mme Simard, sa fille, en 1907 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00724129' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA
"3","2015-09-05 10:08:17-03","MNHN","RECOLNAT_MNHN_P","P05554368","PreservedSpecimen",NA,NA,"Oxalidaceae","Oxalis","arachnoidea","Oxalis arachnoidea","Progel",NA,"Brade, A.C.",NA,"1951","4","26","Brasil","São Paulo",NA,NA,NA,NA,"P05554368","P05554368_01",NA,NA,NA,"Serra da Bocaina. Tira Chapéu","hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p05554368' target='other'> <mi>dwc_moreinfo</mi></a>","2000",NA,NA,NA,NA,NA,NA,NA
"4","2015-09-05 10:08:18-03","MNHN","RECOLNAT_MNHN_P","P05554372","PreservedSpecimen",NA,NA,"Oxalidaceae","Oxalis","arachnoidea","Oxalis arachnoidea","Progel",NA,"Brade, A.C.",NA,"1951","4","21","Brasil","São Paulo",NA,NA,NA,NA,"P05554372","P05554372_01",NA,NA,"20654","Serra da Bocaina","hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p05554372' target='other'> <mi>dwc_moreinfo</mi></a>","1650",NA,NA,NA,NA,NA,NA,NA
"5","2020-09-12 05:00:02-03","US","US","1199632","PreservedSpecimen","Plantae",NA,"Oxalidaceae","Oxalis","arachnoidea","Oxalis arachnoidea","Progel",NA,"L. S. Netto","s.n.","1905","2","21","Brazil","São Paulo",NA,NA,NA,NA,"US01853522","US01853522_01 US01853522_02",NA,NA,NA,"Campos da Bocaina",NA,NA,NA,"Dicotyledonae","Geraniales","South America - Neotropics","1",NA,NA,NA
"6","2019-11-13 11:27:50-03","USP","SPF","131660","PreservedSpecimen","Plantae",NA,"Oxalidaceae","Oxalis","arachnoidea","Oxalis arachnoidea","Progel","Fiaschi, P","Conceição, AA","594","1998","05","02","Brasil","São Paulo","São José do Barreiro","-44.5699996948242","-22.6399993896484","30784","SPF00131660",NA,"auto",NA,NA,"Parque Nacional da Serra da Bocaina",NA,NA,NA,NA,NA,NA,NA,"2002",NA,NA
"7","2020-08-20 20:40:52-03","UFSC","FLOR","50169","PreservedSpecimen","Plantae",NA,"Oxalidaceae","Oxalis","arachnoidea","Oxalis arachnoidea","Progel","Lourteig, A.","Markgraf, F.","10339","1952","12","08","Brasil","São Paulo","Bocaina","-48.5099983215332","-22.1299991607666","18396","FLOR0050169",NA,"auto",NA,NA,NA,NA,"flor amarela",NA,NA,"Oxalidales",NA,NA,"1958",NA,NA
"8","2017-09-11 17:12:25-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,"Oxalidaceae","Oxalis","arachnoidea","Oxalis arachnoidea","Progel",NA,"Glaziou, AFM","8334",NA,NA,NA,"Brazil","Rio de Janeiro","Rio de Janeiro","-43.2075","-22.9028","57442",NA,NA,"auto",NA,NA,NA,NA,NA,NA,NA,NA,"Southern America",NA,NA,NA,NA
"9","2019-11-21 10:13:57-03","IBt","SP","13529","S","Plantae",NA,"Oxalidaceae","Oxalis","arachnoidea","Oxalis arachnoidea","Progel","Lourteig, L","Loefgren, A","CGG2340","1894","04","02","Brasil","São Paulo","São José do Barreiro","-44.5699996948242","-22.6399993896484","30784","SP007534","SP007534","auto",NA,NA,"Campo de Bocaina, Invernada, Jardim.",NA,NA,NA,NA,NA,NA,NA,"1958",NA,NA
"10","2014-09-23 10:59:03-03","G","G","G00383316","S","Plantae",NA,"Oxalidaceae","Oxalis","arachnoidea","Oxalis arachnoidea","Progel","?","Glaziou, A. F. M.","8334","1876",NA,"00","Brazil","Rio de Janeiro",NA,"-42.9125","-22.48222222",NA,"G00383316",NA,NA,"ISOTYPUS of Oxalis arachnoidea Progel",NA,NA,NA,"Coordinate uncertainty: Precision at the level of departement/region Image URL: No picture available on the institution's web site",NA,NA,NA,"AMERIQUE DU SUD",NA,NA,"-42.9125","-22.48222222"
