"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","fieldNumber","class","individualCount","minimumElevationInMeters","maximumElevationInMeters","typeStatus"
"1","2021-03-15 16:37:00-03","NY","NYBG","1039399","PreservedSpecimen","Plantae","Magnoliophyta","Rosales","Moraceae","Ficus","lagoensis","Ficus lagoensis","C.C.Berg & Carauta","A. F. P. Machado","M. C. Weyland Vieira","1165","1987","05","18","South America","Brazil","Minas Gerais","Alfenas","Faz. da Ilha. Na sede da Faz. casa de Marcelo e Vivien.","-45.9472","-21.4292","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1485812' target='other'> <mi>dwc_moreinfo</mi></a>","NY01039399","NY01039399_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-11-26 18:08:53-03","CPAN-UFMS","COR","15688","PreservedSpecimen","Plantae",NA,NA,"Moraceae","Ficus","lagoensis","Ficus lagoensis","C.C.Berg & Carauta","Costa, P.","Amaral, T. S.",NA,"2009","09","18",NA,"Brasil","Mato Grosso do Sul","Corumbá","Pantanal; sub-região do Miranda-Abobral; fazenda São Bento","-57.017778","-19.480556",NA,"Árvore; flor verde; sicônio piloso; fase abaxial da folha pilosa Habito: Árvore",NA,NA,"57º1'4''W","19º28'50''S",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-11-04 11:14:13-03","ESALQ","ESA","108635","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Moraceae","Ficus","lagoensis","Ficus lagoensis",NA,"Pelissari, G.","Krieger, L.","8329.0","1970","01","01",NA,"Brasil","Minas Gerais","Entre Rios de Minas",NA,"-44.065601348877","-20.6707992553711",NA,NA,"ESA108635","ESA108635",NA,NA,"2011","08","02","20620","auto",NA,NA,NA,NA,NA,NA
"4","2020-11-04 11:14:13-03","ESALQ","ESA","103660","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Moraceae","Ficus","lagoensis","Ficus lagoensis",NA,"Pelissari, G.","Gorenstein, M.R.","12820.0","2005","06","15",NA,"Brasil","São Paulo","Gália",NA,"-49.5499992370605","-22.2900009155273",NA,NA,"ESA103660","ESA103660",NA,NA,"2011","08","02","23314","auto",NA,NA,NA,NA,NA,NA
"5","2020-11-04 11:14:13-03","ESALQ","ESA","110073","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Moraceae","Ficus","lagoensis","Ficus lagoensis",NA,"Pelissari, G.","Toniato, M.T.Z. ; Barreto, T.E.","69.0",NA,NA,NA,NA,"Brasil","São Paulo","Gália",NA,"-49.5499992370605","-22.2900009155273",NA,NA,"ESA110073","ESA110073",NA,NA,"2011","08","02","23314","auto",NA,NA,NA,NA,NA,NA
"6","2020-11-04 11:14:13-03","ESALQ","ESA","102605","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Moraceae","Ficus","lagoensis","Ficus lagoensis",NA,"Pelissari, G.","Tsuji, R.","1849.0","2007","03","21",NA,"Brasil","São Paulo","Pardinho",NA,"-48.3699989318848","-23.0799999237061",NA,NA,"ESA102605","ESA102605",NA,NA,"2011","08","02","14628","auto",NA,NA,NA,NA,NA,NA
"7","2020-11-04 11:14:13-03","ESALQ","ESA","102268","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Moraceae","Ficus","lagoensis","Ficus lagoensis",NA,"Pelissari, G.","Tsuji, R.","1685.0","2007","02","28",NA,"Brasil","São Paulo","Pardinho",NA,"-48.3699989318848","-23.0799999237061",NA,NA,"ESA102268","ESA102268",NA,NA,"2011","08","02","14628","auto",NA,NA,NA,NA,NA,NA
"8","2021-01-14 15:32:00-03","MN","R","215570","PreservedSpecimen","Plantae",NA,NA,"Moraceae","Ficus","lagoensis","Ficus lagoensis","C.C. Berg & Carauta","Machado, A.F.P.","Machado, A.F.P.","639","2007","08","15",NA,"Brasil","Espírito Santo","Santa Teresa",NA,"-40.6002998352051","-19.9356002807617",NA,NA,NA,NA,NA,NA,NA,NA,NA,"23813","auto",NA,NA,NA,NA,NA,NA
"9","2021-01-17 13:47:18-03","MN","R","215569","PreservedSpecimen","Plantae",NA,NA,"Moraceae","Ficus","lagoensis","Ficus lagoensis","C.C. Berg & Carauta","Carauta, J.P.P.","Assis, L.C.S. 80; Ladeira, M.K.",NA,"2001","04","13",NA,"Brasil","Minas Gerais","Barroso",NA,"-43.9757995605469","-21.1868991851807",NA,NA,NA,NA,NA,NA,"2007",NA,NA,"7934","auto",NA,NA,NA,NA,NA,NA
"10","2021-03-31 13:40:25-03","MN","R","216503","PreservedSpecimen","Plantae",NA,NA,"Moraceae","Ficus","lagoensis","Ficus lagoensis","C.C. Berg & Carauta","Pelissari, G.","Pelissari, G. 211; Santos, A.; Torres, R.B. & Pereira, P.S.",NA,"2011","10","24",NA,"Brasil","Minas Gerais","Caldas",NA,"-46.386100769043","-21.9235992431641",NA,NA,NA,NA,NA,NA,"2011","10","24","25710","auto",NA,NA,NA,NA,NA,NA
"11","2021-01-14 15:32:00-03","MN","R","201531","PreservedSpecimen","Plantae",NA,NA,"Moraceae","Ficus","lagoensis","Ficus lagoensis","C.C. Berg & Carauta","Pelissari, G.","Vieira, M.C.W.","1088","1987","04","11",NA,"Brasil","Minas Gerais","Monte Belo",NA,"-46.3675003051758","-21.3264007568359",NA,NA,NA,NA,NA,NA,"2011","03","24","16667","auto",NA,NA,NA,NA,NA,NA
"12","2021-01-17 13:47:18-03","MN","R","230688","PreservedSpecimen","Plantae",NA,NA,"Moraceae","Ficus","lagoensis","Ficus lagoensis","C.C. Berg & Carauta","Souza, P.P.de","Souza, P.P.","168","2007","01","31",NA,"Brasil","Minas Gerais","Ouro Branco","Na entrada da cidade, na beira da estrada, próximo a lápide erguida para Tiradentes","-43.6918983459473","-20.5207996368408",NA,NA,"R010031726",NA,NA,NA,"2007",NA,NA,"13809","auto",NA,NA,NA,NA,NA,NA
