"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","continentOcean","country","preparationType","occurrenceRemarks","barcode","imagecode","month","day","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","identifiedBy","yearIdentified","monthIdentified","dayIdentified","fieldNumber","class","individualCount","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","02706144","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Gesneriaceae","Sinningia","lateritia","Sinningia lateritia","(Lindl.) Chautems","Collector unspecified","s.n.","1842","South America","Brazil","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2996777' target='other'> <mi>dwc_moreinfo</mi></a>","NY02706144","NY02706144_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-12-12 15:31:44-03","UFABC","HUFABC","000188","PreservedSpecimen","Plantae","Angiospermas",NA,"Gesneriaceae","Sinningia","cardinalis","Sinningia cardinalis","(Lehm.) H.E.Moore.","Ferreira, GE; Chautems, A; Perret, M; Peixoto. M","282","2014",NA,"Brasil",NA,"Erva de 80cm, cálice avermelhado e corlola vermelha.","HUFABC000188","HUFABC000188","10","04","Rio de Janeiro","Petrópolis","Parque Nacional Serra dos Órgãos, trilha da Pedra do Sino, em substrato rochoso.","-43.030333","-22.751778","-43.030333","-22.751778","1650","1650",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-11-04 11:11:16-03","ESALQ","ESA","69549","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Gesneriaceae","Sinningia","lateritia","Sinningia lateritia",NA,"Krieger, L. ; Urbano, C.",NA,"1971",NA,"Brasil",NA,NA,"ESA069549","ESA069549","01","30","Rio de Janeiro","Petrópolis",NA,"-43.1786003112793","-22.5049991607666",NA,NA,NA,NA,"36524","auto",NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-11-04 11:11:16-03","ESALQ","ESA","69548","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Gesneriaceae","Sinningia","lateritia","Sinningia lateritia","(Lindl.) Chautems","Krieger, L. et al.","9905.0","1971",NA,"Brasil",NA,NA,"ESA069548",NA,"01","30","Rio de Janeiro","Petrópolis",NA,"-43.1786003112793","-22.5049991607666",NA,NA,NA,NA,"36524","auto","Chautems, A.",NA,NA,NA,NA,NA,NA,NA
"5","2021-01-14 15:31:10-03","MN","R","11046","PreservedSpecimen","Plantae",NA,NA,"Gesneriaceae","Sinningia","cardinalis","Sinningia cardinalis","(Lehm.) H.E. Moore","Glaziou, A.F.M.","14041","1882",NA,"Brasil",NA,"Plantas do Brasil Central","R000011046","R000011046_001","08","30","Rio de Janeiro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Chautems, A.","1990",NA,NA,NA,NA,NA,NA
"6","2015-07-02 14:02:15-03","JBP","HPL","3032","S","Plantae",NA,NA,"Gesneriaceae","Sinningia","cardinalis","Sinningia cardinalis","(Lehm.) H.E. More","H. Lorenzi","2341","2000",NA,"Brasil",NA,NA,NA,NA,"07","21","RJ","Nova Friburgo","Coletada na pedra do sino sobre as rochas.","-42.5311","-22.2819",NA,NA,NA,NA,"33190","auto","H. Lorenzi","2000","07","21",NA,NA,NA,NA
"7","2015-07-02 14:55:32-03","JBP","HPL","3033","S","Plantae",NA,NA,"Gesneriaceae","Sinningia","cardinalis","Sinningia cardinalis","(Lehm.) H.E. More","E.R. Salviani & H. Lorenzi","1792","2000",NA,"Brasil",NA,NA,NA,NA,"11","16","SP","Nova Odessa","Coletada em campo rupestre de altitude, nativa das serras dos orgãos e cultivada no Instituto Plantarum-Nova Odessa-SP.","-47.29","-22.77",NA,NA,"1600","1600","8440","auto","E.R. Salviani & H. Lorenzi","2000","11","16",NA,NA,NA,NA
"8","2020-12-20 21:17:56-03","UFV","VIC","25454","PreservedSpecimen","Plantae",NA,NA,"Gesneriaceae","Sinningia","lateritia","Sinningia lateritia","(Lindl.) Chautems","Krieger, L.; Urbano","s.n.","1971",NA,"Brasil",NA,"Saxicola local ensolarado, flor vermelho vivo, batata.","VIC025454",NA,"01","30","Rio de Janeiro","Petrópolis",NA,"-43.1786003112793","-22.5049991607666",NA,NA,NA,NA,"36524","auto","Chautems, A.","1991",NA,NA,NA,NA,NA,NA
"9","2019-11-21 14:37:24-03","UFJF","CESJ","9905","PreservedSpecimen","Plantae","Angiosperma",NA,"Gesneriaceae","Sinningia","lateritia","Sinningia lateritia","(Lindl) Chautems","L. Krieger; U.C. Câmara","CESJ9905","1971","América do Sul","Brasil",NA,"Saxicola, lugar ensolarado, flores vermelho vivo - batata.","CESJ009905",NA,"01","30","Rio de Janeiro","Petrópolis","Rio de Janeiro - Petrópolis.","-43.1786003112793","-22.5049991607666",NA,NA,NA,NA,"36524","auto","A. Chautems","1991",NA,NA,NA,NA,NA,NA
"10","2021-03-01 16:31:42-03","UNICAMP","UEC","111252","S","Plantae","Magnoliopsida",NA,"Gesneriaceae","Sinningia","cardinalis","Sinningia cardinalis","(Lehm.) H.E.Moore","San Martin-Gajardo, I; Sazima, M","001","2000",NA,"Brazil",NA,"Herbáceo, frutos imaturos- final da floração. Rupícula (localizado entre as pedras).; Campo rupestre.","UEC060496","UEC060496","03","17","Rio de Janeiro","Teresópolis","Parque Nacional da Serra dos Órgãos, Pedra do Sino.","-42.9655990600586","-22.4122009277344",NA,NA,"1800","2000","38539","auto",NA,NA,NA,NA,NA,NA,NA,NA
