"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","class","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","typeStatus","relatedCatalogItem","coordinatePrecision","geoFlag","fieldNumber","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","00894320","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Lauraceae","Aniba","heringeri","Aniba heringeri","Vattimo","J. G. Rohwer","E. P. Heringer","5632","1980","11","04","South America","Brazil","Distrito Federal","Brasília","Bacia do rio São Bartolomeu.","-47.9294","-15.7797","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=983846' target='other'> <mi>dwc_moreinfo</mi></a>","NY00894320","NY00894320_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","00894322","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Lauraceae","Aniba","heringeri","Aniba heringeri","Vattimo","J. G. Rohwer","E. P. Heringer","9081/1275","1962","11","30","South America","Brazil","Distrito Federal","Brasília","Parque do Guará","-47.9294","-15.7797","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=983855' target='other'> <mi>dwc_moreinfo</mi></a>","NY00894322","NY00894322_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","00894313","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Lauraceae","Aniba","heringeri","Aniba heringeri","Vattimo","K. Kubitzki","H. S. Irwin","14388","1966","04","05","South America","Brazil","Goiás","Posse","Serra Geral de Goiás, Rio da Prata, ca. 6 km S. of Posse","-46.37","-14.13","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=983791' target='other'> <mi>dwc_moreinfo</mi></a>","NY00894313","NY00894313_01","800","800",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","00894329","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Lauraceae","Aniba","heringeri","Aniba heringeri","Vattimo",NA,"E. P. Heringer","16942","1978","05","08","South America","Brazil","Distrito Federal","Brasília","Reserva Ecológica do Roncador.","-47.9294","-15.7797","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=983880' target='other'> <mi>dwc_moreinfo</mi></a>","NY00894329","NY00894329_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","00894314","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Lauraceae","Aniba","heringeri","Aniba heringeri","Vattimo","K. Kubitzki","H. S. Irwin","20895a","1968","02","25","South America","Brazil","Minas Gerais",NA,"Serra do Espinhaço, at Lapinha, ca. 21 km N. of Sêrro on road (MG 2) to Diamantina.","-43.58","-18.55","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=983793' target='other'> <mi>dwc_moreinfo</mi></a>","NY00894314","NY00894314_01","1200","1200",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","00894318","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Lauraceae","Aniba","heringeri","Aniba heringeri","Vattimo","K. Kubitzki","G. C. G. Argent","6916","1968","09","11","South America","Brazil","Mato Grosso",NA,"Base Camp (Brejo plot I)","-51.77","-12.82","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=983809' target='other'> <mi>dwc_moreinfo</mi></a>","NY00894318","NY00894318_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","00894325","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Lauraceae","Aniba","heringeri","Aniba heringeri","Vattimo",NA,"E. P. Heringer","10568","1965","09","25","South America","Brazil","Goiás",NA,"Rio Corumbá",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2994981' target='other'> <mi>dwc_moreinfo</mi></a>","NY00894325","NY00894325_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","00894324","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Lauraceae","Aniba","heringeri","Aniba heringeri","Vattimo","K. Kubitzki","E. P. Heringer","9115/1305","1963","04","18","South America","Brazil","Distrito Federal","Brasília","Vargem Bonita.","-47.9294","-15.7797","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=983862' target='other'> <mi>dwc_moreinfo</mi></a>","NY00894324","NY00894324_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","00894326","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Lauraceae","Aniba","heringeri","Aniba heringeri","Vattimo","K. Kubitzki","E. P. Heringer","10627","1965","10","09","South America","Brazil",NA,NA,"Seminário Católico.",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=983865' target='other'> <mi>dwc_moreinfo</mi></a>","NY00894326","NY00894326_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","00894328","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Lauraceae","Aniba","heringeri","Aniba heringeri","Vattimo","J. G. Rohwer","E. P. Heringer","15271","1976","01","03","South America","Brazil","Goiás","Caldas Novas","Cia Termas do Rio Quente","-48.6247","-17.7419","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=983876' target='other'> <mi>dwc_moreinfo</mi></a>","NY00894328","NY00894328_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","00894330","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Lauraceae","Aniba","heringeri","Aniba heringeri","Vattimo","R. Callejas Posada","E. P. Heringer","17662","1980","01","20","South America","Brazil","Distrito Federal","Brasília","UnB, Fazenda Água Limpa.","-47.9294","-15.7797","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=983885' target='other'> <mi>dwc_moreinfo</mi></a>","NY00894330","NY00894330_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","00894323","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Lauraceae","Aniba","heringeri","Aniba heringeri","Vattimo","K. Kubitzki","E. P. Heringer","9115/1305","1963","04","18","South America","Brazil","Distrito Federal","Brasília","Vargem Bonita.","-47.9294","-15.7797","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=983857' target='other'> <mi>dwc_moreinfo</mi></a>","NY00894323","NY00894323_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","00894311","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Lauraceae","Aniba","heringeri","Aniba heringeri","Vattimo","B. Teixeira","H. S. Irwin","5969","1964","09","04","South America","Brazil","Distrito Federal","Brasília","Ca. 23 km. S.W. of Brasília on road to Anápolis.","-48.15","-15.93","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=983771' target='other'> <mi>dwc_moreinfo</mi></a>","NY00894311","NY00894311_01","700","1000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","00894321","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Lauraceae","Aniba","heringeri","Aniba heringeri","Vattimo","J. G. Rohwer","E. P. Heringer","9081/1275","1962","11","30","South America","Brazil","Distrito Federal","Brasília","Parque do Guará","-47.9294","-15.7797","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=983851' target='other'> <mi>dwc_moreinfo</mi></a>","NY00894321","NY00894321_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-03-15 16:37:00-03","NY","NYBG","00894327","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Lauraceae","Aniba","heringeri","Aniba heringeri","Vattimo","J. G. Rohwer","E. P. Heringer","15268","1976","01","03","South America","Brazil","Goiás","Caldas Novas","Cia Termas do Rio Quente","-48.6247","-17.7419","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=983870' target='other'> <mi>dwc_moreinfo</mi></a>","NY00894327","NY00894327_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-03-15 16:37:00-03","NY","NYBG","00894316","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Lauraceae","Aniba","heringeri","Aniba heringeri","Vattimo","K. Kubitzki","H. S. Irwin","26331","1970","02","08","South America","Brazil","Minas Gerais","Paracatú","Serra da Tiririca, ca. 35 km N.W. of Paracatú","-47.1541","-17.05385","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=983802' target='other'> <mi>dwc_moreinfo</mi></a>","NY00894316","NY00894316_01","1000","1000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2021-03-15 16:37:00-03","NY","NYBG","00894331","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Lauraceae","Aniba","heringeri","Aniba heringeri","Vattimo","R. Callejas Posada","E. P. Heringer","17804","1980","05","14","South America","Brazil","Goiás","Caldas Novas","(Termas do Rio Quente)","-48.6247","-17.7419","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=983888' target='other'> <mi>dwc_moreinfo</mi></a>","NY00894331","NY00894331_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
