"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","continentOcean","country","locality","preparationType","occurrenceRemarks","barcode","imagecode","stateProvince","class","identifiedBy","yearIdentified","monthIdentified","dayIdentified","relatedCatalogItem","year","individualCount","month","day","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","380753","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Ericaceae","Gaylussacia","pruinosa","Gaylussacia pruinosa","Loes.","isotype","A. F. M. Glaziou","17118","South America","Brazil","Brasilia","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=555216' target='other'> <mi>dwc_moreinfo</mi></a>","NY00380753","NY00380753_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-30 12:37:55-03","EAO","IAN","93633","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Ericaceae","Gaylussacia","pruinosa","Gaylussacia pruinosa","Loes.",NA,"Glaziou, AFM","17118","Southern America","Brasil",NA,NA,NA,"IAN093633",NA,"Rio de Janeiro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-30 12:37:55-03","EAO","IAN","94340","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Ericaceae","Gaylussacia","pruinosa","Gaylussacia pruinosa","Loes.",NA,"Glaziou, AFM","17118","Southern America","Brasil",NA,NA,NA,"IAN094340",NA,"Rio de Janeiro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-02-08 09:01:35-03","NBC","NL-BOTANY","L 0007212","PreservedSpecimen","Plantae",NA,"Ericales","Ericaceae","Gaylussacia","pruinosa","Gaylussacia pruinosa","Loes.","isotype","Glaziou AFM",NA,"Southern America","Brazil","Brasil: Rio",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L%20%200007212 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L0007212","NL-L0007212","Rio de Janeiro","Magnoliopsidae","Romao GO","2009","05","01","957326159",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2009-07-27 09:36:00-03","MO","MOBOT","1194531","PreservedSpecimen","Plantae",NA,NA,"Ericaceae","Gaylussacia","pruinosa","Gaylussacia pruinosa","Loes.",NA,"Auguste F.M. Glaziou","Glaziou 17118","South America","Brazil",NA,NA,NA,NA,NA,NA,NA,"J.W. Floyd (NCSC)",NA,NA,NA,NA,"1861",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-09-12 05:00:02-03","US","US","1110404","PreservedSpecimen","Plantae",NA,"Ericales","Ericaceae","Gaylussacia","pruinosa","Gaylussacia pruinosa","Loes.","Isotype","A. F. M. Glaziou","17118","South America - Neotropics","Brazil","Serra dos Orgaos.",NA,NA,"US00116887","US00116887_01",NA,"Dicotyledonae",NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-09-12 05:00:02-03","US","US","2405563","PreservedSpecimen","Plantae",NA,"Ericales","Ericaceae","Gaylussacia","pruinosa","Gaylussacia pruinosa","Loes.","Isotype","A. F. M. Glaziou","17118","South America - Neotropics","Brazil",NA,NA,NA,"US00997454","US00997454_01",NA,"Dicotyledonae",NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-01-14 12:01:42-03","USP","SPF","231079","PreservedSpecimen","Plantae",NA,NA,"Ericaceae","Gaylussacia","pruinosa","Gaylussacia pruinosa","Loes.",NA,"Baez, C","272",NA,"Brasil","Parque Estadual dos Três Picos",NA,NA,"SPF00231079",NA,"Rio de Janeiro",NA,"Baez, C","2015","05",NA,NA,"2015",NA,"04","04","Teresópolis","-42.725833","-22.342778","-42.725833","-22.342778","2310","2350",NA
"9","2019-09-04 19:38:03-03","F","FMNH-SEEDPLANTS",NA,"PreservedSpecimen","Plantae","Spermatophyta",NA,"Ericaceae","Gaylussacia","pruinosa","Gaylussacia pruinosa",NA,"Type [status unknown]","A. Glaziou","17118","South America","Brazil",NA,NA,NA,NA,NA,NA,"Dicotyledoneae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-52.8731","-10.8339",NA,NA,NA,NA,NA
"10","2019-09-04 19:27:43-03","F","FMNH-SEEDPLANTS","V0055402F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Ericaceae","Gaylussacia","pruinosa","Gaylussacia pruinosa",NA,"Isotype","A. Glaziou","17118","South America","Brazil",NA,NA,NA,"V0055402F","V0055402F_01",NA,"Dicotyledoneae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-52.8731","-10.8339",NA,NA,NA,NA,NA
