"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","preparationType","occurrenceRemarks","barcode","imagecode","geoFlag","scientificNameAuthorship","identifiedBy","verbatimLongitude","verbatimLatitude","yearIdentified","class","minimumElevationInMeters","maximumElevationInMeters","monthIdentified","dayIdentified","typeStatus","fieldNumber","individualCount"
"1","2017-05-17 10:22:00-03","NY","NYBG","02607945","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Inga","lenticellata","Inga lenticellata","C. M. Vieira","442","1993","11","06","South America","Brazil","Rio de Janeiro","Nova Friburgo","Macaé de Cima, Faz. Ouro Verde.","-42.5311012268066","-22.2819004058838","33190","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2919672' target='other'> <mi>dwc_moreinfo</mi></a>","NY02607945","NY02607945_01","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-02-18 09:29:44-03","UNESP-IBB","BOTU","9436","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Inga","lenticellata","Inga lenticellata","Hoehne, F.C.",NA,"1932","05","24",NA,"Brasil","São Paulo","Cotia",NA,NA,NA,NA,NA,"Árvore, flores alvas","BOTU009436",NA,NA,"Benth.","Hoehne, F.C.","9999","9999",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-02-18 09:29:44-03","UNESP-IBB","BOTU","9434","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Inga","lenticellata","Inga lenticellata","Custódio Filho, A.","278",NA,NA,NA,NA,"Brasil","São Paulo","Cunha",NA,"-45.166667","-23.333333",NA,NA,"Árvore 15 m de altura, em botão","BOTU009434",NA,NA,"Benth.",NA,"45°10'w","23°20's",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-08 17:39:57-03","EAO","IAN","93331","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Leguminosae-Caesalp.","Inga","lenticellata","Inga lenticellata","Glaziou, AFM","s.n.",NA,NA,NA,"Southern America","Brasil",NA,NA,NA,NA,NA,NA,NA,NA,"IAN093331",NA,NA,"Benth.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-04-08 17:39:57-03","EAO","IAN","156619","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Leguminosae-Caesalp.","Inga","lenticellata","Inga lenticellata","Florestal, PH","111780","1927","06","16","Southern America","Brasil","Rio de Janeiro",NA,"Mata do Pai Ricardo, perto da sede do Horto Florestal.",NA,NA,NA,NA,"Arvore de 5-7 metros de altura, flor alva.","IAN156619",NA,NA,"Benth.","Rodrigues, IA",NA,NA,"1978",NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-04-08 17:39:57-03","EAO","IAN","93808","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Leguminosae-Caesalp.","Inga","lenticellata","Inga lenticellata","Glaziou, AFM","s.n.","1900",NA,NA,"Southern America","Brasil",NA,NA,NA,NA,NA,NA,NA,NA,"IAN093808",NA,NA,"Benth.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-02-08 09:09:30-03","NBC","NL-BOTANY","U.1304124","PreservedSpecimen","Plantae",NA,"Fabales","Leguminosae-Mim.","Inga","lenticellata","Inga lenticellata","Hoehne FC",NA,"1932","05","24","Southern America","Brazil",NA,NA,"sãp paulo-Brasil, São Paulo, Cotia.",NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1304124 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1304124","NL-U1304124",NA,"Benth.",NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA
"8","2020-11-04 11:09:34-03","ESALQ","ESA","6679","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Fabaceae","Inga","lenticellata","Inga lenticellata","Moraes, P.L.R.","209.0","1990","07","27",NA,"Brasil","São Paulo","São Miguel Arcanjo",NA,"-47.9900016784668","-23.8700008392334","27904",NA,NA,"ESA006679","ESA006679","auto","Benth.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-11-04 11:09:34-03","ESALQ","ESA","109545","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Fabaceae","Inga","lenticellata","Inga lenticellata","Souza, V.C.; Duarte, A.R.; Rando, J.G.; Ferreira, M.P.; et al.","30099.0",NA,NA,NA,NA,"Brasil","São Paulo","Sete Barras","Parque Estadual Carlos Botelho. Área do projeto Parcelas Permanentes","-47.9199981689453","-24.3799991607666","34059",NA,NA,"ESA109545","ESA109545","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-11-04 11:09:34-03","ESALQ","ESA","109686","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Fabaceae","Inga","lenticellata","Inga lenticellata","Souza, V.C.; Duarte, A.R.; Rando, J.G.; Ferreira, M.P.; et al.","29282.0",NA,NA,NA,NA,"Brasil","São Paulo","Sete Barras","Parque Estadual Carlos Botelho. Área do projeto Parcelas Permanentes","-47.9199981689453","-24.3799991607666","34059",NA,NA,"ESA109686","ESA109686","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
