"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","fieldNumber","identifiedBy","typeStatus","class","individualCount","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag"
"1","2021-03-15 16:37:00-03","NY","NYBG","822279","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Bromeliaceae","Aechmea","cariocae","Aechmea cariocae","L.B.Sm.","G. Martinelli","4857","1978","07","27","South America","Brazil","Rio de Janeiro","Petropolis","Fazenda Ingleza, Floresta sob Regima de Preservação Permanente do IBDF","-43.1783","-22.505","1100","1100","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=911327' target='other'> <mi>dwc_moreinfo</mi></a>","NY00822279","NY00822279_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2015-09-03 21:03:19-03","MNHN","RECOLNAT_MNHN_P","P02176199","PreservedSpecimen",NA,NA,NA,"Bromeliaceae","Aechmea","cariocae","Aechmea cariocae","L.B.Sm.","Glaziou, A.",NA,"1882","10","1",NA,"Brasil","Rio de Janeiro",NA,"Sur les arbres à Andarahy Grande prés à Rio Janeiro. Rio de Janeiro, Sudeste, Brasil, América do Sul",NA,NA,NA,NA,"hb",". . Herbier de A. Glaziou donné par Mme SIMARD, sa fille en 1907 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02176199' target='other'> <mi>dwc_moreinfo</mi></a>","P02176199","P02176199_01","14337",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2015-09-03 21:03:19-03","MNHN","RECOLNAT_MNHN_P","P02176200","PreservedSpecimen",NA,NA,NA,"Bromeliaceae","Aechmea","cariocae","Aechmea cariocae","L.B.Sm.","Glaziou, A.",NA,"1877","11","8",NA,"Brasil","Rio de Janeiro",NA,"Andarahy Grande. Rio de Janeiro, Sudeste, Brasil, América do Sul",NA,NA,NA,NA,"hb",". . Herbier de A. Glaziou donné par Mme SIMARD, sa fille en 1907 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02176200' target='other'> <mi>dwc_moreinfo</mi></a>","P02176200","P02176200_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2014-06-10 14:50:12-03","MNHN","RECOLNAT_MNHN_P","P00753396","PreservedSpecimen",NA,NA,NA,"Bromeliaceae","Aechmea","cariocae","Aechmea cariocae","L.B.Sm.","Glaziou, A.",NA,NA,NA,NA,NA,"Brésil",NA,NA,NA,NA,NA,NA,NA,"hb","Donné par Mme Simard, sa fille, en 1907 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00753396' target='other'> <mi>dwc_moreinfo</mi></a>","P00753396","P00753396_01","15485","Smith","isolectotype",NA,NA,NA,NA,NA,NA,NA
"5","2015-09-03 21:03:19-03","MNHN","RECOLNAT_MNHN_P","P02176197","PreservedSpecimen",NA,NA,NA,"Bromeliaceae","Aechmea","cariocae","Aechmea cariocae","L.B.Sm.","Glaziou, A.",NA,NA,NA,NA,NA,"Brasil","Rio de Janeiro",NA,"Brésil. Rio de Janeiro, Sudeste, Brasil, América do Sul",NA,NA,NA,NA,"hb",". s.d. Reçu le 16 juillet 1883 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02176197' target='other'> <mi>dwc_moreinfo</mi></a>","P02176197","P02176197_01","14337",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2015-09-03 21:03:19-03","MNHN","RECOLNAT_MNHN_P","P02176198","PreservedSpecimen",NA,NA,NA,"Bromeliaceae","Aechmea","cariocae","Aechmea cariocae","L.B.Sm.","Glaziou, A.",NA,"1882","10","1",NA,"Brasil","Rio de Janeiro",NA,"Andarahy Grande. Rio de Janeiro, Sudeste, Brasil, América do Sul",NA,NA,NA,NA,"hb",". . Herbier de A. Glaziou donné par Mme SIMARD, sa fille en 1907 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02176198' target='other'> <mi>dwc_moreinfo</mi></a>","P02176198","P02176198_01","14337",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-09-12 05:00:02-03","US","US","2500006","PreservedSpecimen","Plantae",NA,"Bromeliales","Bromeliaceae","Aechmea","cariocae","Aechmea cariocae","L.B. Sm.","E. H. Ule","s.n.","1900","4",NA,"South America - Neotropics","Brazil","Rio de Janeiro",NA,"Auf Baumen bei Palmeiras.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Monocotyledonae","1",NA,NA,NA,NA,NA
"8","2020-09-12 05:00:02-03","US","US","2908329","PreservedSpecimen","Plantae",NA,"Bromeliales","Bromeliaceae","Aechmea","cariocae","Aechmea cariocae","L.B. Sm.","T. C. Plowman & G. Martinelli","10129","1980","4","22","South America - Neotropics","Brazil","Rio de Janeiro",NA,"Municipio de Petrópolis: Estrada Fazenda Inglesa - Pati do Alferes. Floresta sob Regime de Preservação Permanente do IBDF. Mata úmida.",NA,NA,"1180",NA,NA,NA,NA,NA,NA,NA,NA,"Monocotyledonae","1",NA,NA,NA,NA,NA
"9","2019-09-04 18:40:20-03","F","FMNH-SEEDPLANTS",NA,"PreservedSpecimen","Plantae","Spermatophyta",NA,"Bromeliaceae","Aechmea","cariocae","Aechmea cariocae",NA,"A. Glaziou","9327b","1877","11","8","South America","Brazil",NA,NA,NA,"-52.8731","-10.8339",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Monocotyledoneae",NA,NA,NA,NA,NA,NA
"10","2019-07-09 12:55:35-03","F","FMNH-SEEDPLANTS","V0402663F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Bromeliaceae","Aechmea","cariocae","Aechmea cariocae",NA,"T. Plowman & G. Martinelli","10129","1980","4","22","South America","Brazil","Rio de Janeiro",NA,"Petropolis, Estrada Fazenda Inglesa - Pati do Alferes",NA,NA,"1180",NA,NA,NA,"V0402663F","V0402663F_01",NA,"E. J. Gouda",NA,"Monocotyledoneae",NA,NA,NA,NA,NA,NA
