"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","barcode","imagecode","phylum","scientificNameAuthorship","identifiedBy","recordNumber","coordinatePrecision","geoFlag","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","yearIdentified","monthIdentified","dayIdentified","continentOcean","individualCount","class","order"
"1","2020-12-15 11:14:44-03","FUNED","FUNED-POL","4527","PreservedSpecimen","Plantae","Lauraceae","Cinnamomum","quadrangulum","Cinnamomum quadrangulum","São-Thiago, P.S., Caires,C.S., Silveira,M.A.","2009","07","22","Brasil","MG","Januária","Parque Estadual Veredas do Peruaçu, MG. Próximo à sede.","-44.628889","-14.935833","44W 37' 44''","14S 56' 09''","POL004527","POL004527_p01 POL004527_p02 POL004527_p03 POL004527_p04",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-12-15 11:14:44-03","FUNED","FUNED-POL","4538","PreservedSpecimen","Plantae","Lauraceae","Cinnamomum","quadrangulum","Cinnamomum quadrangulum","São-Thiago, P.S., Caires,C.S., Silveira,M.A.","2009","07","22","Brasil","MG","Januária","Parque Estadual Veredas do Peruaçu, MG. Próximo à sede.","-44.628889","-14.935833","44W 37' 44''","14S 56' 09''","POL004538",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-11-04 11:11:51-03","ESALQ","ESA","9757","PreservedSpecimen","Plantae","Lauraceae","Cinnamomum","quadrangulum","Cinnamomum quadrangulum","Siqueira, J. et al.","1985","04","15","Brasil","Minas Gerais","Caeté",NA,"-43.6697006225586","-19.8799991607666",NA,NA,"ESA009757",NA,"Magnoliophyta","(Meissn.) Kosterm","Moraes, P.L.R.","1644.0","22051","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-11-04 11:11:51-03","ESALQ","ESA","9758","PreservedSpecimen","Plantae","Lauraceae","Cinnamomum","quadrangulum","Cinnamomum quadrangulum","Grandi, T.S.M. et al.","1985","09","28","Brasil","Minas Gerais","Caeté",NA,"-43.6697006225586","-19.8799991607666",NA,NA,"ESA009758",NA,"Magnoliophyta","(Meissn.) Kosterm","Moraes, P.L.R.",NA,"22051","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-11-04 11:11:51-03","ESALQ","ESA","31104","PreservedSpecimen","Plantae","Lauraceae","Cinnamomum","quadrangulum","Cinnamomum quadrangulum","Souza, V.C.; Souza, J.P.; Scalon, V.R.; Campos, F.J.","1996","01","11","Brasil","Minas Gerais","Caeté","Serra da Piedade. 19º49'23,3S, 43º41'07,5W. 1540 m.s.m. Campo rupestre (canga)","-43.6697006225586","-19.8799991607666","-43,686,556","-19,823,222","ESA031104",NA,"Magnoliophyta",NA,"Baitello, J.B.","10120.0","22051","auto","1540","1540","Arbusto, ca. 1 m alt.; botões verdes.",NA,NA,NA,NA,NA,NA,NA
"6","2019-11-06 09:56:00-03","UFOP","OUPR","18114","PreservedSpecimen","Plantae","Lauraceae","Cinnamomum","quadrangulum","Cinnamomum quadrangulum","Badini, J.","1973","01","20","Indisponível",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Kosterm.","Moraes, P.L.R.","s.n.",NA,NA,NA,NA,"Capão de mata. Arbusto de flores amarelas","2001","11","28",NA,NA,NA,NA
"7","2019-11-06 09:56:00-03","UFOP","OUPR","18113","PreservedSpecimen","Plantae","Lauraceae","Cinnamomum","quadrangulum","Cinnamomum quadrangulum","Badini, J.; Zurlo, M.A.","1973","01","20","Brasil","Minas Gerais","Belo Horizonte","Serra da Moeda","-43.937801361084","-19.9207992553711",NA,NA,NA,NA,NA,"Kosterm.","Moraes, P.L.R.","s.n.","17082","auto",NA,NA,"Capão de mata. Arbusto de flores amarelas","2001","11","28",NA,NA,NA,NA
"8","2019-11-06 09:56:00-03","UFOP","OUPR","18115","PreservedSpecimen","Plantae","Lauraceae","Cinnamomum","quadrangulum","Cinnamomum quadrangulum","Badini, J.","1987","05","25","Brasil","Minas Gerais","Belo Horizonte","Serra da Moeda","-43.937801361084","-19.9207992553711",NA,NA,NA,NA,NA,"Kosterm.","Moraes, P.L.R.","s.n.","17082","auto",NA,NA,"Campos e capões ferruginosos. Subarbusto, flores pálidas","2011","12","12",NA,NA,NA,NA
"9","2019-11-06 09:56:00-03","UFOP","OUPR","2122","PreservedSpecimen","Plantae","Lauraceae","Cinnamomum","quadrangulum","Cinnamomum quadrangulum","Kassis, A.; Zurlo, M.A. & Silva, J.L.","1986","04","23","Brasil","Minas Gerais","Belo Horizonte","Serra da Moeda, lagoa dos Ingleses, MBR","-43.937801361084","-19.9207992553711",NA,NA,NA,NA,NA,"Kosterm.","Moraes, P.L.R.","s.n.","17082","auto",NA,NA,"Campo. Arbusto de flores pálidas","2001","11","28",NA,NA,NA,NA
"10","2019-11-06 09:56:00-03","UFOP","OUPR","20431","PreservedSpecimen","Plantae","Lauraceae","Cinnamomum","quadrangulum","Cinnamomum quadrangulum","Messias, M.C.T.B.","2007","05","17","Brasil","Minas Gerais","Caeté","Serra da Piedade","-43.6697006225586","-19.8799991607666",NA,NA,NA,NA,NA,"Kosterm.","Moraes, P.L.R.","1334","22051","auto",NA,NA,"Campo rupestre. Subarbusto, em frutos verdes, flores amarelo-claras","2011","12","12",NA,NA,NA,NA
